Polarization of Light 'cos squared(2xtheta)'  Data File Wed, Nov 13, 2024 4:08 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	0.68727
0.54030	0.68534
0.54030	0.68824
0.54030	0.67503
0.54030	0.68324
0.54030	0.68711
0.54030	0.68598
0.54030	0.68534
0.54030	0.68437
0.54030	0.68502
0.54030	0.68276
0.54030	0.68679
0.54030	0.68985
0.54030	0.68937
0.54030	0.68518
0.54030	0.68663
0.54030	0.68405
0.54030	0.68437
0.54030	0.68904
0.54030	0.68582
0.54030	0.68034
0.54030	0.67358
0.54030	0.68824
0.54030	0.68872
0.54030	0.68663
0.54030	0.69114
0.54030	0.68453
0.54030	0.69210
0.54030	0.69146
0.54030	0.68228
0.54030	0.68647
0.54030	0.68534
0.54030	0.68985
0.54030	0.68759
0.54030	0.69162
0.54030	0.68502
0.54030	0.68598
0.54030	0.69065
0.54030	0.68824
0.54030	0.69549
0.54030	0.67325
0.54030	0.69210
0.54030	0.68518
0.54030	0.68792
0.54030	0.67760
0.54030	0.68856
0.54030	0.68953
0.54030	0.68647
0.54030	0.68985
0.54030	0.69323
0.54030	0.68550
0.54033	0.68163
0.54043	0.65634
0.54146	0.63153
0.54289	0.60478
0.54570	0.57788
0.54951	0.54936
0.55432	0.52133
0.55856	0.49909
0.56506	0.47348
0.57054	0.45108
0.57654	0.42885
0.58532	0.40935
0.59750	0.38647
0.60816	0.35635
0.62255	0.33411
0.63806	0.31945
0.65800	0.30705
0.67200	0.28804
0.69393	0.25791
0.71292	0.24196
0.73634	0.21296
0.75624	0.19427
0.78034	0.17107
0.80043	0.15061
0.82036	0.13192
0.84383	0.11436
0.86285	0.09841
0.88476	0.07070
0.90875	0.05217
0.92767	0.04041
0.94208	0.02301
0.95263	0.02220
0.96225	0.01028
0.97088	0.00512
0.97846	0.00029
0.98496	-0.00084
0.98910	-0.00760
0.99258	-0.01147
0.99692	-0.00744
0.99905	-0.01083
0.99985	-0.01920
0.99966	-0.00970
0.99814	-0.00648
0.99454	-0.00003
0.99149	0.00158
0.99149	-0.00277
0.99149	0.00335
0.99149	-0.00100
0.99149	-0.00342
0.99149	-0.00180
0.99149	-0.00648
0.99149	-0.00277
0.99149	-0.00615
0.99149	-0.00197
0.99149	-0.00422
0.99149	0.00126
0.99149	-0.00261
0.99149	-0.00116
0.99149	-0.00100
0.99149	-0.00325
0.98344	0.00561
0.97481	0.01930
0.96450	0.02301
0.95263	0.03751
0.93930	0.04508
0.92463	0.06200
0.90875	0.07843
0.89181	0.09228
0.87027	0.10952
0.84768	0.13901
0.82036	0.17155
0.79642	0.20732
0.77229	0.24389
0.74825	0.27418
0.72066	0.29384
0.69393	0.32477
0.67200	0.35006
0.64786	0.39131
0.62557	0.44061
0.60273	0.49216
0.58532	0.53019
0.56683	0.58126
0.55302	0.63491
0.54350	0.70080
0.54033	0.74801
