Polarization of Light 'cos squared(theta)'  Data File Wed, Nov 13, 2024 4:08 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	0.68727
0.54030	0.68534
0.54030	0.68824
0.54030	0.67503
0.54030	0.68324
0.54030	0.68711
0.54030	0.68598
0.54030	0.68534
0.54030	0.68437
0.54030	0.68502
0.54030	0.68276
0.54030	0.68679
0.54030	0.68985
0.54030	0.68937
0.54030	0.68518
0.54030	0.68663
0.54030	0.68405
0.54030	0.68437
0.54030	0.68904
0.54030	0.68582
0.54030	0.68034
0.54030	0.67358
0.54030	0.68824
0.54030	0.68872
0.54030	0.68663
0.54030	0.69114
0.54030	0.68453
0.54030	0.69210
0.54030	0.69146
0.54030	0.68228
0.54030	0.68647
0.54030	0.68534
0.54030	0.68985
0.54030	0.68759
0.54030	0.69162
0.54030	0.68502
0.54030	0.68598
0.54030	0.69065
0.54030	0.68824
0.54030	0.69549
0.54030	0.67325
0.54030	0.69210
0.54030	0.68518
0.54030	0.68792
0.54030	0.67760
0.54030	0.68856
0.54030	0.68953
0.54030	0.68647
0.54030	0.68985
0.54030	0.69323
0.54030	0.68550
0.54031	0.68163
0.54033	0.65634
0.54059	0.63153
0.54095	0.60478
0.54165	0.57788
0.54261	0.54936
0.54383	0.52133
0.54490	0.49909
0.54656	0.47348
0.54797	0.45108
0.54951	0.42885
0.55179	0.40935
0.55499	0.38647
0.55782	0.35635
0.56169	0.33411
0.56593	0.31945
0.57151	0.30705
0.57551	0.28804
0.58193	0.25791
0.58765	0.24196
0.59496	0.21296
0.60140	0.19427
0.60954	0.17107
0.61666	0.15061
0.62406	0.13192
0.63330	0.11436
0.64129	0.09841
0.65120	0.07070
0.66319	0.05217
0.67379	0.04041
0.68284	0.02301
0.69021	0.02220
0.69768	0.01028
0.70526	0.00512
0.71292	0.00029
0.72066	-0.00084
0.72651	-0.00760
0.73240	-0.01147
0.74228	-0.00744
0.75024	-0.01083
0.75624	-0.01920
0.76626	-0.00970
0.77430	-0.00648
0.78436	-0.00003
0.79039	0.00158
0.79039	-0.00277
0.79039	0.00335
0.79039	-0.00100
0.79039	-0.00342
0.79039	-0.00180
0.79039	-0.00648
0.79039	-0.00277
0.79039	-0.00615
0.79039	-0.00197
0.79039	-0.00422
0.79039	0.00126
0.79039	-0.00261
0.79039	-0.00116
0.79039	-0.00100
0.79039	-0.00325
0.80243	0.00561
0.81241	0.01930
0.82233	0.02301
0.83217	0.03751
0.84190	0.04508
0.85151	0.06200
0.86097	0.07843
0.87027	0.09228
0.88119	0.10952
0.89181	0.13901
0.90377	0.17155
0.91363	0.20732
0.92310	0.24389
0.93213	0.27418
0.94208	0.29384
0.95136	0.32477
0.95876	0.35006
0.96669	0.39131
0.97385	0.44061
0.98103	0.49216
0.98641	0.53019
0.99205	0.58126
0.99620	0.63491
0.99905	0.70080
0.99999	0.74801
