Polarization of Light 'cos(theta)' Data File Wed, Nov 13, 2024 4:07 PM
Sensor Position (Radians)	Light Intensity (Volts)
1.00000	0.68727
1.00000	0.68534
1.00000	0.68824
1.00000	0.67503
1.00000	0.68324
1.00000	0.68711
1.00000	0.68598
1.00000	0.68534
1.00000	0.68437
1.00000	0.68502
1.00000	0.68276
1.00000	0.68679
1.00000	0.68985
1.00000	0.68937
1.00000	0.68518
1.00000	0.68663
1.00000	0.68405
1.00000	0.68437
1.00000	0.68904
1.00000	0.68582
1.00000	0.68034
1.00000	0.67358
1.00000	0.68824
1.00000	0.68872
1.00000	0.68663
1.00000	0.69114
1.00000	0.68453
1.00000	0.69210
1.00000	0.69146
1.00000	0.68228
1.00000	0.68647
1.00000	0.68534
1.00000	0.68985
1.00000	0.68759
1.00000	0.69162
1.00000	0.68502
1.00000	0.68598
1.00000	0.69065
1.00000	0.68824
1.00000	0.69549
1.00000	0.67325
1.00000	0.69210
1.00000	0.68518
1.00000	0.68792
1.00000	0.67760
1.00000	0.68856
1.00000	0.68953
1.00000	0.68647
1.00000	0.68985
1.00000	0.69323
1.00000	0.68550
0.99999	0.68163
0.99996	0.65634
0.99966	0.63153
0.99923	0.60478
0.99839	0.57788
0.99725	0.54936
0.99580	0.52133
0.99452	0.49909
0.99255	0.47348
0.99087	0.45108
0.98902	0.42885
0.98629	0.40935
0.98245	0.38647
0.97905	0.35635
0.97437	0.33411
0.96923	0.31945
0.96246	0.30705
0.95757	0.28804
0.94970	0.25791
0.94264	0.24196
0.93358	0.21296
0.92554	0.19427
0.91531	0.17107
0.90631	0.15061
0.89687	0.13192
0.88499	0.11436
0.87462	0.09841
0.86163	0.07070
0.84573	0.05217
0.83147	0.04041
0.81915	0.02301
0.80902	0.02220
0.79864	0.01028
0.78801	0.00512
0.77715	0.00029
0.76604	-0.00084
0.75756	-0.00760
0.74896	-0.01147
0.73432	-0.00744
0.72236	-0.01083
0.71325	-0.01920
0.69779	-0.00970
0.68518	-0.00648
0.66913	-0.00003
0.65935	0.00158
0.65935	-0.00277
0.65935	0.00335
0.65935	-0.00100
0.65935	-0.00342
0.65935	-0.00180
0.65935	-0.00648
0.65935	-0.00277
0.65935	-0.00615
0.65935	-0.00197
0.65935	-0.00422
0.65935	0.00126
0.65935	-0.00261
0.65935	-0.00116
0.65935	-0.00100
0.65935	-0.00325
0.63944	0.00561
0.62251	0.01930
0.60529	0.02301
0.58779	0.03751
0.57000	0.04508
0.55194	0.06200
0.53361	0.07843
0.51504	0.09228
0.49242	0.10952
0.46947	0.13901
0.44229	0.17155
0.41866	0.20732
0.39474	0.24389
0.37056	0.27418
0.34202	0.29384
0.31316	0.32477
0.28820	0.35006
0.25882	0.39131
0.22920	0.44061
0.19509	0.49216
0.16505	0.53019
0.12620	0.58126
0.08716	0.63491
0.04362	0.70080
0.00436	0.74801
-0.02181	0.78893
-0.04798	0.81568
-0.07411	0.84790
-0.08281	0.87029
-0.08281	0.86111
-0.08281	0.86159
-0.08281	0.86836
-0.08281	0.86788
-0.08281	0.86353
-0.08281	0.86756
-0.08281	0.86562
-0.08281	0.86530
-0.08281	0.86933
-0.08281	0.86240
-0.08281	0.86417
-0.08281	0.86981
-0.08281	0.87400
-0.08281	0.87239
-0.08281	0.87062
-0.08281	0.87319
-0.08281	0.87336
-0.10453	0.89720
-0.13053	0.93071
-0.15643	0.95955
-0.18224	0.97067
-0.21218	0.98082
-0.24192	1.01111
-0.28402	1.08618
-0.32557	1.13516
-0.36650	1.15820
-0.40674	1.20347
-0.43837	1.23425
-0.46561	1.25406
-0.49242	1.26937
-0.52621	1.25245
-0.56280	1.22442
-0.61222	1.20766
-0.66588	1.22248
-0.72537	1.22474
-0.76884	1.26180
-0.79600	1.20186
-0.82659	1.13887
-0.84339	1.12823
-0.85941	1.12775
-0.87250	1.13001
-0.89298	1.11212
-0.91176	1.07475
-0.92554	1.02174
-0.92554	0.99580
-0.92554	1.00949
-0.92554	1.00144
-0.92554	1.00353
-0.92554	1.00482
-0.92554	1.00563
-0.92554	1.00659
-0.92554	1.00386
-0.92554	1.01239
-0.92554	1.00531
-0.92554	1.01497
-0.92554	1.02093
-0.92554	1.00724
-0.92718	1.02303
-0.93514	0.98694
-0.94409	0.94666
-0.95106	0.89059
-0.95882	0.86385
-0.96479	0.84822
-0.96593	0.85064
-0.97237	0.83598
-0.97723	0.84709
-0.98163	0.82422
-0.98556	0.81294
-0.98902	0.78603
-0.99200	0.74447
-0.99497	0.70306
-0.99756	0.66004
-0.99939	0.61477
-1.00000	0.57385
