x	y	dx	dy
0.00000	0.68727 	0.000005	0.000005
0.00000	0.68534 	0.000005	0.000005
0.00000	0.68824 	0.000005	0.000005
0.00000	0.67503 	0.000005	0.000005
0.00000	0.68324 	0.000005	0.000005
0.00000	0.68711 	0.000005	0.000005
0.00000	0.68598 	0.000005	0.000005
0.00000	0.68534 	0.000005	0.000005
0.00000	0.68437 	0.000005	0.000005
0.00000	0.68502 	0.000005	0.000005
0.00000	0.68276 	0.000005	0.000005
0.00000	0.68679 	0.000005	0.000005
0.00000	0.68985 	0.000005	0.000005
0.00000	0.68937 	0.000005	0.000005
0.00000	0.68518 	0.000005	0.000005
0.00000	0.68663 	0.000005	0.000005
0.00000	0.68405 	0.000005	0.000005
0.00000	0.68437 	0.000005	0.000005
0.00000	0.68904 	0.000005	0.000005
0.00000	0.68582 	0.000005	0.000005
0.00000	0.68034 	0.000005	0.000005
0.00000	0.67358 	0.000005	0.000005
0.00000	0.68824 	0.000005	0.000005
0.00000	0.68872 	0.000005	0.000005
0.00000	0.68663 	0.000005	0.000005
0.00000	0.69114 	0.000005	0.000005
0.00000	0.68453 	0.000005	0.000005
0.00000	0.69210 	0.000005	0.000005
0.00000	0.69146 	0.000005	0.000005
0.00000	0.68228 	0.000005	0.000005
0.00000	0.68647 	0.000005	0.000005
0.00000	0.68534 	0.000005	0.000005
0.00000	0.68985 	0.000005	0.000005
0.00000	0.68759 	0.000005	0.000005
0.00000	0.69162 	0.000005	0.000005
0.00000	0.68502 	0.000005	0.000005
0.00000	0.68598 	0.000005	0.000005
0.00000	0.69065 	0.000005	0.000005
0.00000	0.68824 	0.000005	0.000005
0.00000	0.69549 	0.000005	0.000005
0.00000	0.67325 	0.000005	0.000005
0.00000	0.69210 	0.000005	0.000005
0.00000	0.68518 	0.000005	0.000005
0.00000	0.68792 	0.000005	0.000005
0.00000	0.67760 	0.000005	0.000005
0.00000	0.68856 	0.000005	0.000005
0.00000	0.68953 	0.000005	0.000005
0.00000	0.68647 	0.000005	0.000005
0.00000	0.68985 	0.000005	0.000005
0.00000	0.69323 	0.000005	0.000005
0.00000	0.68550 	0.000005	0.000005
0.00436	0.68163 	0.000005	0.000005
0.00873	0.65634 	0.000005	0.000005
0.02618	0.63153 	0.000005	0.000005
0.03927	0.60478 	0.000005	0.000005
0.05672	0.57788 	0.000005	0.000005
0.07418	0.54936 	0.000005	0.000005
0.09163	0.52133 	0.000005	0.000005
0.10472	0.49909 	0.000005	0.000005
0.12217	0.47348 	0.000005	0.000005
