Polarization of Light 'theta' Data File Wed, Nov 13, 2024 4:08 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	0.68727
0.00000	0.68534
0.00000	0.68824
0.00000	0.67503
0.00000	0.68324
0.00000	0.68711
0.00000	0.68598
0.00000	0.68534
0.00000	0.68437
0.00000	0.68502
0.00000	0.68276
0.00000	0.68679
0.00000	0.68985
0.00000	0.68937
0.00000	0.68518
0.00000	0.68663
0.00000	0.68405
0.00000	0.68437
0.00000	0.68904
0.00000	0.68582
0.00000	0.68034
0.00000	0.67358
0.00000	0.68824
0.00000	0.68872
0.00000	0.68663
0.00000	0.69114
0.00000	0.68453
0.00000	0.69210
0.00000	0.69146
0.00000	0.68228
0.00000	0.68647
0.00000	0.68534
0.00000	0.68985
0.00000	0.68759
0.00000	0.69162
0.00000	0.68502
0.00000	0.68598
0.00000	0.69065
0.00000	0.68824
0.00000	0.69549
0.00000	0.67325
0.00000	0.69210
0.00000	0.68518
0.00000	0.68792
0.00000	0.67760
0.00000	0.68856
0.00000	0.68953
0.00000	0.68647
0.00000	0.68985
0.00000	0.69323
0.00000	0.68550
0.00436	0.68163
0.00873	0.65634
0.02618	0.63153
0.03927	0.60478
0.05672	0.57788
0.07418	0.54936
0.09163	0.52133
0.10472	0.49909
0.12217	0.47348
0.13526	0.45108
0.14835	0.42885
0.16581	0.40935
0.18762	0.38647
0.20508	0.35635
0.22689	0.33411
0.24871	0.31945
0.27489	0.30705
0.29234	0.28804
0.31852	0.25791
0.34034	0.24196
0.36652	0.21296
0.38834	0.19427
0.41452	0.17107
0.43633	0.15061
0.45815	0.13192
0.48433	0.11436
0.50615	0.09841
0.53233	0.07070
0.56287	0.05217
0.58905	0.04041
0.61087	0.02301
0.62832	0.02220
0.64577	0.01028
0.66323	0.00512
0.68068	0.00029
0.69813	-0.00084
0.71122	-0.00760
0.72431	-0.01147
0.74613	-0.00744
0.76358	-0.01083
0.77667	-0.01920
0.79849	-0.00970
0.81594	-0.00648
0.83776	-0.00003
0.85085	0.00158
0.85085	-0.00277
0.85085	0.00335
0.85085	-0.00100
0.85085	-0.00342
0.85085	-0.00180
0.85085	-0.00648
0.85085	-0.00277
0.85085	-0.00615
0.85085	-0.00197
0.85085	-0.00422
0.85085	0.00126
0.85085	-0.00261
0.85085	-0.00116
0.85085	-0.00100
0.85085	-0.00325
0.87703	0.00561
0.89884	0.01930
0.92066	0.02301
0.94248	0.03751
0.96429	0.04508
0.98611	0.06200
1.00793	0.07843
1.02974	0.09228
1.05592	0.10952
1.08210	0.13901
1.11265	0.17155
1.13883	0.20732
1.16501	0.24389
1.19119	0.27418
1.22173	0.29384
1.25227	0.32477
1.27845	0.35006
1.30900	0.39131
1.33954	0.44061
1.37445	0.49216
1.40499	0.53019
1.44426	0.58126
1.48353	0.63491
1.52716	0.70080
1.56643	0.74801
1.59261	0.78893
1.61879	0.81568
1.64497	0.84790
1.65370	0.87029
1.65370	0.86111
1.65370	0.86159
1.65370	0.86836
1.65370	0.86788
1.65370	0.86353
1.65370	0.86756
1.65370	0.86562
1.65370	0.86530
1.65370	0.86933
1.65370	0.86240
1.65370	0.86417
1.65370	0.86981
1.65370	0.87400
1.65370	0.87239
1.65370	0.87062
1.65370	0.87319
1.65370	0.87336
1.67552	0.89720
1.70170	0.93071
1.72788	0.95955
1.75406	0.97067
1.78460	0.98082
1.81514	1.01111
1.85878	1.08618
1.90241	1.13516
1.94604	1.15820
1.98968	1.20347
2.02458	1.23425
2.05513	1.25406
2.08567	1.26937
2.12494	1.25245
2.16857	1.22442
2.22966	1.20766
2.29947	1.22248
2.38237	1.22474
2.44782	1.26180
2.49146	1.20186
2.54382	1.13887
2.57436	1.12823
2.60490	1.12775
2.63108	1.13001
2.67472	1.11212
2.71835	1.07475
2.75326	1.02174
2.75326	0.99580
2.75326	1.00949
2.75326	1.00144
2.75326	1.00353
2.75326	1.00482
2.75326	1.00563
2.75326	1.00659
2.75326	1.00386
2.75326	1.01239
2.75326	1.00531
2.75326	1.01497
2.75326	1.02093
2.75326	1.00724
2.75762	1.02303
2.77944	0.98694
2.80562	0.94666
2.82743	0.89059
2.85361	0.86385
2.87543	0.84822
2.87979	0.85064
2.90597	0.83598
2.92779	0.84709
2.94961	0.82422
2.97142	0.81294
2.99324	0.78603
3.01506	0.74447
3.04124	0.70306
3.07178	0.66004
3.10669	0.61477
3.14159	0.57385
