Polarization of Light 'cos squared(2xtheta)'  Data File Wed, Nov 13, 2024 4:34 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	0.21666
0.54030	0.22101
0.54030	0.21892
0.54030	0.22101
0.54030	0.21811
0.54030	0.22327
0.54030	0.22520
0.54030	0.21747
0.54030	0.22520
0.54030	0.21924
0.54030	0.22134
0.54030	0.22117
0.54030	0.21682
0.54030	0.22166
0.54030	0.21570
0.54030	0.22391
0.54030	0.22198
0.54030	0.22021
0.54030	0.21779
0.54033	0.22569
0.54043	0.23084
0.54043	0.23487
0.54059	0.23213
0.54081	0.24131
0.54110	0.24905
0.54110	0.24631
0.54110	0.25130
0.54187	0.26065
0.54235	0.26854
0.54289	0.26886
0.54350	0.28320
0.54490	0.29690
0.54570	0.29045
0.54570	0.29367
0.54656	0.31107
0.54847	0.31252
0.54951	0.32187
0.55062	0.32574
0.55302	0.34426
0.55567	0.34314
0.55856	0.35522
0.56009	0.37600
0.56334	0.38132
0.56683	0.38067
0.56866	0.39614
0.57249	0.40887
0.57654	0.41338
0.57866	0.42998
0.58305	0.43352
0.58765	0.45350
0.59496	0.46139
0.60273	0.47364
0.60816	0.47879
0.61378	0.49780
0.61958	0.51053
0.62557	0.52294
0.63488	0.51875
0.64129	0.53985
0.64786	0.54485
0.65458	0.56064
0.66145	0.57014
0.66845	0.57594
0.67559	0.58464
0.68651	0.59882
0.69768	0.60381
0.70526	0.61413
0.71678	0.62830
0.72847	0.62331
0.74030	0.62540
0.74825	0.63845
0.76024	0.62927
0.77229	0.63588
0.78034	0.62992
0.79240	0.63378
0.80043	0.63249
0.81241	0.63137
0.82431	0.63491
0.83217	0.62911
0.83997	0.62766
0.84768	0.61058
0.85909	0.62250
0.86657	0.60865
0.87394	0.60623
0.88119	0.60317
0.89181	0.59979
0.89870	0.59930
0.91202	0.58867
0.92155	0.58625
0.92767	0.57659
0.93359	0.58158
0.93647	0.57546
0.94208	0.56628
0.94747	0.56321
0.95008	0.56338
0.95513	0.56176
0.95756	0.55500
0.96450	0.54646
0.96882	0.54485
0.97088	0.54243
0.97481	0.53808
0.97846	0.52664
0.98019	0.52278
0.98019	0.51762
0.98019	0.51843
0.98019	0.51198
0.98019	0.51875
0.98019	0.51553
0.98019	0.50731
0.98019	0.50779
0.98019	0.51778
0.98019	0.51649
0.98019	0.51714
0.98019	0.51875
0.98019	0.51456
0.98019	0.51440
0.98019	0.51955
0.98019	0.51021
0.98019	0.51424
0.98019	0.50989
0.98019	0.51230
0.98019	0.51553
0.98019	0.51955
0.98019	0.51391
0.98019	0.51520
0.98019	0.51923
0.98019	0.51359
0.98019	0.51359
0.98496	0.49394
0.98910	0.48427
0.99149	0.47219
0.99258	0.47138
0.99360	0.45479
0.99454	0.45060
0.99541	0.45124
0.99620	0.44786
0.99757	0.44125
0.99863	0.42981
0.99966	0.42160
0.99985	0.40645
1.00000	0.39920
0.99985	0.39518
0.99939	0.37423
0.99863	0.36650
0.99757	0.35635
0.99620	0.34152
0.99454	0.33137
0.99258	0.32284
0.99033	0.31075
0.98779	0.29416
0.98344	0.27998
0.98019	0.27418
0.97667	0.25887
0.97288	0.24905
0.96882	0.24502
0.96225	0.22794
0.95756	0.21634
0.95263	0.20732
0.94747	0.18815
0.93930	0.17800
0.93065	0.16511
0.92463	0.15544
0.91842	0.14110
0.91202	0.12386
0.90209	0.12225
0.89181	0.10050
0.88119	0.09164
0.86657	0.07875
0.85531	0.06602
0.84383	0.05201
0.83608	0.04637
0.82825	0.04234
0.81639	0.03380
0.80843	0.02784
0.80043	0.02236
0.79240	0.01576
0.78034	0.00577
0.76827	0.00899
0.75624	-0.00309
0.74427	-0.00390
0.73240	-0.00954
0.72456	-0.01034
0.71678	-0.00696
0.71292	-0.01582
0.70526	-0.01018
0.69768	-0.01195
0.69393	-0.01502
0.69021	-0.00809
0.68651	-0.01357
0.67920	-0.01808
0.67559	-0.00986
0.66845	-0.00825
0.66145	-0.00664
0.65120	-0.00954
0.64455	-0.00116
0.63806	-0.00454
0.63173	0.00625
0.62557	0.01318
0.61958	0.01640
0.61094	0.01850
0.60273	0.02784
0.59750	0.03412
0.59247	0.04250
0.58765	0.04492
0.58305	0.05893
0.57866	0.06345
0.57449	0.06699
0.57054	0.07650
0.56506	0.08616
0.56169	0.10453
0.55709	0.11629
0.55432	0.12741
0.55062	0.13562
0.54847	0.15093
0.54570	0.16172
0.54350	0.17800
0.54187	0.18895
0.54110	0.21215
0.54043	0.22311
0.54030	0.23406
