Polarization of Light 'cos(theta)' Data File Wed, Nov 13, 2024 4:34 PM
Sensor Position (Radians)	Light Intensity (Volts)
1.00000	0.21666
1.00000	0.22101
1.00000	0.21892
1.00000	0.22101
1.00000	0.21811
1.00000	0.22327
1.00000	0.22520
1.00000	0.21747
1.00000	0.22520
1.00000	0.21924
1.00000	0.22134
1.00000	0.22117
1.00000	0.21682
1.00000	0.22166
1.00000	0.21570
1.00000	0.22391
1.00000	0.22198
1.00000	0.22021
1.00000	0.21779
0.99999	0.22569
0.99996	0.23084
0.99996	0.23487
0.99991	0.23213
0.99985	0.24131
0.99976	0.24905
0.99976	0.24631
0.99976	0.25130
0.99953	0.26065
0.99939	0.26854
0.99923	0.26886
0.99905	0.28320
0.99863	0.29690
0.99839	0.29045
0.99839	0.29367
0.99813	0.31107
0.99756	0.31252
0.99725	0.32187
0.99692	0.32574
0.99619	0.34426
0.99540	0.34314
0.99452	0.35522
0.99406	0.37600
0.99307	0.38132
0.99200	0.38067
0.99144	0.39614
0.99027	0.40887
0.98902	0.41338
0.98836	0.42998
0.98700	0.43352
0.98556	0.45350
0.98325	0.46139
0.98079	0.47364
0.97905	0.47879
0.97723	0.49780
0.97534	0.51053
0.97338	0.52294
0.97030	0.51875
0.96815	0.53985
0.96593	0.54485
0.96363	0.56064
0.96126	0.57014
0.95882	0.57594
0.95630	0.58464
0.95240	0.59882
0.94832	0.60381
0.94552	0.61413
0.94118	0.62830
0.93667	0.62331
0.93201	0.62540
0.92881	0.63845
0.92388	0.62927
0.91879	0.63588
0.91531	0.62992
0.90996	0.63378
0.90631	0.63249
0.90070	0.63137
0.89493	0.63491
0.89101	0.62911
0.88701	0.62766
0.88295	0.61058
0.87673	0.62250
0.87250	0.60865
0.86820	0.60623
0.86384	0.60317
0.85717	0.59979
0.85264	0.59930
0.84339	0.58867
0.83629	0.58625
0.83147	0.57659
0.82659	0.58158
0.82413	0.57546
0.81915	0.56628
0.81412	0.56321
0.81157	0.56338
0.80644	0.56176
0.80386	0.55500
0.79600	0.54646
0.79069	0.54485
0.78801	0.54243
0.78261	0.53808
0.77715	0.52664
0.77439	0.52278
0.77439	0.51762
0.77439	0.51843
0.77439	0.51198
0.77439	0.51875
0.77439	0.51553
0.77439	0.50731
0.77439	0.50779
0.77439	0.51778
0.77439	0.51649
0.77439	0.51714
0.77439	0.51875
0.77439	0.51456
0.77439	0.51440
0.77439	0.51955
0.77439	0.51021
0.77439	0.51424
0.77439	0.50989
0.77439	0.51230
0.77439	0.51553
0.77439	0.51955
0.77439	0.51391
0.77439	0.51520
0.77439	0.51923
0.77439	0.51359
0.77439	0.51359
0.76604	0.49394
0.75756	0.48427
0.75184	0.47219
0.74896	0.47138
0.74606	0.45479
0.74314	0.45060
0.74022	0.45124
0.73728	0.44786
0.73135	0.44125
0.72537	0.42981
0.71630	0.42160
0.71325	0.40645
0.70711	0.39920
