x	y	dx	dy
0.54030	0.02446 	0.000005	0.000005
0.54030	0.01833 	0.000005	0.000005
0.54030	0.02333 	0.000005	0.000005
0.54030	0.01946 	0.000005	0.000005
0.54030	0.02075 	0.000005	0.000005
0.54030	0.02349 	0.000005	0.000005
0.54030	0.02752 	0.000005	0.000005
0.54030	0.01930 	0.000005	0.000005
0.54030	0.02623 	0.000005	0.000005
0.54030	0.02542 	0.000005	0.000005
0.54030	0.02655 	0.000005	0.000005
0.54030	0.02720 	0.000005	0.000005
0.54030	0.02446 	0.000005	0.000005
0.54030	0.02881 	0.000005	0.000005
0.54030	0.02123 	0.000005	0.000005
0.54030	0.02800 	0.000005	0.000005
0.54030	0.02655 	0.000005	0.000005
0.54030	0.02075 	0.000005	0.000005
0.54030	0.02381 	0.000005	0.000005
0.54030	0.02188 	0.000005	0.000005
0.54030	0.01850 	0.000005	0.000005
0.54030	0.02430 	0.000005	0.000005
0.54030	0.02365 	0.000005	0.000005
0.54030	0.02188 	0.000005	0.000005
0.54030	0.01930 	0.000005	0.000005
0.54030	0.02252 	0.000005	0.000005
0.54033	0.02494 	0.000005	0.000005
0.54043	0.02349 	0.000005	0.000005
0.54110	0.03847 	0.000005	0.000005
0.54289	0.04717 	0.000005	0.000005
0.54350	0.06071 	0.000005	0.000005
0.54417	0.06667 	0.000005	0.000005
0.54570	0.06989 	0.000005	0.000005
0.54656	0.07231 	0.000005	0.000005
0.54748	0.08052 	0.000005	0.000005
0.54951	0.08536 	0.000005	0.000005
0.55062	0.09357 	0.000005	0.000005
0.55302	0.10372 	0.000005	0.000005
0.55709	0.11452 	0.000005	0.000005
0.56009	0.12612 	0.000005	0.000005
0.56334	0.13160 	0.000005	0.000005
0.56683	0.15222 	0.000005	0.000005
0.57249	0.16092 	0.000005	0.000005
0.57654	0.17332 	0.000005	0.000005
0.58082	0.18589 	0.000005	0.000005
0.58765	0.20329 	0.000005	0.000005
0.59247	0.21312 	0.000005	0.000005
0.60009	0.22778 	0.000005	0.000005
0.60542	0.23374 	0.000005	0.000005
0.61378	0.25291 	0.000005	0.000005
0.61666	0.25404 	0.000005	0.000005
0.62255	0.26355 	0.000005	0.000005
0.62557	0.27160 	0.000005	0.000005
0.62863	0.28111 	0.000005	0.000005
0.62863	0.28272 	0.000005	0.000005
0.63488	0.28594 	0.000005	0.000005
0.63806	0.28755 	0.000005	0.000005
0.64455	0.30237 	0.000005	0.000005
0.65120	0.31381 	0.000005	0.000005
0.66145	0.31865 	0.000005	0.000005
0.66845	0.34459 	0.000005	0.000005
0.67559	0.34974 	0.000005	0.000005
0.68284	0.35506 	0.000005	0.000005
0.69021	0.36940 	0.000005	0.000005
0.70146	0.39840 	0.000005	0.000005
0.71678	0.42031 	0.000005	0.000005
0.72847	0.42579 	0.000005	0.000005
0.74427	0.45559 	0.000005	0.000005
0.76024	0.46719 	0.000005	0.000005
0.78034	0.49249 	0.000005	0.000005
0.79642	0.50892 	0.000005	0.000005
0.80843	0.52938 	0.000005	0.000005
0.81639	0.54130 	0.000005	0.000005
0.82431	0.54952 	0.000005	0.000005
0.82431	0.55194 	0.000005	0.000005
0.82825	0.55677 	0.000005	0.000005
0.83217	0.56499 	0.000005	0.000005
0.83997	0.57723 	0.000005	0.000005
0.84383	0.58319 	0.000005	0.000005
0.85151	0.58094 	0.000005	0.000005
0.85909	0.60671 	0.000005	0.000005
0.86657	0.60559 	0.000005	0.000005
0.87394	0.61203 	0.000005	0.000005
0.87394	0.61686 	0.000005	0.000005
0.87394	0.61751 	0.000005	0.000005
0.87394	0.61106 	0.000005	0.000005
0.87394	0.61993 	0.000005	0.000005
0.87394	0.61703 	0.000005	0.000005
0.87394	0.62218 	0.000005	0.000005
0.87394	0.61960 	0.000005	0.000005
0.87394	0.61445 	0.000005	0.000005
0.87394	0.61203 	0.000005	0.000005
0.87394	0.61364 	0.000005	0.000005
0.87394	0.61831 	0.000005	0.000005
0.87394	0.61413 	0.000005	0.000005
0.87394	0.61396 	0.000005	0.000005
0.87394	0.61477 	0.000005	0.000005
0.87394	0.61815 	0.000005	0.000005
0.87758	0.61976 	0.000005	0.000005
0.88830	0.63088 	0.000005	0.000005
0.90209	0.64216 	0.000005	0.000005
0.90875	0.64184 	0.000005	0.000005
0.91842	0.65022 	0.000005	0.000005
0.92463	0.65424 	0.000005	0.000005
0.93359	0.65602 	0.000005	0.000005
0.94208	0.65682 	0.000005	0.000005
0.95008	0.66069 	0.000005	0.000005
0.95513	0.65569 	0.000005	0.000005
0.96225	0.65231 	0.000005	0.000005
0.96882	0.65537 	0.000005	0.000005
0.97481	0.65585 	0.000005	0.000005
0.98019	0.65408 	0.000005	0.000005
0.98496	0.65408 	0.000005	0.000005
0.98910	0.64893 	0.000005	0.000005
0.99149	0.64603 	0.000005	0.000005
0.99454	0.64264 	0.000005	0.000005
0.99692	0.63829 	0.000005	0.000005
0.99814	0.63362 	0.000005	0.000005
0.99939	0.62395 	0.000005	0.000005
0.99996	0.61719 	0.000005	0.000005
0.99996	0.61509 	0.000005	0.000005
0.99985	0.60816 	0.000005	0.000005
0.99939	0.60655 	0.000005	0.000005
0.99863	0.60220 	0.000005	0.000005
0.99757	0.59737 	0.000005	0.000005
0.99541	0.59125 	0.000005	0.000005
