x	y	dx	dy
1.00000	0.02446 	0.000005	0.000005
1.00000	0.01833 	0.000005	0.000005
1.00000	0.02333 	0.000005	0.000005
1.00000	0.01946 	0.000005	0.000005
1.00000	0.02075 	0.000005	0.000005
1.00000	0.02349 	0.000005	0.000005
1.00000	0.02752 	0.000005	0.000005
1.00000	0.01930 	0.000005	0.000005
1.00000	0.02623 	0.000005	0.000005
1.00000	0.02542 	0.000005	0.000005
1.00000	0.02655 	0.000005	0.000005
1.00000	0.02720 	0.000005	0.000005
1.00000	0.02446 	0.000005	0.000005
1.00000	0.02881 	0.000005	0.000005
1.00000	0.02123 	0.000005	0.000005
1.00000	0.02800 	0.000005	0.000005
1.00000	0.02655 	0.000005	0.000005
1.00000	0.02075 	0.000005	0.000005
1.00000	0.02381 	0.000005	0.000005
1.00000	0.02188 	0.000005	0.000005
1.00000	0.01850 	0.000005	0.000005
1.00000	0.02430 	0.000005	0.000005
1.00000	0.02365 	0.000005	0.000005
1.00000	0.02188 	0.000005	0.000005
1.00000	0.01930 	0.000005	0.000005
1.00000	0.02252 	0.000005	0.000005
0.99999	0.02494 	0.000005	0.000005
0.99996	0.02349 	0.000005	0.000005
0.99976	0.03847 	0.000005	0.000005
0.99923	0.04717 	0.000005	0.000005
0.99905	0.06071 	0.000005	0.000005
0.99885	0.06667 	0.000005	0.000005
0.99839	0.06989 	0.000005	0.000005
0.99813	0.07231 	0.000005	0.000005
0.99786	0.08052 	0.000005	0.000005
0.99725	0.08536 	0.000005	0.000005
0.99692	0.09357 	0.000005	0.000005
0.99619	0.10372 	0.000005	0.000005
0.99497	0.11452 	0.000005	0.000005
0.99406	0.12612 	0.000005	0.000005
0.99307	0.13160 	0.000005	0.000005
0.99200	0.15222 	0.000005	0.000005
0.99027	0.16092 	0.000005	0.000005
0.98902	0.17332 	0.000005	0.000005
0.98769	0.18589 	0.000005	0.000005
0.98556	0.20329 	0.000005	0.000005
0.98404	0.21312 	0.000005	0.000005
0.98163	0.22778 	0.000005	0.000005
0.97992	0.23374 	0.000005	0.000005
0.97723	0.25291 	0.000005	0.000005
0.97630	0.25404 	0.000005	0.000005
0.97437	0.26355 	0.000005	0.000005
0.97338	0.27160 	0.000005	0.000005
0.97237	0.28111 	0.000005	0.000005
0.97237	0.28272 	0.000005	0.000005
0.97030	0.28594 	0.000005	0.000005
0.96923	0.28755 	0.000005	0.000005
0.96705	0.30237 	0.000005	0.000005
0.96479	0.31381 	0.000005	0.000005
0.96126	0.31865 	0.000005	0.000005
0.95882	0.34459 	0.000005	0.000005
0.95630	0.34974 	0.000005	0.000005
0.95372	0.35506 	0.000005	0.000005
0.95106	0.36940 	0.000005	0.000005
0.94693	0.39840 	0.000005	0.000005
0.94118	0.42031 	0.000005	0.000005
0.93667	0.42579 	0.000005	0.000005
0.93042	0.45559 	0.000005	0.000005
0.92388	0.46719 	0.000005	0.000005
0.91531	0.49249 	0.000005	0.000005
0.90814	0.50892 	0.000005	0.000005
0.90259	0.52938 	0.000005	0.000005
0.89879	0.54130 	0.000005	0.000005
0.89493	0.54952 	0.000005	0.000005
0.89493	0.55194 	0.000005	0.000005
0.89298	0.55677 	0.000005	0.000005
0.89101	0.56499 	0.000005	0.000005
0.88701	0.57723 	0.000005	0.000005
0.88499	0.58319 	0.000005	0.000005
0.88089	0.58094 	0.000005	0.000005
0.87673	0.60671 	0.000005	0.000005
0.87250	0.60559 	0.000005	0.000005
0.86820	0.61203 	0.000005	0.000005
0.86820	0.61686 	0.000005	0.000005
0.86820	0.61751 	0.000005	0.000005
0.86820	0.61106 	0.000005	0.000005
0.86820	0.61993 	0.000005	0.000005
0.86820	0.61703 	0.000005	0.000005
0.86820	0.62218 	0.000005	0.000005
0.86820	0.61960 	0.000005	0.000005
0.86820	0.61445 	0.000005	0.000005
0.86820	0.61203 	0.000005	0.000005
0.86820	0.61364 	0.000005	0.000005
0.86820	0.61831 	0.000005	0.000005
0.86820	0.61413 	0.000005	0.000005
0.86820	0.61396 	0.000005	0.000005
0.86820	0.61477 	0.000005	0.000005
0.86820	0.61815 	0.000005	0.000005
0.86603	0.61976 	0.000005	0.000005
0.85941	0.63088 	0.000005	0.000005
0.85035	0.64216 	0.000005	0.000005
0.84573	0.64184 	0.000005	0.000005
0.83867	0.65022 	0.000005	0.000005
0.83389	0.65424 	0.000005	0.000005
0.82659	0.65602 	0.000005	0.000005
0.81915	0.65682 	0.000005	0.000005
0.81157	0.66069 	0.000005	0.000005
0.80644	0.65569 	0.000005	0.000005
0.79864	0.65231 	0.000005	0.000005
0.79069	0.65537 	0.000005	0.000005
0.78261	0.65585 	0.000005	0.000005
0.77439	0.65408 	0.000005	0.000005
0.76604	0.65408 	0.000005	0.000005
0.75756	0.64893 	0.000005	0.000005
0.75184	0.64603 	0.000005	0.000005
0.74314	0.64264 	0.000005	0.000005
0.73432	0.63829 	0.000005	0.000005
0.72837	0.63362 	0.000005	0.000005
0.71934	0.62395 	0.000005	0.000005
0.71019	0.61719 	0.000005	0.000005
0.70401	0.61509 	0.000005	0.000005
0.70091	0.60816 	0.000005	0.000005
0.69466	0.60655 	0.000005	0.000005
0.68835	0.60220 	0.000005	0.000005
0.68200	0.59737 	0.000005	0.000005
