x	y	dx	dy
0.00000	0.02446 	0.000005	0.000005
0.00000	0.01833 	0.000005	0.000005
0.00000	0.02333 	0.000005	0.000005
0.00000	0.01946 	0.000005	0.000005
0.00000	0.02075 	0.000005	0.000005
0.00000	0.02349 	0.000005	0.000005
0.00000	0.02752 	0.000005	0.000005
0.00000	0.01930 	0.000005	0.000005
0.00000	0.02623 	0.000005	0.000005
0.00000	0.02542 	0.000005	0.000005
0.00000	0.02655 	0.000005	0.000005
0.00000	0.02720 	0.000005	0.000005
0.00000	0.02446 	0.000005	0.000005
0.00000	0.02881 	0.000005	0.000005
0.00000	0.02123 	0.000005	0.000005
0.00000	0.02800 	0.000005	0.000005
0.00000	0.02655 	0.000005	0.000005
0.00000	0.02075 	0.000005	0.000005
0.00000	0.02381 	0.000005	0.000005
0.00000	0.02188 	0.000005	0.000005
0.00000	0.01850 	0.000005	0.000005
0.00000	0.02430 	0.000005	0.000005
0.00000	0.02365 	0.000005	0.000005
0.00000	0.02188 	0.000005	0.000005
0.00000	0.01930 	0.000005	0.000005
0.00000	0.02252 	0.000005	0.000005
0.00436	0.02494 	0.000005	0.000005
0.00873	0.02349 	0.000005	0.000005
0.02182	0.03847 	0.000005	0.000005
0.03927	0.04717 	0.000005	0.000005
0.04363	0.06071 	0.000005	0.000005
0.04800	0.06667 	0.000005	0.000005
0.05672	0.06989 	0.000005	0.000005
0.06109	0.07231 	0.000005	0.000005
0.06545	0.08052 	0.000005	0.000005
0.07418	0.08536 	0.000005	0.000005
0.07854	0.09357 	0.000005	0.000005
0.08727	0.10372 	0.000005	0.000005
0.10036	0.11452 	0.000005	0.000005
0.10908	0.12612 	0.000005	0.000005
0.11781	0.13160 	0.000005	0.000005
0.12654	0.15222 	0.000005	0.000005
0.13963	0.16092 	0.000005	0.000005
0.14835	0.17332 	0.000005	0.000005
0.15708	0.18589 	0.000005	0.000005
0.17017	0.20329 	0.000005	0.000005
0.17890	0.21312 	0.000005	0.000005
0.19199	0.22778 	0.000005	0.000005
0.20071	0.23374 	0.000005	0.000005
0.21380	0.25291 	0.000005	0.000005
0.21817	0.25404 	0.000005	0.000005
0.22689	0.26355 	0.000005	0.000005
0.23126	0.27160 	0.000005	0.000005
0.23562	0.28111 	0.000005	0.000005
0.23562	0.28272 	0.000005	0.000005
0.24435	0.28594 	0.000005	0.000005
0.24871	0.28755 	0.000005	0.000005
0.25744	0.30237 	0.000005	0.000005
0.26616	0.31381 	0.000005	0.000005
