Polarization of Light 'theta' Data File Wed, Nov 13, 2024 4:34 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	0.21666
0.00000	0.22101
0.00000	0.21892
0.00000	0.22101
0.00000	0.21811
0.00000	0.22327
0.00000	0.22520
0.00000	0.21747
0.00000	0.22520
0.00000	0.21924
0.00000	0.22134
0.00000	0.22117
0.00000	0.21682
0.00000	0.22166
0.00000	0.21570
0.00000	0.22391
0.00000	0.22198
0.00000	0.22021
0.00000	0.21779
0.00436	0.22569
0.00873	0.23084
0.00873	0.23487
0.01309	0.23213
0.01745	0.24131
0.02182	0.24905
0.02182	0.24631
0.02182	0.25130
0.03054	0.26065
0.03491	0.26854
0.03927	0.26886
0.04363	0.28320
0.05236	0.29690
0.05672	0.29045
0.05672	0.29367
0.06109	0.31107
0.06981	0.31252
0.07418	0.32187
0.07854	0.32574
0.08727	0.34426
0.09599	0.34314
0.10472	0.35522
0.10908	0.37600
0.11781	0.38132
0.12654	0.38067
0.13090	0.39614
0.13963	0.40887
0.14835	0.41338
0.15272	0.42998
0.16144	0.43352
0.17017	0.45350
0.18326	0.46139
0.19635	0.47364
0.20508	0.47879
0.21380	0.49780
0.22253	0.51053
0.23126	0.52294
0.24435	0.51875
0.25307	0.53985
0.26180	0.54485
0.27053	0.56064
0.27925	0.57014
0.28798	0.57594
0.29671	0.58464
0.30980	0.59882
0.32289	0.60381
0.33161	0.61413
0.34470	0.62830
0.35779	0.62331
0.37088	0.62540
0.37961	0.63845
0.39270	0.62927
0.40579	0.63588
0.41452	0.62992
0.42761	0.63378
0.43633	0.63249
0.44942	0.63137
0.46251	0.63491
0.47124	0.62911
0.47997	0.62766
0.48869	0.61058
0.50178	0.62250
0.51051	0.60865
0.51924	0.60623
0.52796	0.60317
0.54105	0.59979
0.54978	0.59930
0.56723	0.58867
0.58032	0.58625
0.58905	0.57659
0.59778	0.58158
0.60214	0.57546
0.61087	0.56628
0.61959	0.56321
0.62396	0.56338
0.63268	0.56176
0.63705	0.55500
0.65014	0.54646
0.65886	0.54485
0.66323	0.54243
0.67195	0.53808
