x	y	dx	dy
180.00000	4.29557 	0.000005	0.000005
180.40000	4.28736 	0.000005	0.000005
180.80000	4.29396 	0.000005	0.000005
181.20000	4.29509 	0.000005	0.000005
181.60000	4.28913 	0.000005	0.000005
182.00000	4.29638 	0.000005	0.000005
182.40000	4.29622 	0.000005	0.000005
182.80000	4.29364 	0.000005	0.000005
183.20000	4.28945 	0.000005	0.000005
183.60000	4.28864 	0.000005	0.000005
184.00000	4.28300 	0.000005	0.000005
184.40000	4.28848 	0.000005	0.000005
184.80000	4.28236 	0.000005	0.000005
185.20000	4.29138 	0.000005	0.000005
185.60000	4.29477 	0.000005	0.000005
186.00000	4.29316 	0.000005	0.000005
186.40000	4.28752 	0.000005	0.000005
186.80000	4.29042 	0.000005	0.000005
187.20000	4.28913 	0.000005	0.000005
187.60000	4.28558 	0.000005	0.000005
188.00000	4.28929 	0.000005	0.000005
188.40000	4.28574 	0.000005	0.000005
188.80000	4.29332 	0.000005	0.000005
189.20000	4.29589 	0.000005	0.000005
189.60000	4.29364 	0.000005	0.000005
190.00000	4.28542 	0.000005	0.000005
190.40000	4.29074 	0.000005	0.000005
190.80000	4.29138 	0.000005	0.000005
191.20000	4.28510 	0.000005	0.000005
191.60000	4.29654 	0.000005	0.000005
192.00000	4.29557 	0.000005	0.000005
192.40000	4.28623 	0.000005	0.000005
192.80000	4.28913 	0.000005	0.000005
193.20000	4.29235 	0.000005	0.000005
193.60000	4.28607 	0.000005	0.000005
194.00000	4.28945 	0.000005	0.000005
194.40000	4.28284 	0.000005	0.000005
194.80000	4.29251 	0.000005	0.000005
195.20000	4.29074 	0.000005	0.000005
195.60000	4.29654 	0.000005	0.000005
196.00000	4.29058 	0.000005	0.000005
196.40000	4.28752 	0.000005	0.000005
196.80000	4.28155 	0.000005	0.000005
197.20000	4.28768 	0.000005	0.000005
197.60000	4.29106 	0.000005	0.000005
198.00000	4.29058 	0.000005	0.000005
198.40000	4.28655 	0.000005	0.000005
198.80000	4.28574 	0.000005	0.000005
199.20000	4.29557 	0.000005	0.000005
199.60000	4.29799 	0.000005	0.000005
200.00000	4.29219 	0.000005	0.000005
200.40000	4.29171 	0.000005	0.000005
200.80000	4.28719 	0.000005	0.000005
201.20000	4.28768 	0.000005	0.000005
201.60000	4.28864 	0.000005	0.000005
202.00000	4.28848 	0.000005	0.000005
202.40000	4.28929 	0.000005	0.000005
202.80000	4.28784 	0.000005	0.000005
203.20000	4.28768 	0.000005	0.000005
203.60000	4.29348 	0.000005	0.000005
204.00000	4.29058 	0.000005	0.000005
204.40000	4.28848 	0.000005	0.000005
204.80000	4.29026 	0.000005	0.000005
205.20000	4.29074 	0.000005	0.000005
205.60000	4.29718 	0.000005	0.000005
206.00000	4.29316 	0.000005	0.000005
206.40000	4.29090 	0.000005	0.000005
206.80000	4.29444 	0.000005	0.000005
207.20000	4.29573 	0.000005	0.000005
207.60000	4.29751 	0.000005	0.000005
208.00000	4.29219 	0.000005	0.000005
208.40000	4.29219 	0.000005	0.000005
208.80000	4.29493 	0.000005	0.000005
209.20000	4.29734 	0.000005	0.000005
209.60000	4.29235 	0.000005	0.000005
210.00000	4.29718 	0.000005	0.000005
210.40000	4.29316 	0.000005	0.000005
210.80000	4.29364 	0.000005	0.000005
211.20000	4.29267 	0.000005	0.000005
211.60000	4.29364 	0.000005	0.000005
212.00000	4.29525 	0.000005	0.000005
212.40000	4.29396 	0.000005	0.000005
212.80000	4.29299 	0.000005	0.000005
213.20000	4.29557 	0.000005	0.000005
213.60000	4.29477 	0.000005	0.000005
214.00000	4.29912 	0.000005	0.000005
214.40000	4.29557 	0.000005	0.000005
214.80000	4.29831 	0.000005	0.000005
215.20000	4.29251 	0.000005	0.000005
215.60000	4.29702 	0.000005	0.000005
216.00000	4.29509 	0.000005	0.000005
216.40000	4.29638 	0.000005	0.000005
216.80000	4.29622 	0.000005	0.000005
217.20000	4.29493 	0.000005	0.000005
217.60000	4.29493 	0.000005	0.000005
218.00000	4.29573 	0.000005	0.000005
218.40000	4.29090 	0.000005	0.000005
218.80000	4.29896 	0.000005	0.000005
219.20000	4.29686 	0.000005	0.000005
219.60000	4.29477 	0.000005	0.000005
220.00000	4.29267 	0.000005	0.000005
220.40000	4.29412 	0.000005	0.000005
220.80000	4.29444 	0.000005	0.000005
221.20000	4.29589 	0.000005	0.000005
221.60000	4.29058 	0.000005	0.000005
222.00000	4.29251 	0.000005	0.000005
222.40000	4.29751 	0.000005	0.000005
222.80000	4.29573 	0.000005	0.000005
223.20000	4.29316 	0.000005	0.000005
223.60000	4.29461 	0.000005	0.000005
224.00000	4.29783 	0.000005	0.000005
224.40000	4.29702 	0.000005	0.000005
224.80000	4.29734 	0.000005	0.000005
225.20000	4.29767 	0.000005	0.000005
225.60000	4.29589 	0.000005	0.000005
226.00000	4.28768 	0.000005	0.000005
226.40000	4.29767 	0.000005	0.000005
226.80000	4.29541 	0.000005	0.000005
227.20000	4.29718 	0.000005	0.000005
227.60000	4.29364 	0.000005	0.000005
228.00000	4.28542 	0.000005	0.000005
228.40000	4.29783 	0.000005	0.000005
228.80000	3.84364 	0.000005	0.000005
229.20000	2.73243 	0.000005	0.000005
229.60000	3.56072 	0.000005	0.000005
230.00000	3.88585 	0.000005	0.000005
230.40000	4.29332 	0.000005	0.000005
230.80000	4.28864 	0.000005	0.000005
231.20000	4.29686 	0.000005	0.000005
231.60000	4.29509 	0.000005	0.000005
232.00000	4.29767 	0.000005	0.000005
232.40000	4.28945 	0.000005	0.000005
232.80000	3.54074 	0.000005	0.000005
233.20000	4.29573 	0.000005	0.000005
233.60000	4.29509 	0.000005	0.000005
234.00000	3.38543 	0.000005	0.000005
234.40000	2.23169 	0.000005	0.000005
234.80000	3.31905 	0.000005	0.000005
235.20000	4.28220 	0.000005	0.000005
235.60000	4.29283 	0.000005	0.000005
