x	y	dx	dy
180.00000	0.00448 	0.000005	0.000005
180.10000	0.00126 	0.000005	0.000005
180.35000	-0.00116 	0.000005	0.000005
180.60000	-0.00148 	0.000005	0.000005
180.75000	-0.00116 	0.000005	0.000005
180.90000	0.00029 	0.000005	0.000005
181.05000	-0.00390 	0.000005	0.000005
181.25000	-0.00406 	0.000005	0.000005
181.35000	-0.00148 	0.000005	0.000005
181.45000	-0.00003 	0.000005	0.000005
181.55000	-0.00583 	0.000005	0.000005
181.70000	0.00029 	0.000005	0.000005
181.80000	-0.00084 	0.000005	0.000005
181.95000	-0.00132 	0.000005	0.000005
182.10000	0.00077 	0.000005	0.000005
182.25000	-0.00309 	0.000005	0.000005
182.40000	-0.00229 	0.000005	0.000005
182.60000	-0.00116 	0.000005	0.000005
182.75000	-0.00164 	0.000005	0.000005
182.90000	-0.00503 	0.000005	0.000005
183.05000	-0.00277 	0.000005	0.000005
183.15000	-0.00583 	0.000005	0.000005
183.30000	-0.00180 	0.000005	0.000005
183.40000	-0.00164 	0.000005	0.000005
183.50000	-0.00116 	0.000005	0.000005
183.60000	-0.00084 	0.000005	0.000005
183.75000	-0.00213 	0.000005	0.000005
183.85000	-0.00068 	0.000005	0.000005
183.95000	-0.00277 	0.000005	0.000005
184.05000	0.00061 	0.000005	0.000005
184.20000	-0.00325 	0.000005	0.000005
184.30000	0.00077 	0.000005	0.000005
184.45000	-0.00245 	0.000005	0.000005
184.60000	0.00045 	0.000005	0.000005
184.75000	-0.00245 	0.000005	0.000005
184.85000	0.00045 	0.000005	0.000005
184.95000	-0.00261 	0.000005	0.000005
185.10000	-0.00229 	0.000005	0.000005
185.20000	-0.00422 	0.000005	0.000005
185.30000	-0.00052 	0.000005	0.000005
185.40000	-0.00084 	0.000005	0.000005
185.50000	-0.00003 	0.000005	0.000005
185.65000	-0.00052 	0.000005	0.000005
185.70000	-0.00229 	0.000005	0.000005
185.80000	-0.00068 	0.000005	0.000005
185.95000	-0.00019 	0.000005	0.000005
186.10000	-0.00180 	0.000005	0.000005
186.25000	0.00110 	0.000005	0.000005
186.40000	0.00013 	0.000005	0.000005
186.55000	-0.00229 	0.000005	0.000005
186.70000	-0.00293 	0.000005	0.000005
186.85000	-0.00374 	0.000005	0.000005
186.95000	-0.00035 	0.000005	0.000005
187.10000	-0.00325 	0.000005	0.000005
187.20000	0.00013 	0.000005	0.000005
187.35000	-0.00148 	0.000005	0.000005
187.45000	-0.00229 	0.000005	0.000005
187.60000	-0.00519 	0.000005	0.000005
187.75000	-0.00342 	0.000005	0.000005
187.95000	-0.00148 	0.000005	0.000005
188.10000	-0.00100 	0.000005	0.000005
188.30000	0.00029 	0.000005	0.000005
188.50000	-0.00132 	0.000005	0.000005
188.65000	0.00013 	0.000005	0.000005
188.85000	-0.00019 	0.000005	0.000005
189.05000	-0.00197 	0.000005	0.000005
189.25000	-0.00422 	0.000005	0.000005
189.45000	-0.00132 	0.000005	0.000005
189.65000	-0.00100 	0.000005	0.000005
189.85000	-0.00422 	0.000005	0.000005
190.00000	-0.00390 	0.000005	0.000005
190.20000	-0.00325 	0.000005	0.000005
190.35000	-0.00229 	0.000005	0.000005
190.50000	-0.00132 	0.000005	0.000005
190.70000	0.00029 	0.000005	0.000005
190.85000	-0.00180 	0.000005	0.000005
191.00000	-0.00229 	0.000005	0.000005
191.15000	-0.00148 	0.000005	0.000005
191.30000	-0.00309 	0.000005	0.000005
191.50000	-0.00229 	0.000005	0.000005
191.70000	-0.00696 	0.000005	0.000005
191.90000	-0.00084 	0.000005	0.000005
192.10000	-0.00132 	0.000005	0.000005
192.30000	-0.00100 	0.000005	0.000005
192.50000	-0.00325 	0.000005	0.000005
192.70000	-0.00261 	0.000005	0.000005
192.90000	-0.00406 	0.000005	0.000005
193.10000	-0.00180 	0.000005	0.000005
193.30000	-0.00148 	0.000005	0.000005
193.50000	-0.00148 	0.000005	0.000005
193.70000	-0.00213 	0.000005	0.000005
193.85000	-0.00325 	0.000005	0.000005
194.05000	-0.00084 	0.000005	0.000005
194.25000	0.00013 	0.000005	0.000005
194.45000	-0.00261 	0.000005	0.000005
194.60000	-0.00003 	0.000005	0.000005
194.80000	-0.00261 	0.000005	0.000005
194.95000	-0.00325 	0.000005	0.000005
195.10000	-0.00229 	0.000005	0.000005
195.30000	-0.00422 	0.000005	0.000005
195.50000	-0.00470 	0.000005	0.000005
195.70000	-0.00229 	0.000005	0.000005
195.85000	-0.00019 	0.000005	0.000005
196.05000	-0.00696 	0.000005	0.000005
196.25000	-0.00180 	0.000005	0.000005
196.45000	-0.00068 	0.000005	0.000005
196.65000	0.00013 	0.000005	0.000005
196.85000	-0.00148 	0.000005	0.000005
197.05000	0.00013 	0.000005	0.000005
197.25000	-0.00148 	0.000005	0.000005
197.40000	-0.00197 	0.000005	0.000005
197.60000	-0.00180 	0.000005	0.000005
197.75000	-0.00245 	0.000005	0.000005
197.95000	-0.00342 	0.000005	0.000005
198.15000	-0.00180 	0.000005	0.000005
198.40000	-0.00132 	0.000005	0.000005
198.60000	-0.00068 	0.000005	0.000005
198.75000	-0.00261 	0.000005	0.000005
198.95000	-0.00116 	0.000005	0.000005
199.15000	-0.00100 	0.000005	0.000005
199.35000	-0.00342 	0.000005	0.000005
199.50000	-0.00245 	0.000005	0.000005
199.65000	-0.00213 	0.000005	0.000005
199.85000	-0.00390 	0.000005	0.000005
200.00000	-0.00132 	0.000005	0.000005
200.15000	-0.00229 	0.000005	0.000005
200.30000	-0.00003 	0.000005	0.000005
200.50000	-0.00197 	0.000005	0.000005
200.65000	-0.00374 	0.000005	0.000005
200.80000	-0.00084 	0.000005	0.000005
200.90000	-0.00229 	0.000005	0.000005
201.05000	-0.00551 	0.000005	0.000005
201.20000	-0.00438 	0.000005	0.000005
201.30000	-0.00197 	0.000005	0.000005
201.45000	-0.00325 	0.000005	0.000005
201.60000	-0.00132 	0.000005	0.000005
201.75000	-0.00132 	0.000005	0.000005
201.85000	-0.00213 	0.000005	0.000005
202.00000	-0.00245 	0.000005	0.000005
202.15000	-0.00535 	0.000005	0.000005
202.30000	-0.00084 	0.000005	0.000005
202.40000	-0.00132 	0.000005	0.000005
202.50000	-0.00245 	0.000005	0.000005
202.60000	-0.00358 	0.000005	0.000005
202.70000	-0.00197 	0.000005	0.000005
202.75000	-0.00358 	0.000005	0.000005
202.85000	-0.00245 	0.000005	0.000005
202.95000	-0.00213 	0.000005	0.000005
203.00000	-0.00406 	0.000005	0.000005
203.10000	-0.00148 	0.000005	0.000005
203.15000	-0.00229 	0.000005	0.000005
203.25000	-0.00052 	0.000005	0.000005
203.30000	-0.00084 	0.000005	0.000005
203.35000	-0.00213 	0.000005	0.000005
203.40000	0.00142 	0.000005	0.000005
203.45000	0.00029 	0.000005	0.000005
203.50000	-0.00035 	0.000005	0.000005
203.60000	-0.00035 	0.000005	0.000005
203.70000	0.00029 	0.000005	0.000005
203.75000	-0.00084 	0.000005	0.000005
203.80000	-0.00132 	0.000005	0.000005
203.85000	0.00013 	0.000005	0.000005
203.90000	-0.00035 	0.000005	0.000005
203.95000	0.00093 	0.000005	0.000005
204.00000	0.00077 	0.000005	0.000005
204.05000	0.00013 	0.000005	0.000005
204.10000	-0.00664 	0.000005	0.000005
204.15000	0.00013 	0.000005	0.000005
204.20000	-0.00116 	0.000005	0.000005
204.25000	0.00029 	0.000005	0.000005
204.30000	-0.00035 	0.000005	0.000005
204.35000	-0.00213 	0.000005	0.000005
204.50000	-0.00309 	0.000005	0.000005
204.65000	-0.00148 	0.000005	0.000005
204.80000	-0.00148 	0.000005	0.000005
204.95000	-0.00132 	0.000005	0.000005
205.15000	-0.00325 	0.000005	0.000005
205.30000	-0.00342 	0.000005	0.000005
205.45000	-0.00084 	0.000005	0.000005
205.55000	-0.00261 	0.000005	0.000005
205.70000	-0.00132 	0.000005	0.000005
205.85000	-0.00277 	0.000005	0.000005
206.00000	-0.00309 	0.000005	0.000005
206.10000	-0.00342 	0.000005	0.000005
206.25000	-0.00567 	0.000005	0.000005
206.35000	-0.00180 	0.000005	0.000005
