Polarization of Light 'Brewsters' Data File Wed, Nov 13, 2024 5:41 PM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	4.29509
180.00000	4.29702
180.00000	4.29267
180.00000	4.29219
180.00000	4.29428
180.00000	4.29654
180.00000	4.29622
180.00000	4.29042
180.00000	4.29461
180.00000	4.29187
180.00000	4.29364
180.00000	4.29654
180.00000	4.29009
180.00000	4.28961
180.01667	4.29509
180.01667	4.29171
180.01667	4.29380
180.01667	4.29734
180.01667	4.29074
180.01667	4.29670
180.01667	4.29493
180.03333	4.29606
180.03333	4.29557
180.03333	4.29718
180.03333	4.29606
180.03333	4.29477
180.05000	4.07533
180.05000	1.99051
180.10000	1.62075
180.25000	1.10052
180.55000	0.74463
180.83333	0.57030
181.01667	0.50489
181.15000	0.45076
181.28333	0.40017
181.40000	0.36666
181.50000	0.36295
181.53333	0.40774
181.55000	0.42128
181.55000	0.51150
181.55000	0.58223
181.55000	0.62959
181.55000	0.91122
181.55000	0.99693
181.55000	1.04591
181.55000	1.37119
181.55000	1.41066
181.55000	1.73176
181.55000	1.76124
181.55000	1.75915
181.55000	1.72145
181.55000	1.78976
181.55000	1.83777
181.55000	1.86806
181.55000	1.88627
181.55000	1.93444
181.56667	2.57551
181.56667	4.28059
181.56667	4.27994
181.56667	4.27688
181.56667	4.28075
181.56667	4.28591
181.56667	4.27849
181.58333	4.28220
181.60000	4.28574
181.63333	4.28365
181.66667	4.28671
181.71667	4.28462
181.78333	4.28816
181.85000	4.28478
181.93333	4.28768
182.03333	4.28317
182.15000	4.28929
182.26667	4.28155
182.38333	4.28961
182.51667	4.28526
182.63333	4.29219
182.75000	4.28993
182.85000	3.77678
182.96667	2.45902
183.08333	1.72016
183.21667	1.44353
183.33333	1.39794
183.46667	1.40003
183.58333	1.18913
183.71667	1.20267
183.85000	1.18285
183.98333	1.56533
184.11667	2.30146
184.25000	3.24333
184.36667	4.28494
184.48333	4.28736
184.60000	4.28284
184.71667	4.29009
184.81667	4.28413
184.93333	4.29299
185.03333	4.29026
185.13333	4.28913
185.23333	4.28478
185.35000	4.28929
185.45000	4.29493
185.55000	4.29058
185.65000	3.63258
185.76667	2.36864
185.88333	1.64299
186.00000	1.56823
186.11667	3.66271
186.23333	4.27930
186.35000	4.29106
186.46667	4.29283
186.56667	4.28768
186.65000	4.28623
186.75000	4.29154
186.85000	4.29267
186.93333	4.28832
187.01667	4.29557
187.10000	4.29138
187.18333	4.28913
187.26667	4.29316
187.35000	4.29106
187.43333	4.29332
187.51667	4.29235
187.61667	4.28848
187.70000	4.29461
187.78333	4.29235
187.88333	4.29573
187.95000	4.29009
188.03333	4.29380
188.13333	4.29638
188.21667	4.28929
188.30000	4.29009
188.40000	4.29009
188.48333	4.28784
188.60000	3.19499
188.71667	2.88018
188.86667	3.56346
189.00000	4.29299
189.13333	4.29461
189.26667	4.29428
189.40000	4.29364
189.51667	4.28945
189.63333	4.28977
189.75000	4.29026
189.86667	4.29316
190.00000	4.28832
190.10000	4.29380
190.20000	4.29106
190.28333	4.28864
190.36667	4.29525
190.46667	4.29412
190.55000	4.28848
190.63333	4.29026
190.71667	4.28703
190.80000	4.29154
190.88333	4.28913
190.96667	4.29477
191.06667	4.28993
191.15000	4.28848
191.25000	4.29235
191.36667	4.29428
191.48333	4.29090
191.60000	4.28832
191.70000	4.29348
191.81667	4.29589
191.93333	4.29412
192.03333	4.29702
192.13333	4.29364
192.23333	4.29187
192.33333	4.29348
192.43333	4.29622
192.53333	4.29670
192.65000	4.29718
192.78333	4.29493
192.90000	4.29364
193.05000	4.29009
193.16667	4.29267
193.30000	4.29251
193.43333	4.29573
193.55000	4.29412
193.66667	4.29573
193.76667	4.29332
193.88333	4.29654
194.00000	4.29154
194.11667	4.29831
194.23333	4.29606
194.35000	4.29348
194.45000	4.29799
194.55000	4.29589
194.65000	4.28848
194.76667	4.28881
194.85000	4.29477
194.95000	4.29638
195.03333	4.29412
195.13333	4.29444
195.21667	4.29203
195.30000	4.29606
195.40000	4.29171
195.48333	4.29557
195.58333	4.29171
195.66667	4.29638
195.78333	4.29074
195.90000	4.29444
196.01667	4.29702
196.15000	4.29283
196.28333	4.29203
196.40000	4.29847
196.53333	4.29267
196.65000	4.29122
196.76667	4.29299
196.86667	4.29428
196.98333	4.29171
197.08333	4.28768
197.18333	4.29251
197.26667	4.29203
197.36667	4.29267
197.45000	4.29912
197.53333	4.29316
197.63333	4.29509
197.73333	4.28897
197.83333	4.29364
197.93333	4.29283
198.05000	4.29154
198.15000	4.29267
198.25000	4.29009
198.36667	4.29396
198.48333	3.04838
198.60000	1.94733
198.73333	1.37909
198.86667	1.13806
198.98333	0.94312
199.11667	0.92427
199.25000	1.28612
199.40000	1.81071
199.55000	3.38930
199.68333	4.28365
199.81667	4.29299
199.95000	4.28961
200.06667	4.28977
200.20000	4.28864
200.31667	4.28832
200.45000	4.28961
200.56667	4.28881
200.68333	4.29138
200.81667	4.29509
200.95000	4.29026
201.08333	4.29138
201.20000	4.28961
201.28333	4.29219
201.38333	4.29219
201.48333	4.29235
201.58333	4.29734
201.68333	4.29525
201.76667	4.29493
201.85000	4.29235
201.93333	4.29412
202.01667	4.29090
202.10000	4.28993
202.18333	4.29235
202.26667	4.29299
202.36667	4.29090
202.45000	4.29493
202.53333	4.28671
202.63333	4.29251
202.70000	4.29477
202.80000	4.29251
202.88333	4.29299
202.98333	4.28897
203.06667	4.29283
203.16667	4.29009
203.25000	4.28945
203.33333	4.29477
203.41667	4.29573
203.51667	4.29428
203.63333	4.29734
203.73333	4.29251
203.83333	4.29509
203.95000	4.29348
204.06667	4.29525
204.18333	4.29477
204.31667	4.29767
