x	y	dx	dy
180.00000	4.28494 	0.000005	0.000005
180.01600	4.29026 	0.000005	0.000005
180.03300	4.29428 	0.000005	0.000005
180.04900	4.29267 	0.000005	0.000005
180.06600	4.29493 	0.000005	0.000005
180.08300	4.29074 	0.000005	0.000005
180.09900	4.29026 	0.000005	0.000005
180.11600	4.29380 	0.000005	0.000005
180.16600	4.29187 	0.000005	0.000005
180.21600	4.29525 	0.000005	0.000005
180.24900	4.29557 	0.000005	0.000005
180.28300	4.29493 	0.000005	0.000005
180.29900	4.28897 	0.000005	0.000005
180.31600	4.28719 	0.000005	0.000005
180.36600	4.28268 	0.000005	0.000005
180.44900	4.28478 	0.000005	0.000005
180.61600	4.28333 	0.000005	0.000005
180.74900	4.28736 	0.000005	0.000005
180.89900	4.29138 	0.000005	0.000005
181.01600	4.28993 	0.000005	0.000005
181.14900	4.29396 	0.000005	0.000005
181.29900	4.28945 	0.000005	0.000005
181.43300	4.29509 	0.000005	0.000005
181.54900	4.29058 	0.000005	0.000005
181.69900	4.28816 	0.000005	0.000005
181.84900	4.28913 	0.000005	0.000005
182.03300	4.28977 	0.000005	0.000005
182.19900	4.29235 	0.000005	0.000005
182.36600	4.29638 	0.000005	0.000005
182.49900	4.28784 	0.000005	0.000005
182.64900	4.29622 	0.000005	0.000005
182.79900	4.29461 	0.000005	0.000005
182.94900	4.28816 	0.000005	0.000005
183.09900	4.29364 	0.000005	0.000005
183.23300	4.28945 	0.000005	0.000005
183.39900	4.28107 	0.000005	0.000005
183.53300	4.28574 	0.000005	0.000005
183.64900	4.28864 	0.000005	0.000005
183.76600	4.28639 	0.000005	0.000005
183.86600	4.28317 	0.000005	0.000005
183.99900	4.28526 	0.000005	0.000005
184.19900	4.28300 	0.000005	0.000005
184.43300	4.28848 	0.000005	0.000005
184.68300	4.27946 	0.000005	0.000005
184.94900	4.28236 	0.000005	0.000005
185.26600	4.29138 	0.000005	0.000005
185.59900	4.28816 	0.000005	0.000005
185.88300	4.29477 	0.000005	0.000005
186.13300	4.29316 	0.000005	0.000005
186.38300	4.29154 	0.000005	0.000005
186.64900	4.28752 	0.000005	0.000005
186.89900	4.02667 	0.000005	0.000005
187.11600	4.29042 	0.000005	0.000005
187.28300	4.28913 	0.000005	0.000005
187.41600	4.28510 	0.000005	0.000005
187.49900	4.28284 	0.000005	0.000005
187.59900	4.28913 	0.000005	0.000005
187.74900	4.28558 	0.000005	0.000005
187.91600	4.28252 	0.000005	0.000005
188.06600	4.28639 	0.000005	0.000005
