x	y	dx	dy
180.00000	4.29734 	0.000005	0.000005
180.40000	0.74463 	0.000005	0.000005
180.80000	0.57030 	0.000005	0.000005
181.20000	4.28591 	0.000005	0.000005
181.60000	4.28816 	0.000005	0.000005
182.00000	4.28961 	0.000005	0.000005
182.40000	4.29219 	0.000005	0.000005
182.80000	3.77678 	0.000005	0.000005
183.20000	1.44353 	0.000005	0.000005
183.60000	1.56533 	0.000005	0.000005
184.00000	4.28494 	0.000005	0.000005
184.40000	4.29009 	0.000005	0.000005
184.80000	4.29299 	0.000005	0.000005
185.20000	4.29493 	0.000005	0.000005
185.60000	3.63258 	0.000005	0.000005
186.00000	4.29106 	0.000005	0.000005
186.40000	4.29283 	0.000005	0.000005
186.80000	4.29557 	0.000005	0.000005
187.20000	4.29332 	0.000005	0.000005
187.60000	4.29573 	0.000005	0.000005
188.00000	4.29638 	0.000005	0.000005
188.40000	4.28784 	0.000005	0.000005
188.80000	4.29461 	0.000005	0.000005
189.20000	4.29428 	0.000005	0.000005
189.60000	4.29316 	0.000005	0.000005
190.00000	4.29525 	0.000005	0.000005
190.40000	4.29412 	0.000005	0.000005
190.80000	4.29477 	0.000005	0.000005
191.20000	4.29428 	0.000005	0.000005
191.60000	4.29589 	0.000005	0.000005
192.00000	4.29702 	0.000005	0.000005
192.40000	4.29718 	0.000005	0.000005
192.80000	4.29364 	0.000005	0.000005
193.20000	4.29573 	0.000005	0.000005
193.60000	4.29654 	0.000005	0.000005
194.00000	4.29831 	0.000005	0.000005
194.40000	4.29799 	0.000005	0.000005
194.80000	4.29638 	0.000005	0.000005
195.20000	4.29606 	0.000005	0.000005
195.60000	4.29638 	0.000005	0.000005
196.00000	4.29847 	0.000005	0.000005
196.40000	4.29299 	0.000005	0.000005
196.80000	4.29428 	0.000005	0.000005
197.20000	4.29912 	0.000005	0.000005
197.60000	4.29509 	0.000005	0.000005
198.00000	4.29396 	0.000005	0.000005
198.40000	3.04838 	0.000005	0.000005
198.80000	1.13806 	0.000005	0.000005
199.20000	3.38930 	0.000005	0.000005
199.60000	4.29299 	0.000005	0.000005
200.00000	4.28977 	0.000005	0.000005
200.40000	4.29138 	0.000005	0.000005
200.80000	4.29509 	0.000005	0.000005
201.20000	4.29734 	0.000005	0.000005
201.60000	4.29525 	0.000005	0.000005
202.00000	4.29299 	0.000005	0.000005
202.40000	4.29493 	0.000005	0.000005
202.80000	4.29299 	0.000005	0.000005
203.20000	4.29573 	0.000005	0.000005
203.60000	4.29734 	0.000005	0.000005
204.00000	4.29767 	0.000005	0.000005
204.40000	4.29686 	0.000005	0.000005
204.80000	4.29477 	0.000005	0.000005
205.20000	4.29638 	0.000005	0.000005
205.60000	4.29799 	0.000005	0.000005
206.00000	4.29799 	0.000005	0.000005
206.40000	4.29525 	0.000005	0.000005
206.80000	4.29622 	0.000005	0.000005
207.20000	4.29718 	0.000005	0.000005
207.60000	4.29477 	0.000005	0.000005
208.00000	4.29767 	0.000005	0.000005
208.40000	4.29928 	0.000005	0.000005
208.80000	4.29654 	0.000005	0.000005
209.20000	4.29477 	0.000005	0.000005
209.60000	4.29847 	0.000005	0.000005
210.00000	4.29992 	0.000005	0.000005
210.40000	4.29799 	0.000005	0.000005
210.80000	4.29718 	0.000005	0.000005
211.20000	4.29702 	0.000005	0.000005
211.60000	4.29557 	0.000005	0.000005
212.00000	4.29364 	0.000005	0.000005
212.40000	4.29235 	0.000005	0.000005
