Polarization of Light 'Brewsters' Data File Wed, Nov 13, 2024 5:49 PM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	4.28300
180.00000	4.28494
180.00000	4.28107
180.00000	4.28091
180.00000	4.28397
180.00000	4.28107
180.00000	4.28059
180.01667	4.28010
180.01667	4.28526
180.01667	4.28059
180.01667	4.29026
180.03333	4.29428
180.03333	4.29042
180.03333	4.29058
180.05000	4.29267
180.06667	4.29493
180.08333	4.29074
180.10000	4.29026
180.11667	4.29380
180.16667	4.29187
180.21667	4.29525
180.25000	4.29557
180.28333	4.29493
180.28333	4.28719
180.30000	4.28897
180.30000	4.28365
180.30000	4.28268
180.30000	4.27720
180.30000	4.28478
180.30000	4.28574
180.31667	4.28719
180.31667	4.28462
180.36667	4.28268
180.45000	4.28478
180.61667	4.28333
180.75000	4.28736
180.90000	4.29138
181.01667	4.28993
181.15000	4.29396
181.30000	4.28945
181.43333	4.29509
181.55000	4.29058
181.70000	4.28816
181.85000	4.28913
182.03333	4.28977
182.20000	4.29235
182.36667	4.29638
182.50000	4.28784
182.65000	4.29622
182.80000	4.29461
182.95000	4.28816
183.10000	4.29364
183.23333	4.28945
183.40000	4.28107
183.53333	4.28574
183.65000	4.28864
183.76667	4.28639
183.86667	4.28317
184.00000	4.28526
184.20000	4.28300
184.43333	4.28848
184.68333	4.27946
184.95000	4.28236
185.26667	4.29138
185.60000	4.28816
185.88333	4.29477
186.13333	4.29316
186.38333	4.29154
186.65000	4.28752
186.90000	4.02667
187.11667	4.29042
187.28333	4.28913
187.41667	4.28510
187.50000	4.28284
187.60000	4.28913
187.75000	4.28558
187.91667	4.28252
188.06667	4.28639
188.25000	4.28929
188.45000	4.28574
188.66667	4.28462
188.90000	4.29332
189.15000	4.29187
189.41667	4.29589
189.66667	4.28897
189.93333	4.29364
190.20000	4.28542
190.46667	4.28848
190.70000	4.29074
190.96667	4.29138
191.21667	4.28510
191.50000	4.28429
191.81667	4.29654
192.10000	4.29493
192.36667	4.29557
192.63333	4.28623
192.90000	4.28881
193.15000	4.28913
193.36667	4.28993
193.58333	4.29235
193.80000	4.28607
194.06667	4.28639
194.33333	4.28945
194.60000	4.28284
194.80000	4.28268
195.00000	4.29251
195.18333	4.28816
195.38333	4.29074
195.58333	4.28929
195.76667	4.29654
195.98333	4.28945
196.23333	4.29058
196.51667	4.28752
196.76667	4.28494
197.00000	4.28155
197.21667	4.28768
197.40000	4.27930
197.61667	4.28591
197.80000	4.28655
197.98333	4.29106
198.16667	4.28703
198.38333	4.29058
198.61667	4.28655
198.85000	4.28574
199.08333	4.28365
199.30000	4.28333
199.55000	4.28252
199.78333	4.28639
200.00000	4.28703
200.06667	4.28719
200.05000	4.28961
200.01667	4.28236
199.98333	4.29203
199.96667	4.29461
199.95000	4.29187
199.96667	4.28848
199.95000	4.29267
199.96667	4.29364
199.91667	4.29606
199.93333	4.29235
