Polarization of Light 'Brewsters' Data File Wed, Nov 13, 2024 5:46 PM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.00448
180.00000	-0.00148
180.00000	0.00432
180.00000	0.00367
180.00000	0.00206
180.00000	0.00110
180.00000	0.00190
180.00000	-0.00132
180.01667	-0.00374
180.01667	-0.00164
180.01667	-0.00132
180.01667	0.00029
180.03333	0.00061
180.11667	0.00126
180.40000	-0.00116
180.61667	-0.00148
180.76667	-0.00116
180.91667	0.00029
181.10000	-0.00390
181.26667	-0.00406
181.38333	-0.00148
181.50000	-0.00003
181.60000	-0.00583
181.71667	0.00029
181.83333	-0.00084
181.96667	-0.00132
182.11667	0.00077
182.26667	-0.00309
182.43333	-0.00229
182.61667	-0.00116
182.78333	-0.00164
182.91667	-0.00503
183.06667	-0.00277
183.20000	-0.00583
183.31667	-0.00180
183.43333	-0.00164
183.55000	-0.00116
183.65000	-0.00084
183.76667	-0.00213
183.86667	-0.00068
183.96667	-0.00277
184.08333	0.00061
184.21667	-0.00325
184.35000	0.00077
184.48333	-0.00245
184.61667	0.00045
184.76667	-0.00245
184.88333	0.00045
185.00000	-0.00261
185.11667	-0.00229
185.23333	-0.00422
185.33333	-0.00052
185.43333	-0.00084
185.55000	-0.00003
185.66667	-0.00052
185.75000	-0.00229
185.85000	-0.00068
185.98333	-0.00019
186.13333	-0.00180
186.28333	0.00110
186.45000	0.00013
186.60000	-0.00229
186.73333	-0.00293
186.86667	-0.00374
186.98333	-0.00035
187.11667	-0.00325
187.23333	0.00013
187.36667	-0.00148
187.50000	-0.00229
187.65000	-0.00519
187.80000	-0.00342
187.98333	-0.00148
188.15000	-0.00100
188.33333	0.00029
188.51667	-0.00132
188.70000	0.00013
188.88333	-0.00019
189.10000	-0.00197
189.30000	-0.00422
189.48333	-0.00132
189.68333	-0.00100
189.86667	-0.00422
190.05000	-0.00390
190.21667	-0.00325
190.38333	-0.00229
190.55000	-0.00132
190.71667	0.00029
190.86667	-0.00180
191.03333	-0.00229
191.18333	-0.00148
191.35000	-0.00309
191.51667	-0.00229
191.71667	-0.00696
191.91667	-0.00084
192.13333	-0.00132
192.33333	-0.00100
192.55000	-0.00325
192.75000	-0.00261
192.95000	-0.00406
193.15000	-0.00180
193.35000	-0.00148
193.53333	-0.00148
193.71667	-0.00213
193.90000	-0.00325
194.10000	-0.00084
194.30000	0.00013
194.46667	-0.00261
194.65000	-0.00003
194.81667	-0.00261
194.98333	-0.00325
195.15000	-0.00229
195.33333	-0.00422
195.51667	-0.00470
195.71667	-0.00229
195.88333	-0.00019
196.06667	-0.00696
196.28333	-0.00180
196.48333	-0.00068
196.70000	0.00013
196.90000	-0.00148
197.10000	0.00013
197.26667	-0.00148
197.43333	-0.00197
197.61667	-0.00180
197.80000	-0.00245
198.00000	-0.00342
198.20000	-0.00180
198.41667	-0.00132
198.61667	-0.00068
198.80000	-0.00261
199.00000	-0.00116
199.18333	-0.00100
199.36667	-0.00342
199.53333	-0.00245
199.70000	-0.00213
199.88333	-0.00390
200.05000	-0.00132
200.20000	-0.00229
200.35000	-0.00003
200.51667	-0.00197
200.66667	-0.00374
200.81667	-0.00084
200.95000	-0.00229
201.10000	-0.00551
201.23333	-0.00438
201.35000	-0.00197
201.50000	-0.00325
201.63333	-0.00132
201.76667	-0.00132
201.90000	-0.00213
202.03333	-0.00245
202.18333	-0.00535
202.31667	-0.00084
202.43333	-0.00132
202.53333	-0.00245
202.63333	-0.00358
202.71667	-0.00197
202.80000	-0.00358
202.88333	-0.00245
202.96667	-0.00213
203.01667	-0.00406
203.11667	-0.00148
203.20000	-0.00229
203.26667	-0.00052
203.30000	-0.00422
203.30000	-0.00213
203.31667	-0.00084
203.33333	-0.00100
203.36667	-0.00245
203.38333	-0.00213
203.41667	0.00142
203.46667	0.00029
203.55000	-0.00035
203.61667	-0.00035
203.73333	0.00029
203.78333	-0.00084
203.83333	-0.00132
203.86667	-0.00180
203.86667	0.00013
203.88333	-0.00068
203.91667	-0.00068
203.95000	-0.00035
203.98333	-0.00180
203.98333	0.00013
203.98333	-0.00100
203.98333	-0.00245
203.98333	0.00093
203.98333	-0.00035
204.00000	-0.00068
204.01667	-0.00019
204.03333	0.00077
204.05000	-0.00116
204.06667	0.00013
204.13333	-0.00664
204.16667	-0.00277
204.18333	0.00013
204.20000	-0.00116
204.21667	-0.00422
204.21667	-0.00197
204.23333	-0.00180
204.25000	-0.00116
204.25000	-0.00164
204.26667	-0.00116
204.26667	-0.00100
204.28333	-0.00245
204.28333	-0.00229
204.28333	-0.00309
204.30000	-0.00261
204.30000	-0.00487
204.30000	0.00029
204.30000	-0.00100
204.30000	-0.00180
204.30000	-0.00197
204.31667	-0.00035
204.33333	-0.00035
204.35000	-0.00277
204.40000	-0.00213
204.51667	-0.00309
204.66667	-0.00148
204.83333	-0.00148
205.00000	-0.00132
205.16667	-0.00325
205.31667	-0.00342
205.46667	-0.00084
205.60000	-0.00261
205.75000	-0.00132
205.90000	-0.00277
206.01667	-0.00309
206.15000	-0.00342
206.26667	-0.00567
206.36667	-0.00180
206.48333	-0.00374
206.58333	-0.00197
206.68333	-0.00148
