Polarization of Light 'cos squared(theta)'  Data File Wed, Oct 23, 2024 4:36 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	0.65134
0.54030	0.65215
0.54030	0.64667
0.54030	0.65086
0.54030	0.65134
0.54030	0.65005
0.54030	0.65150
0.54030	0.64538
0.54030	0.65038
0.54030	0.64925
0.54030	0.64699
0.54030	0.64957
0.54030	0.64409
0.54030	0.65328
0.54030	0.65038
0.54030	0.65102
0.54031	0.67325
0.54031	0.68083
0.54033	0.69662
0.54033	0.70999
0.54037	0.73077
0.54037	0.74511
0.54043	0.77379
0.54043	0.79425
0.54050	0.82599
0.54059	0.84838
0.54069	0.86884
0.54081	0.89204
0.54081	0.90429
0.54095	0.91637
0.54095	0.92137
0.54095	0.93635
0.54110	0.95343
0.54127	0.97550
0.54146	0.98919
0.54165	1.00708
0.54187	1.02544
0.54210	1.03366
0.54210	1.03785
0.54235	1.03978
0.54235	1.04510
0.54261	1.05042
0.54289	1.05251
0.54289	1.06105
0.54319	1.06121
0.54319	1.06298
0.54350	1.06137
0.54383	1.05896
0.54417	1.05831
0.54417	1.04977
0.54453	1.04913
0.54453	1.04429
0.54490	1.03447
0.54529	1.02271
0.54529	1.02448
0.54570	1.00627
0.54612	1.00369
0.54656	0.97985
0.54656	0.96632
0.54701	0.94263
0.54748	0.92459
0.54797	0.90767
0.54847	0.88705
0.54898	0.85869
0.54951	0.83324
0.55006	0.80456
0.55006	0.79006
0.55062	0.77379
0.55120	0.74495
0.55120	0.71659
0.55179	0.69243
0.55240	0.66745
0.55240	0.64506
0.55302	0.62605
0.55366	0.59447
0.55366	0.57417
0.55432	0.54952
0.55499	0.52004
0.55499	0.50521
0.55567	0.48604
0.55567	0.47009
0.55637	0.43803
0.55709	0.39856
0.55782	0.38245
0.55782	0.36247
0.55856	0.34362
0.55856	0.31687
0.55932	0.30012
0.56009	0.27515
0.56088	0.24711
0.56088	0.22375
0.56169	0.19797
0.56251	0.17477
0.56334	0.16624
0.56419	0.13321
0.56419	0.11951
0.56506	0.10372
0.56506	0.09486
0.56593	0.08520
0.56593	0.07923
0.56683	0.07053
0.56683	0.06200
0.56773	0.05700
0.56773	0.04669
0.56866	0.03348
0.56866	0.03267
0.56959	0.02542
0.56959	0.01463
0.57054	0.01318
0.57054	0.01108
0.57054	0.00657
0.57151	0.00657
0.57151	-0.00470
0.57249	-0.00084
0.57249	-0.00116
0.57348	-0.01163
0.57348	-0.00599
0.57449	-0.00470
0.57449	-0.01099
0.57551	-0.00406
0.57551	-0.00325
0.57551	-0.00728
0.57654	0.00029
0.57654	-0.00164
0.57759	0.00093
0.57759	0.00996
0.57866	0.01237
0.57866	0.01447
0.57973	0.03058
0.58082	0.04057
0.58082	0.04170
0.58193	0.06055
