Polarization of Light 'cos squared(2xtheta)'  Data File Wed, Oct 23, 2024 4:36 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	0.65134
0.54030	0.65215
0.54030	0.64667
0.54030	0.65086
0.54030	0.65134
0.54030	0.65005
0.54030	0.65150
0.54030	0.64538
0.54030	0.65038
0.54030	0.64925
0.54030	0.64699
0.54030	0.64957
0.54030	0.64409
0.54030	0.65328
0.54030	0.65038
0.54030	0.65102
0.54033	0.67325
0.54033	0.68083
0.54043	0.69662
0.54043	0.70999
0.54059	0.73077
0.54059	0.74511
0.54081	0.77379
0.54081	0.79425
0.54110	0.82599
0.54146	0.84838
0.54187	0.86884
0.54235	0.89204
0.54235	0.90429
0.54289	0.91637
0.54289	0.92137
0.54289	0.93635
0.54350	0.95343
0.54417	0.97550
0.54490	0.98919
0.54570	1.00708
0.54656	1.02544
0.54748	1.03366
0.54748	1.03785
0.54847	1.03978
0.54847	1.04510
0.54951	1.05042
0.55062	1.05251
0.55062	1.06105
0.55179	1.06121
0.55179	1.06298
0.55302	1.06137
0.55432	1.05896
0.55567	1.05831
0.55567	1.04977
0.55709	1.04913
0.55709	1.04429
0.55856	1.03447
0.56009	1.02271
0.56009	1.02448
0.56169	1.00627
0.56334	1.00369
0.56506	0.97985
0.56506	0.96632
0.56683	0.94263
0.56866	0.92459
0.57054	0.90767
0.57249	0.88705
0.57449	0.85869
0.57654	0.83324
0.57866	0.80456
0.57866	0.79006
0.58082	0.77379
0.58305	0.74495
0.58305	0.71659
0.58532	0.69243
0.58765	0.66745
0.58765	0.64506
0.59004	0.62605
0.59247	0.59447
0.59247	0.57417
0.59496	0.54952
0.59750	0.52004
0.59750	0.50521
0.60009	0.48604
0.60009	0.47009
0.60273	0.43803
0.60542	0.39856
0.60816	0.38245
0.60816	0.36247
0.61094	0.34362
0.61094	0.31687
0.61378	0.30012
0.61666	0.27515
0.61958	0.24711
0.61958	0.22375
0.62255	0.19797
0.62557	0.17477
0.62863	0.16624
0.63173	0.13321
0.63173	0.11951
0.63488	0.10372
0.63488	0.09486
0.63806	0.08520
0.63806	0.07923
0.64129	0.07053
0.64129	0.06200
0.64455	0.05700
0.64455	0.04669
0.64786	0.03348
0.64786	0.03267
0.65120	0.02542
0.65120	0.01463
0.65458	0.01318
0.65458	0.01108
0.65458	0.00657
0.65800	0.00657
0.65800	-0.00470
0.66145	-0.00084
0.66145	-0.00116
0.66493	-0.01163
0.66493	-0.00599
0.66845	-0.00470
0.66845	-0.01099
0.67200	-0.00406
0.67200	-0.00325
0.67200	-0.00728
0.67559	0.00029
0.67559	-0.00164
0.67920	0.00093
0.67920	0.00996
0.68284	0.01237
0.68284	0.01447
0.68651	0.03058
0.69021	0.04057
0.69021	0.04170
0.69393	0.06055
