Polarization of Light 'cos(theta)' Data File Wed, Oct 23, 2024 4:36 PM
Sensor Position (Radians)	Light Intensity (Volts)
1.00000	0.65134
1.00000	0.65215
1.00000	0.64667
1.00000	0.65086
1.00000	0.65134
1.00000	0.65005
1.00000	0.65150
1.00000	0.64538
1.00000	0.65038
1.00000	0.64925
1.00000	0.64699
1.00000	0.64957
1.00000	0.64409
1.00000	0.65328
1.00000	0.65038
1.00000	0.65102
0.99999	0.67325
0.99999	0.68083
0.99996	0.69662
0.99996	0.70999
0.99991	0.73077
0.99991	0.74511
0.99985	0.77379
0.99985	0.79425
0.99976	0.82599
0.99966	0.84838
0.99953	0.86884
0.99939	0.89204
0.99939	0.90429
0.99923	0.91637
0.99923	0.92137
0.99923	0.93635
0.99905	0.95343
0.99885	0.97550
0.99863	0.98919
0.99839	1.00708
0.99813	1.02544
0.99786	1.03366
0.99786	1.03785
0.99756	1.03978
0.99756	1.04510
0.99725	1.05042
0.99692	1.05251
0.99692	1.06105
0.99657	1.06121
0.99657	1.06298
0.99619	1.06137
0.99580	1.05896
0.99540	1.05831
0.99540	1.04977
0.99497	1.04913
0.99497	1.04429
0.99452	1.03447
0.99406	1.02271
0.99406	1.02448
0.99357	1.00627
0.99307	1.00369
0.99255	0.97985
0.99255	0.96632
0.99200	0.94263
0.99144	0.92459
0.99087	0.90767
0.99027	0.88705
0.98965	0.85869
0.98902	0.83324
0.98836	0.80456
0.98836	0.79006
0.98769	0.77379
0.98700	0.74495
0.98700	0.71659
0.98629	0.69243
0.98556	0.66745
0.98556	0.64506
0.98481	0.62605
0.98404	0.59447
0.98404	0.57417
0.98325	0.54952
0.98245	0.52004
0.98245	0.50521
0.98163	0.48604
0.98163	0.47009
0.98079	0.43803
0.97992	0.39856
0.97905	0.38245
0.97905	0.36247
0.97815	0.34362
0.97815	0.31687
0.97723	0.30012
0.97630	0.27515
0.97534	0.24711
0.97534	0.22375
0.97437	0.19797
0.97338	0.17477
0.97237	0.16624
0.97134	0.13321
0.97134	0.11951
0.97030	0.10372
0.97030	0.09486
0.96923	0.08520
0.96923	0.07923
0.96815	0.07053
0.96815	0.06200
0.96705	0.05700
0.96705	0.04669
0.96593	0.03348
0.96593	0.03267
0.96479	0.02542
0.96479	0.01463
0.96363	0.01318
0.96363	0.01108
0.96363	0.00657
0.96246	0.00657
0.96246	-0.00470
0.96126	-0.00084
0.96126	-0.00116
0.96005	-0.01163
0.96005	-0.00599
0.95882	-0.00470
0.95882	-0.01099
0.95757	-0.00406
0.95757	-0.00325
0.95757	-0.00728
0.95630	0.00029
0.95630	-0.00164
0.95502	0.00093
0.95502	0.00996
0.95372	0.01237
0.95372	0.01447
0.95240	0.03058
0.95106	0.04057
0.95106	0.04170
0.94970	0.06055
0.94832	0.06409
0.94832	0.07875
0.94693	0.09116
0.94693	0.09390
0.94552	0.10952
0.94552	0.11726
0.94552	0.12435
0.94409	0.13466
0.94409	0.14368
0.94264	0.16769
0.94118	0.18927
0.94118	0.20297
0.93969	0.23245
0.93819	0.26113
0.93667	0.28562
0.93667	0.30608
0.93514	0.32074
0.93514	0.34281
0.93358	0.35844
0.93201	0.38084
0.93201	0.39808
0.93042	0.41902
0.92881	0.44818
0.92881	0.46413
0.92718	0.48717
0.92554	0.51633
0.92554	0.54871
0.92388	0.57852
0.92220	0.59221
0.92220	0.62395
0.92050	0.64925
0.91879	0.67841
0.91706	0.70322
0.91706	0.73480
0.91531	0.75526
0.91355	0.77878
0.91176	0.79973
0.91176	0.82550
0.90996	0.84677
0.90814	0.86127
0.90814	0.88399
0.90631	0.90187
0.90631	0.90622
0.90446	0.92314
0.90446	0.93023
0.90259	0.95166
0.90070	0.96761
0.89879	0.98839
0.89687	0.99161
0.89687	1.00450
0.89493	1.00756
0.89298	1.01916
0.89298	1.02867
0.89101	1.02931
0.88902	1.03721
0.88902	1.04075
0.88701	1.03962
0.88499	1.04429
0.88499	1.04156
0.88295	1.04059
0.88295	1.03737
0.88089	1.03253
0.87882	1.03028
0.87882	1.02722
0.87673	1.01723
0.87673	1.01642
0.87462	1.00514
0.87250	1.00224
0.87250	0.99532
0.87036	0.98227
0.86820	0.96954
0.86820	0.95842
0.86603	0.93877
0.86384	0.92765
0.86384	0.90961
0.86163	0.88125
0.85941	0.86417
0.85717	0.83630
0.85491	0.81294
0.85264	0.78120
0.85264	0.75752
0.85035	0.71982
0.84805	0.69629
0.84573	0.67728
0.84573	0.65666
0.84339	0.63394
0.84339	0.61493
0.84104	0.58561
0.84104	0.57369
0.83867	0.55741
0.83867	0.53969
0.83867	0.52584
0.83629	0.51311
0.83629	0.50006
0.83629	0.49378
0.83389	0.47412
0.83389	0.46155
0.83147	0.42708
0.82904	0.39953
0.82659	0.37262
0.82413	0.33492
0.82413	0.31671
0.82165	0.28288
0.81915	0.26097
0.81664	0.23825
0.81664	0.21215
0.81412	0.19137
0.80644	0.12692
0.80644	0.11774
0.80386	0.10324
0.80386	0.10550
0.80386	0.07988
0.80125	0.07907
0.80125	0.06973
0.79864	0.05684
0.79864	0.05040
0.79600	0.04331
0.79600	0.03815
0.79335	0.02494
0.79069	0.01817
0.79069	0.01108
0.78801	0.00593
0.78801	0.00222
0.78532	-0.00148
0.78532	-0.00583
0.78261	-0.00551
0.77988	-0.01018
0.77988	-0.00809
0.77715	-0.00889
0.77439	-0.00180
0.77439	-0.00519
0.77162	0.00110
0.77162	0.00013
0.76884	0.01108
0.76604	0.01076
0.76604	0.02268
0.76323	0.02977
0.76323	0.03783
0.76041	0.04605
0.75756	0.05877
0.75471	0.07827
0.75471	0.09599
0.75184	0.10807
0.74896	0.12257
0.74896	0.13868
0.74606	0.15576
0.74314	0.17107
0.74314	0.19089
0.74022	0.20893
0.74022	0.22552
0.73728	0.24889
0.73432	0.27337
0.73135	0.29867
0.73135	0.32187
0.72837	0.34314
0.72537	0.35892
0.72537	0.38954
0.72236	0.39840
0.72236	0.40774
0.72236	0.40581
0.71934	0.43819
0.71630	0.47589
0.71630	0.48814
0.71630	0.49490
0.71325	0.51005
0.71325	0.53695
0.71019	0.55290
0.71019	0.57175
0.70711	0.59834
0.70401	0.62589
0.70401	0.62927
0.70091	0.65634
0.69779	0.69065
0.69779	0.71353
0.69466	0.73383
0.69466	0.73673
0.69466	0.73383
0.69151	0.77443
0.68835	0.80746
0.68518	0.81890
0.68518	0.84033
0.68200	0.86337
0.67880	0.87803
0.67559	0.90332
0.67237	0.92491
0.66913	0.93893
0.66588	0.95697
0.66588	0.96954
0.66262	0.97373
0.66262	0.98871
0.65935	0.99403
0.65606	0.99934
0.65276	1.00804
0.65276	1.00788
0.64945	1.01401
0.64612	1.01819
0.64612	1.01707
0.64279	1.01384
0.63944	1.01384
0.63608	1.01401
0.63608	1.00933
0.63271	1.00949
0.63271	1.00692
0.62932	1.00547
0.62932	0.99306
0.62592	0.99516
0.62251	0.98533
0.61909	0.96519
0.61566	0.95810
0.61566	0.94424
0.61222	0.92249
0.60876	0.91379
0.60529	0.90429
0.60529	0.89478
0.60182	0.88125
0.59832	0.86997
0.59832	0.85628
0.59482	0.84758
0.59482	0.84049
0.59131	0.80810
0.58779	0.78909
0.58425	0.74785
0.58070	0.72336
