Polarization of Light 'theta' Data File Wed, Oct 23, 2024 4:35 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	0.65134
0.00000	0.65215
0.00000	0.64667
0.00000	0.65086
0.00000	0.65134
0.00000	0.65005
0.00000	0.65150
0.00000	0.64538
0.00000	0.65038
0.00000	0.64925
0.00000	0.64699
0.00000	0.64957
0.00000	0.64409
0.00000	0.65328
0.00000	0.65038
0.00000	0.65102
0.00436	0.67325
0.00436	0.68083
0.00873	0.69662
0.00873	0.70999
0.01309	0.73077
0.01309	0.74511
0.01745	0.77379
0.01745	0.79425
0.02182	0.82599
0.02618	0.84838
0.03054	0.86884
0.03491	0.89204
0.03491	0.90429
0.03927	0.91637
0.03927	0.92137
0.03927	0.93635
0.04363	0.95343
0.04800	0.97550
0.05236	0.98919
0.05672	1.00708
0.06109	1.02544
0.06545	1.03366
0.06545	1.03785
0.06981	1.03978
0.06981	1.04510
0.07418	1.05042
0.07854	1.05251
0.07854	1.06105
0.08290	1.06121
0.08290	1.06298
0.08727	1.06137
0.09163	1.05896
0.09599	1.05831
0.09599	1.04977
0.10036	1.04913
0.10036	1.04429
0.10472	1.03447
0.10908	1.02271
0.10908	1.02448
0.11345	1.00627
0.11781	1.00369
0.12217	0.97985
0.12217	0.96632
0.12654	0.94263
0.13090	0.92459
0.13526	0.90767
0.13963	0.88705
0.14399	0.85869
0.14835	0.83324
0.15272	0.80456
0.15272	0.79006
0.15708	0.77379
0.16144	0.74495
0.16144	0.71659
0.16581	0.69243
0.17017	0.66745
0.17017	0.64506
0.17453	0.62605
0.17890	0.59447
0.17890	0.57417
0.18326	0.54952
0.18762	0.52004
0.18762	0.50521
0.19199	0.48604
0.19199	0.47009
0.19635	0.43803
0.20071	0.39856
0.20508	0.38245
0.20508	0.36247
0.20944	0.34362
0.20944	0.31687
0.21380	0.30012
0.21817	0.27515
0.22253	0.24711
0.22253	0.22375
0.22689	0.19797
0.23126	0.17477
0.23562	0.16624
0.23998	0.13321
0.23998	0.11951
0.24435	0.10372
0.24435	0.09486
0.24871	0.08520
0.24871	0.07923
0.25307	0.07053
0.25307	0.06200
0.25744	0.05700
0.25744	0.04669
0.26180	0.03348
0.26180	0.03267
0.26616	0.02542
0.26616	0.01463
0.27053	0.01318
0.27053	0.01108
0.27053	0.00657
0.27489	0.00657
0.27489	-0.00470
0.27925	-0.00084
0.27925	-0.00116
0.28362	-0.01163
0.28362	-0.00599
0.28798	-0.00470
0.28798	-0.01099
0.29234	-0.00406
0.29234	-0.00325
0.29234	-0.00728
0.29671	0.00029
0.29671	-0.00164
0.30107	0.00093
0.30107	0.00996
0.30543	0.01237
0.30543	0.01447
0.30980	0.03058
0.31416	0.04057
0.31416	0.04170
0.31852	0.06055
0.32289	0.06409
0.32289	0.07875
0.32725	0.09116
0.32725	0.09390
0.33161	0.10952
0.33161	0.11726
0.33161	0.12435
0.33598	0.13466
0.33598	0.14368
0.34034	0.16769
0.34470	0.18927
0.34470	0.20297
0.34907	0.23245
0.35343	0.26113
0.35779	0.28562
0.35779	0.30608
0.36216	0.32074
0.36216	0.34281
0.36652	0.35844
0.37088	0.38084
0.37088	0.39808
0.37525	0.41902
0.37961	0.44818
0.37961	0.46413
0.38397	0.48717
0.38834	0.51633
0.38834	0.54871
0.39270	0.57852
0.39706	0.59221
0.39706	0.62395
0.40143	0.64925
0.40579	0.67841
0.41015	0.70322
0.41015	0.73480
0.41452	0.75526
0.41888	0.77878
0.42324	0.79973
0.42324	0.82550
0.42761	0.84677
0.43197	0.86127
0.43197	0.88399
0.43633	0.90187
0.43633	0.90622
0.44070	0.92314
0.44070	0.93023
0.44506	0.95166
0.44942	0.96761
0.45379	0.98839
0.45815	0.99161
0.45815	1.00450
0.46251	1.00756
0.46688	1.01916
0.46688	1.02867
0.47124	1.02931
0.47560	1.03721
0.47560	1.04075
0.47997	1.03962
0.48433	1.04429
0.48433	1.04156
0.48869	1.04059
0.48869	1.03737
0.49306	1.03253
0.49742	1.03028
0.49742	1.02722
0.50178	1.01723
0.50178	1.01642
0.50615	1.00514
0.51051	1.00224
0.51051	0.99532
0.51487	0.98227
0.51924	0.96954
0.51924	0.95842
0.52360	0.93877
0.52796	0.92765
0.52796	0.90961
0.53233	0.88125
0.53669	0.86417
0.54105	0.83630
0.54542	0.81294
0.54978	0.78120
0.54978	0.75752
0.55414	0.71982
0.55851	0.69629
0.56287	0.67728
0.56287	0.65666
0.56723	0.63394
0.56723	0.61493
0.57160	0.58561
0.57160	0.57369
0.57596	0.55741
0.57596	0.53969
0.57596	0.52584
0.58032	0.51311
0.58032	0.50006
0.58032	0.49378
0.58469	0.47412
0.58469	0.46155
0.58905	0.42708
0.59341	0.39953
0.59778	0.37262
0.60214	0.33492
0.60214	0.31671
0.60650	0.28288
0.61087	0.26097
0.61523	0.23825
0.61523	0.21215
0.61959	0.19137
0.63268	0.12692
0.63268	0.11774
0.63705	0.10324
0.63705	0.10550
0.63705	0.07988
0.64141	0.07907
0.64141	0.06973
0.64577	0.05684
0.64577	0.05040
0.65014	0.04331
0.65014	0.03815
0.65450	0.02494
0.65886	0.01817
0.65886	0.01108
0.66323	0.00593
0.66323	0.00222
0.66759	-0.00148
0.66759	-0.00583
0.67195	-0.00551
0.67632	-0.01018
0.67632	-0.00809
0.68068	-0.00889
0.68504	-0.00180
0.68504	-0.00519
0.68941	0.00110
0.68941	0.00013
0.69377	0.01108
0.69813	0.01076
0.69813	0.02268
0.70250	0.02977
0.70250	0.03783
0.70686	0.04605
0.71122	0.05877
0.71558	0.07827
0.71558	0.09599
0.71995	0.10807
0.72431	0.12257
0.72431	0.13868
0.72867	0.15576
0.73304	0.17107
0.73304	0.19089
0.73740	0.20893
0.73740	0.22552
0.74176	0.24889
0.74613	0.27337
0.75049	0.29867
0.75049	0.32187
0.75485	0.34314
0.75922	0.35892
0.75922	0.38954
0.76358	0.39840
0.76358	0.40774
0.76358	0.40581
0.76794	0.43819
0.77231	0.47589
0.77231	0.48814
0.77231	0.49490
0.77667	0.51005
0.77667	0.53695
0.78103	0.55290
0.78103	0.57175
0.78540	0.59834
0.78976	0.62589
0.78976	0.62927
0.79412	0.65634
0.79849	0.69065
0.79849	0.71353
0.80285	0.73383
0.80285	0.73673
0.80285	0.73383
0.80721	0.77443
0.81158	0.80746
0.81594	0.81890
0.81594	0.84033
0.82030	0.86337
0.82467	0.87803
0.82903	0.90332
0.83339	0.92491
0.83776	0.93893
0.84212	0.95697
0.84212	0.96954
0.84648	0.97373
0.84648	0.98871
0.85085	0.99403
0.85521	0.99934
0.85957	1.00804
0.85957	1.00788
0.86394	1.01401
0.86830	1.01819
0.86830	1.01707
0.87266	1.01384
0.87703	1.01384
0.88139	1.01401
0.88139	1.00933
0.88575	1.00949
0.88575	1.00692
0.89012	1.00547
0.89012	0.99306
0.89448	0.99516
0.89884	0.98533
0.90321	0.96519
0.90757	0.95810
0.90757	0.94424
0.91193	0.92249
0.91630	0.91379
0.92066	0.90429
0.92066	0.89478
0.92502	0.88125
0.92939	0.86997
0.92939	0.85628
0.93375	0.84758
0.93375	0.84049
0.93811	0.80810
0.94248	0.78909
0.94684	0.74785
0.95120	0.72336
0.95120	0.69372
0.95557	0.66697
0.95993	0.64683
0.95993	0.62605
0.96429	0.60784
0.96429	0.57449
0.96866	0.55468
0.97302	0.54001
0.97302	0.51569
0.97738	0.49426
0.98175	0.47186
0.98611	0.45044
0.98611	0.42530
0.99047	0.40436
0.99484	0.37955
0.99920	0.34571
0.99920	0.31881
1.00356	0.29883
1.00793	0.27225
1.01229	0.24260
1.01665	0.22375
1.01665	0.19765
1.02102	0.18331
1.02538	0.16350
1.02538	0.13740
1.02974	0.11806
1.03847	0.08584
1.03847	0.07037
1.04283	0.05523
1.04720	0.03412
1.05156	0.03074
1.05592	0.02107
1.05592	0.01318
1.06029	0.00851
1.06465	0.00303
1.06901	-0.00164
1.06901	-0.00873
1.07338	-0.00986
1.07774	-0.00777
1.08210	-0.00245
1.08210	-0.00213
1.08647	0.00158
1.09083	0.00255
1.09083	0.01592
1.09519	0.01672
1.09956	0.03316
1.10392	0.04669
1.10828	0.05620
1.11265	0.07456
1.11265	0.09406
1.11701	0.10791
1.12137	0.12016
1.12137	0.13578
1.12574	0.14948
1.12574	0.16446
