Polarization of Light 'cos squared(2xtheta)'  Data File Wed, Oct 23, 2024 5:14 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	0.00512
0.54030	0.00416
0.54030	0.00690
0.54030	0.00222
0.54030	0.00706
0.54030	0.00142
0.54030	0.00367
0.54030	0.00400
0.54030	0.00351
0.54030	0.00142
0.54030	0.00690
0.54030	0.00754
0.54030	0.00110
0.54030	0.00738
0.54030	0.00754
0.54030	0.00577
0.54030	0.00690
0.54043	-0.00309
0.54081	-0.01050
0.54146	-0.00744
0.54146	-0.01034
0.54187	-0.00825
0.54187	-0.00744
0.54235	0.00126
0.54235	0.00319
0.54289	0.00545
0.54289	0.00963
0.54350	0.01608
0.54350	0.01463
0.54417	0.02607
0.54417	0.02865
0.54490	0.03090
0.54570	0.04476
0.54570	0.04975
0.54656	0.06183
0.54656	0.06699
0.54748	0.07488
0.54847	0.09551
0.54951	0.10791
0.55062	0.12870
0.55179	0.14078
0.55179	0.15222
0.55302	0.16575
0.55432	0.18074
0.55567	0.20796
0.55709	0.22665
0.55856	0.25807
0.56009	0.28481
0.56169	0.30286
0.56334	0.32670
0.56506	0.34314
0.56683	0.36360
0.56683	0.37842
0.56866	0.39614
0.57054	0.41950
0.57249	0.44174
0.57449	0.45624
0.57654	0.48765
0.58082	0.51569
0.58305	0.54743
0.58532	0.57336
0.59004	0.60075
0.59004	0.61783
0.59247	0.63717
0.59496	0.64989
0.59750	0.66520
0.60273	0.67503
0.60542	0.68920
0.61094	0.70419
0.61378	0.70918
0.61958	0.72078
0.62255	0.71772
0.62557	0.71837
0.62863	0.71692
0.63173	0.70515
0.63806	0.69339
0.64129	0.67406
0.64786	0.66246
0.65120	0.64474
0.65458	0.62863
0.66145	0.60059
0.66493	0.58545
0.67200	0.56064
0.67559	0.52423
0.67920	0.50151
0.68284	0.47235
0.68651	0.45334
0.68651	0.44061
0.69021	0.42176
0.69021	0.42450
0.69021	0.42240
0.69021	0.42418
0.69021	0.42756
0.69021	0.42563
0.69021	0.43014
0.69021	0.42836
0.69021	0.43239
0.69021	0.43980
0.69021	0.43014
0.69021	0.43126
0.69021	0.43529
0.69021	0.42933
0.69021	0.43465
0.69021	0.42933
0.69021	0.42998
0.69021	0.43578
0.69021	0.42933
0.69021	0.43513
0.69021	0.43352
0.69021	0.42675
0.69021	0.42901
0.69021	0.43481
0.69021	0.43255
0.69021	0.43851
0.69021	0.43803
0.69393	0.41902
0.70146	0.36360
0.70908	0.30544
0.71678	0.25179
0.72066	0.22359
0.72847	0.19475
0.73634	0.15125
0.74030	0.11677
0.74427	0.09309
0.75224	0.07118
0.75624	0.04943
0.76024	0.03654
0.76827	0.02059
0.77229	0.01270
0.77631	-0.00197
0.78034	-0.00438
0.78838	-0.00857
0.79240	-0.01018
0.79642	-0.00728
0.80443	-0.01131
0.80443	-0.00116
0.81241	0.00577
0.81639	0.01028
0.82036	0.02510
0.82825	0.03702
0.83217	0.06200
0.83997	0.08149
0.84383	0.09776
0.84768	0.11887
0.85151	0.14207
0.85531	0.15512
0.86285	0.18396
0.86657	0.20861
0.87027	0.23342
0.87394	0.25630
0.87758	0.27305
0.87758	0.28578
0.88119	0.30463
0.88476	0.32219
0.88830	0.33830
0.89181	0.36247
0.89527	0.38212
0.89870	0.39389
0.90209	0.41338
0.90209	0.43094
0.90544	0.44721
0.90875	0.46606
0.91202	0.47879
0.91524	0.49394
0.91842	0.50376
0.92155	0.51424
0.92463	0.52197
0.92767	0.53148
0.93065	0.53470
0.93359	0.54485
0.93647	0.55049
0.93930	0.56112
0.94208	0.56048
0.94480	0.56644
0.94747	0.56547
0.95008	0.56918
0.95263	0.56773
0.95513	0.56547
0.95994	0.56611
0.96225	0.55548
0.96450	0.53711
0.96669	0.53421
0.96669	0.52406
0.96882	0.51311
0.97088	0.50973
0.97288	0.49023
0.97481	0.47541
0.97667	0.45881
0.97846	0.43433
0.98019	0.41870
0.98185	0.40355
0.98344	0.39276
0.98344	0.38148
0.98496	0.36489
0.98641	0.35457
0.98641	0.33846
0.98641	0.33250
0.98641	0.33766
0.98641	0.33895
0.98641	0.33991
0.98641	0.34249
0.98641	0.33669
0.98641	0.33637
0.98641	0.33734
0.98641	0.34201
0.98641	0.34297
0.98641	0.33556
0.98641	0.33814
0.98641	0.33476
0.98641	0.34652
0.98641	0.34024
0.98641	0.34136
0.98641	0.34587
0.98641	0.33943
0.98641	0.33991
0.98641	0.34185
0.98641	0.34281
0.98641	0.33814
0.98641	0.33862
0.98641	0.34587
0.98641	0.33814
0.98779	0.34040
0.98779	0.34136
0.98779	0.33734
0.98779	0.34024
0.98779	0.33879
0.98779	0.34152
0.98779	0.34265
0.98779	0.33750
0.98779	0.34201
0.98779	0.33943
0.98779	0.33540
0.98779	0.33540
0.98779	0.33057
0.98779	0.32719
0.98779	0.32509
0.98779	0.32300
0.98910	0.31027
0.99033	0.29980
0.99033	0.27885
0.99149	0.26677
0.99258	0.24421
0.99360	0.23020
0.99454	0.20522
0.99541	0.18847
0.99620	0.16785
0.99692	0.14803
0.99757	0.13031
0.99814	0.11194
0.99863	0.09486
0.99863	0.08632
0.99905	0.06538
0.99939	0.05732
0.99966	0.04331
0.99985	0.03445
0.99996	0.02575
1.00000	0.01221
0.99996	0.00980
0.99985	0.00206
0.99966	-0.00905
0.99905	-0.00760
0.99863	-0.01453
0.99814	-0.00938
0.99757	-0.01018
0.99692	0.00013
0.99541	0.01141
0.99454	0.02156
0.99258	0.03976
0.99149	0.06055
0.99033	0.07875
0.98910	0.10147
0.98779	0.11951
0.98641	0.13417
0.98496	0.15834
0.98344	0.18202
0.98019	0.21505
0.97846	0.24534
0.97667	0.27337
0.97288	0.30882
0.97088	0.35103
0.96882	0.38728
0.96450	0.42289
0.96225	0.46059
0.95994	0.49700
0.95513	0.52696
0.95263	0.56096
0.95008	0.58496
0.94747	0.61493
0.94208	0.64135
0.93930	0.67003
0.93359	0.68824
0.93065	0.70934
0.92767	0.72739
0.92155	0.73995
0.91524	0.76025
0.91202	0.78088
0.90544	0.79779
0.90209	0.82132
0.89870	0.82953
0.89527	0.82051
0.89181	0.81729
0.89181	0.81648
0.88830	0.81084
0.88476	0.78748
0.88119	0.76847
0.87394	0.74060
0.87027	0.70902
0.86657	0.68808
0.86285	0.67938
0.86285	0.65924
0.85909	0.64796
0.85531	0.63410
0.85151	0.61187
0.84768	0.59173
0.84383	0.56273
0.83997	0.53438
0.83608	0.49813
0.82825	0.46333
0.82825	0.44738
0.82431	0.41886
0.82431	0.41709
0.82431	0.41709
0.82431	0.42337
0.82431	0.43626
0.82431	0.42724
0.82431	0.43239
0.82431	0.42128
0.82431	0.41983
0.82431	0.43271
0.82431	0.43368
0.82431	0.43336
0.82431	0.42176
0.82431	0.42369
0.82431	0.43062
0.82431	0.42917
0.83217	0.47895
0.84383	0.56209
0.84383	0.55242
0.84383	0.54968
0.84383	0.55178
0.84383	0.54984
0.84383	0.54904
0.84383	0.55564
0.84383	0.54340
0.83997	0.53631
0.83997	0.54001
0.83997	0.54356
0.83997	0.53679
0.83997	0.54324
0.83997	0.54372
0.83997	0.54195
0.83997	0.54114
0.83997	0.54018
0.83997	0.54050
0.83997	0.54533
0.83997	0.53583
0.83997	0.54420
0.83997	0.53148
0.83997	0.52616
0.83997	0.52149
0.83608	0.51762
0.83608	0.50135
0.83217	0.48862
0.82825	0.46188
0.82431	0.42659
0.82036	0.40065
0.81639	0.35909
0.80843	0.32686
0.80843	0.30753
0.80443	0.28481
0.79642	0.26097
0.79240	0.23519
0.78838	0.20651
0.78436	0.17993
0.78034	0.15206
0.77229	0.12241
0.76827	0.08987
0.76426	0.06860
0.75624	0.04701
0.75224	0.02333
0.74427	0.01205
0.74030	-0.00035
0.73634	-0.00615
0.72847	-0.00954
0.72456	-0.01115
0.72066	-0.01050
0.71292	-0.00954
0.70908	-0.00213
0.70526	0.01044
0.70146	0.02075
0.69768	0.02687
0.69393	0.04282
0.68651	0.06071
0.68284	0.08552
0.67559	0.10501
0.67200	0.12612
0.66845	0.14803
0.66493	0.16704
0.66145	0.19379
0.65458	0.21360
0.65120	0.24421
0.64786	0.27692
0.64455	0.30237
0.63806	0.32944
0.63488	0.35586
0.63173	0.37391
0.63173	0.39453
0.62863	0.42546
0.62255	0.44367
0.61958	0.48137
0.61666	0.50586
0.61094	0.53615
0.60816	0.55999
0.60542	0.57852
0.60273	0.58948
0.60009	0.59608
0.59750	0.59898
0.59496	0.60204
0.59247	0.60704
0.59004	0.60236
0.58765	0.59834
0.58532	0.59350
0.58305	0.58722
0.58082	0.58513
0.57866	0.57030
0.57654	0.57240
0.57449	0.57127
0.57054	0.55725
0.56683	0.54598
0.56506	0.52922
0.56334	0.52213
0.56334	0.50183
0.56169	0.49152
0.56009	0.47090
0.55856	0.46349
0.55856	0.46316
0.55856	0.45881
0.55856	0.45495
0.55856	0.45350
0.55856	0.44738
0.55856	0.45253
0.55856	0.45527
0.55856	0.45060
0.55856	0.45156
0.55856	0.45028
0.55856	0.45446
0.55856	0.45463
0.55856	0.45221
0.55856	0.44947
0.55856	0.45253
0.55856	0.45140
0.55856	0.44641
0.55856	0.45414
0.55856	0.45076
0.55856	0.45366
0.55856	0.45463
0.55856	0.45334
