y = 93.15657E+0*cos(17.26575E-3*x-1.43829E-3)-92.80011E+0

Polarization of Light 'theta' Data File Wed, Oct 23, 2024 5:13 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	0.00512
0.00000	0.00416
0.00000	0.00690
0.00000	0.00222
0.00000	0.00706
0.00000	0.00142
0.00000	0.00367
0.00000	0.00400
0.00000	0.00351
0.00000	0.00142
0.00000	0.00690
0.00000	0.00754
0.00000	0.00110
0.00000	0.00738
0.00000	0.00754
0.00000	0.00577
0.00000	0.00690
0.00873	-0.00309
0.01745	-0.01050
0.02618	-0.00744
0.02618	-0.01034
0.03054	-0.00825
0.03054	-0.00744
0.03491	0.00126
0.03491	0.00319
0.03927	0.00545
0.03927	0.00963
0.04363	0.01608
0.04363	0.01463
0.04800	0.02607
0.04800	0.02865
0.05236	0.03090
0.05672	0.04476
0.05672	0.04975
0.06109	0.06183
0.06109	0.06699
0.06545	0.07488
0.06981	0.09551
0.07418	0.10791
0.07854	0.12870
0.08290	0.14078
0.08290	0.15222
0.08727	0.16575
0.09163	0.18074
0.09599	0.20796
0.10036	0.22665
0.10472	0.25807
0.10908	0.28481
0.11345	0.30286
0.11781	0.32670
0.12217	0.34314
0.12654	0.36360
0.12654	0.37842
0.13090	0.39614
0.13526	0.41950
0.13963	0.44174
0.14399	0.45624
0.14835	0.48765
0.15708	0.51569
0.16144	0.54743
0.16581	0.57336
0.17453	0.60075
0.17453	0.61783
0.17890	0.63717
0.18326	0.64989
0.18762	0.66520
0.19635	0.67503
0.20071	0.68920
0.20944	0.70419
0.21380	0.70918
0.22253	0.72078
0.22689	0.71772
0.23126	0.71837
0.23562	0.71692
0.23998	0.70515
0.24871	0.69339
0.25307	0.67406
0.26180	0.66246
0.26616	0.64474
0.27053	0.62863
0.27925	0.60059
0.28362	0.58545
0.29234	0.56064
0.29671	0.52423
0.30107	0.50151
0.30543	0.47235
0.30980	0.45334
0.30980	0.44061
0.31416	0.42176
0.31416	0.42450
0.31416	0.42240
0.31416	0.42418
0.31416	0.42756
0.31416	0.42563
0.31416	0.43014
0.31416	0.42836
0.31416	0.43239
0.31416	0.43980
0.31416	0.43014
0.31416	0.43126
0.31416	0.43529
0.31416	0.42933
0.31416	0.43465
0.31416	0.42933
0.31416	0.42998
0.31416	0.43578
0.31416	0.42933
0.31416	0.43513
0.31416	0.43352
0.31416	0.42675
0.31416	0.42901
0.31416	0.43481
0.31416	0.43255
0.31416	0.43851
0.31416	0.43803
0.31852	0.41902
0.32725	0.36360
0.33598	0.30544
0.34470	0.25179
0.34907	0.22359
0.35779	0.19475
0.36652	0.15125
0.37088	0.11677
0.37525	0.09309
0.38397	0.07118
0.38834	0.04943
0.39270	0.03654
0.40143	0.02059
0.40579	0.01270
0.41015	-0.00197
0.41452	-0.00438
0.42324	-0.00857
0.42761	-0.01018
0.43197	-0.00728
0.44070	-0.01131
0.44070	-0.00116
0.44942	0.00577
