y = 1.98483E+0x-581.01795E-3
Polarization of Light 'cos squared(theta)'  Data File Wed, Oct 23, 2024 4:57 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	2.73356
0.54030	2.73840
0.54030	2.73791
0.54030	2.73856
0.54030	2.73582
0.54030	2.73179
0.54030	2.73340
0.54030	2.74065
0.54030	2.73566
0.54030	2.73598
0.54030	2.72164
0.54030	2.74033
0.54030	2.73469
0.54030	2.73179
0.54030	2.73034
0.54030	2.72970
0.54030	2.73662
0.54030	2.73856
0.54030	2.74903
0.54031	2.75499
0.54031	2.75161
0.54031	2.74822
0.54031	2.75757
0.54033	2.76611
0.54033	2.76063
0.54033	2.75934
0.54037	2.76095
0.54037	2.76095
0.54037	2.74049
0.54043	2.73179
0.54050	2.72825
0.54059	2.72019
0.54059	2.71890
0.54069	2.71987
0.54069	2.72583
0.54081	2.72228
0.54081	2.73920
0.54095	2.73453
0.54095	2.73533
0.54095	2.74581
0.54110	2.75370
0.54110	2.75660
0.54127	2.74887
0.54127	2.74565
0.54127	2.75032
0.54127	2.75821
0.54146	2.76401
0.54146	2.76450
0.54146	2.76772
0.54165	2.77013
0.54187	2.76643
0.54187	2.76240
0.54210	2.76015
0.54210	2.75402
0.54235	2.75290
0.54235	2.74806
0.54261	2.73904
0.54261	2.73985
0.54261	2.73211
0.54289	2.72599
0.54289	2.72116
0.54319	2.70279
0.54319	2.69506
0.54350	2.69296
0.54350	2.68265
0.54350	2.66944
0.54383	2.67153
0.54383	2.65929
0.54417	2.65204
0.54453	2.64173
0.54453	2.63577
0.54490	2.63480
0.54490	2.63367
0.54490	2.63158
0.54529	2.62239
0.54529	2.62400
0.54570	2.61402
0.54570	2.61611
0.54570	2.60854
0.54612	2.59887
0.54612	2.59452
0.54656	2.59275
0.54701	2.58179
0.54701	2.57631
0.54748	2.56326
0.54748	2.55908
0.54797	2.53346
0.54847	2.52476
0.54847	2.50559
0.54898	2.48964
0.54898	2.46627
0.54951	2.43421
0.55006	2.39812
0.55006	2.37863
0.55062	2.34641
0.55120	2.32111
0.55120	2.30226
0.55179	2.28696
0.55179	2.26392
0.55240	2.24426
0.55240	2.23798
0.55302	2.22187
0.55302	2.20495
0.55302	2.19593
0.55366	2.18336
0.55366	2.15887
0.55432	2.14502
0.55432	2.12987
0.55499	2.11569
0.55499	2.09910
0.55499	2.08605
0.55567	2.07509
0.55567	2.04915
0.55637	2.04206
0.55637	2.02482
0.55709	1.99808
0.55709	1.97649
0.55782	1.96006
0.55782	1.93186
0.55856	1.90802
0.55856	1.87596
0.55932	1.85131
0.56009	1.80877
0.56009	1.77268
0.56088	1.73724
0.56088	1.70469
0.56169	1.67779
0.56169	1.65330
