x	y	dx	dy
1.00000	2.73356 	0.000005	0.000005
1.00000	2.73840 	0.000005	0.000005
1.00000	2.73791 	0.000005	0.000005
1.00000	2.73856 	0.000005	0.000005
1.00000	2.73582 	0.000005	0.000005
1.00000	2.73179 	0.000005	0.000005
1.00000	2.73340 	0.000005	0.000005
1.00000	2.74065 	0.000005	0.000005
1.00000	2.73566 	0.000005	0.000005
1.00000	2.73598 	0.000005	0.000005
1.00000	2.72164 	0.000005	0.000005
1.00000	2.74033 	0.000005	0.000005
1.00000	2.73469 	0.000005	0.000005
1.00000	2.73179 	0.000005	0.000005
1.00000	2.73034 	0.000005	0.000005
1.00000	2.72970 	0.000005	0.000005
1.00000	2.73662 	0.000005	0.000005
1.00000	2.73856 	0.000005	0.000005
1.00000	2.74903 	0.000005	0.000005
0.99999	2.75499 	0.000005	0.000005
0.99999	2.75161 	0.000005	0.000005
0.99999	2.74822 	0.000005	0.000005
0.99999	2.75757 	0.000005	0.000005
0.99996	2.76611 	0.000005	0.000005
0.99996	2.76063 	0.000005	0.000005
0.99996	2.75934 	0.000005	0.000005
0.99991	2.76095 	0.000005	0.000005
0.99991	2.76095 	0.000005	0.000005
0.99991	2.74049 	0.000005	0.000005
0.99985	2.73179 	0.000005	0.000005
0.99976	2.72825 	0.000005	0.000005
0.99966	2.72019 	0.000005	0.000005
0.99966	2.71890 	0.000005	0.000005
0.99953	2.71987 	0.000005	0.000005
0.99953	2.72583 	0.000005	0.000005
0.99939	2.72228 	0.000005	0.000005
0.99939	2.73920 	0.000005	0.000005
0.99923	2.73453 	0.000005	0.000005
0.99923	2.73533 	0.000005	0.000005
0.99923	2.74581 	0.000005	0.000005
0.99905	2.75370 	0.000005	0.000005
0.99905	2.75660 	0.000005	0.000005
0.99885	2.74887 	0.000005	0.000005
0.99885	2.74565 	0.000005	0.000005
0.99885	2.75032 	0.000005	0.000005
0.99885	2.75821 	0.000005	0.000005
0.99863	2.76401 	0.000005	0.000005
0.99863	2.76450 	0.000005	0.000005
0.99863	2.76772 	0.000005	0.000005
0.99839	2.77013 	0.000005	0.000005
0.99813	2.76643 	0.000005	0.000005
0.99813	2.76240 	0.000005	0.000005
0.99786	2.76015 	0.000005	0.000005
0.99786	2.75402 	0.000005	0.000005
