Polarization of Light 'cos squared(2xtheta)'  Data File Wed, Oct 23, 2024 5:18 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	-0.00003
0.54030	0.00351
0.54030	-0.00213
0.54030	-0.00052
0.54030	0.00271
0.54030	0.00174
0.54030	-0.00277
0.54030	-0.00213
0.54030	0.00029
0.54030	0.00126
0.54030	0.00464
0.54030	0.00077
0.54030	-0.00245
0.54030	0.00061
0.54030	-0.00180
0.54030	-0.00116
0.54030	0.00029
0.54030	0.00641
0.54030	-0.00132
0.54030	-0.00068
0.54030	0.00190
0.54030	0.00351
0.54030	0.00448
0.54030	-0.00052
0.54030	-0.00100
0.54030	0.00190
0.54030	0.00287
0.54030	0.00029
0.54030	-0.00164
0.54030	0.00061
0.54030	0.00593
0.54030	0.00126
0.54030	0.00045
0.54030	0.00351
0.54030	0.00303
0.54030	0.00045
0.54030	-0.00277
0.54030	-0.00213
0.54033	0.00093
0.54033	-0.00197
0.54033	-0.00664
0.54043	-0.00809
0.54043	-0.00986
0.54059	-0.01389
0.54059	-0.01759
0.54081	-0.00889
0.54081	-0.00986
0.54110	-0.00970
0.54110	-0.00680
0.54146	-0.00229
0.54187	-0.00035
0.54187	-0.00148
0.54235	0.00158
0.54235	0.00947
0.54289	0.01543
0.54289	0.01817
0.54350	0.02172
0.54350	0.02188
0.54417	0.03638
0.54417	0.03976
0.54417	0.03622
0.54490	0.04605
0.54490	0.05877
0.54570	0.06264
0.54570	0.07182
0.54656	0.07730
0.54656	0.08471
0.54748	0.09309
0.54847	0.10485
0.54847	0.11323
0.54951	0.12322
0.54951	0.12596
0.55062	0.14110
0.55062	0.14835
0.55179	0.15899
0.55179	0.16575
0.55179	0.17026
0.55302	0.18251
0.55302	0.19540
0.55432	0.20587
0.55567	0.21763
0.55567	0.23213
0.55709	0.24518
0.55709	0.25759
0.55856	0.27209
0.56009	0.28256
0.56009	0.29996
0.56169	0.31494
0.56169	0.31913
0.56169	0.32606
0.56334	0.33621
0.56334	0.34442
0.56506	0.35635
0.56506	0.36779
0.56506	0.37326
0.56683	0.38712
0.56683	0.40146
0.56866	0.41854
0.56866	0.43078
0.57054	0.44125
0.57054	0.45269
0.57249	0.46445
0.57249	0.47686
0.57249	0.47557
0.57449	0.49120
0.57449	0.50054
0.57654	0.50795
0.57654	0.51810
0.57654	0.52406
0.57866	0.54098
0.57866	0.54614
0.58082	0.55822
0.58082	0.57224
0.58305	0.57771
0.58305	0.58513
0.58532	0.58948
0.58532	0.59592
0.58765	0.60462
0.58765	0.61187
0.59004	0.61219
0.59004	0.61574
0.59247	0.62605
0.59247	0.62637
0.59247	0.62814
0.59496	0.62637
0.59496	0.62782
0.59750	0.63072
0.59750	0.63443
0.60009	0.63330
0.60009	0.63443
0.60009	0.63056
0.60273	0.62863
0.60273	0.62347
0.60273	0.62540
0.60542	0.62266
0.60542	0.61719
0.60816	0.62009
0.60816	0.61719
0.60816	0.60736
0.61094	0.60881
0.61094	0.60849
0.61378	0.60478
0.61378	0.60043
0.61378	0.59946
0.61666	0.60124
0.61666	0.60091
0.61958	0.59270
0.61958	0.59640
0.62255	0.59270
0.62255	0.59141
0.62557	0.58722
0.62557	0.58206
0.62863	0.57804
0.63173	0.57304
0.63488	0.56112
0.63488	0.55306
0.63806	0.54146
0.63806	0.53438
0.64129	0.53003
0.64129	0.52519
0.64455	0.51295
0.64786	0.49716
0.64786	0.49200
0.65120	0.47718
0.65458	0.46381
0.65800	0.44560
0.65800	0.43642
0.66145	0.41966
0.66493	0.40597
0.66845	0.38776
0.67200	0.37004
0.67200	0.35361
0.67559	0.33218
0.67920	0.31542
0.67920	0.30173
0.68284	0.28852
0.68651	0.26645
0.68651	0.25436
0.69021	0.23906
0.69393	0.22762
0.69393	0.21038
0.69768	0.18670
0.70146	0.17526
0.70526	0.16253
0.70526	0.14738
0.70908	0.12580
0.71292	0.11693
0.71292	0.10533
0.71678	0.09309
0.72066	0.08552
0.72066	0.07247
0.72456	0.06473
0.72847	0.05281
0.72847	0.04556
0.73240	0.03590
0.73634	0.02913
0.73634	0.01624
0.74030	0.01125
0.74427	0.00641
0.74427	0.00303
0.74825	0.00238
0.75224	-0.00325
0.75224	-0.00664
0.75624	-0.00905
0.75624	-0.00889
0.76024	-0.00889
0.76426	-0.01034
0.76426	-0.00728
0.76827	-0.00744
0.76827	-0.00583
0.77229	-0.00873
0.77229	-0.00309
0.77631	0.00335
0.78034	0.00690
0.78034	0.00464
0.78436	0.01044
0.78436	0.01479
0.78838	0.02446
0.78838	0.03300
0.79240	0.03316
0.79240	0.04121
0.79642	0.05088
0.79642	0.05974
0.80043	0.07102
0.80443	0.07972
0.80443	0.08536
0.80843	0.10308
0.81241	0.11500
0.81639	0.13224
0.81639	0.14529
0.82036	0.16044
0.82431	0.16817
0.82825	0.18815
0.82825	0.20410
0.83217	0.21135
0.83608	0.23680
0.83997	0.25324
0.84383	0.27144
0.84768	0.29996
0.84768	0.32606
0.85151	0.35071
0.85531	0.36215
0.85909	0.39872
0.86657	0.43352
0.86657	0.44351
0.87027	0.47251
0.87394	0.49378
0.87758	0.52310
0.88119	0.54420
0.88476	0.56015
0.88830	0.57852
0.89181	0.59979
0.89527	0.62121
0.89527	0.64039
0.89870	0.64909
0.90544	0.66584
0.90875	0.68324
0.90875	0.69388
0.91202	0.70048
0.91524	0.69807
0.91842	0.70950
0.92155	0.72320
0.92463	0.73319
0.92767	0.73448
0.92767	0.74463
0.92767	0.74221
0.93359	0.74463
0.93359	0.74817
0.93647	0.74849
0.93930	0.74044
0.94208	0.73754
0.94480	0.73464
0.94747	0.72352
0.95008	0.71611
0.95263	0.69935
0.95513	0.69098
0.95756	0.68147
0.95994	0.66262
0.96225	0.65134
0.96450	0.63990
0.96669	0.62589
0.96882	0.61123
0.97088	0.58819
0.97288	0.56225
0.97481	0.54356
0.97667	0.52020
0.97846	0.49925
0.98019	0.47186
0.98185	0.44158
0.98344	0.41258
0.98496	0.39485
0.98641	0.37230
0.98641	0.36327
0.98779	0.34201
0.98910	0.31752
0.99033	0.29239
0.99149	0.26967
0.99149	0.24889
0.99258	0.23358
0.99360	0.21537
0.99360	0.20313
0.99454	0.18847
0.99541	0.17284
0.99541	0.16172
0.99620	0.14465
0.99620	0.13498
0.99692	0.12064
0.99757	0.10840
0.99814	0.09212
0.99863	0.06522
0.99905	0.05281
0.99939	0.04186
0.99966	0.02623
0.99985	0.02059
0.99996	0.01511
0.99996	0.00899
1.00000	0.00319
0.99996	-0.00148
0.99966	-0.00454
0.99939	-0.01083
0.99905	-0.01115
0.99863	-0.00825
0.99814	-0.00503
0.99757	-0.00052
0.99757	0.00593
0.99692	0.01221
0.99620	0.01318
0.99541	0.01737
0.99454	0.03541
0.99360	0.04701
0.99258	0.06345
0.99149	0.08052
0.99033	0.09760
0.98779	0.11919
0.98641	0.14497
0.98496	0.16479
0.98344	0.18476
0.98185	0.20490
0.97846	0.22762
0.97667	0.24953
0.97481	0.27950
0.97288	0.29819
0.97088	0.31252
0.96882	0.32348
0.96669	0.36054
0.96450	0.39550
0.96225	0.41499
0.95994	0.42514
0.95994	0.44125
0.95756	0.45575
0.95513	0.46558
0.95263	0.48491
0.95008	0.49571
0.95008	0.50618
0.94747	0.51440
0.94480	0.52938
0.94208	0.53421
0.94208	0.53711
0.93930	0.54179
0.93930	0.54871
0.93647	0.55693
0.93359	0.56289
0.93359	0.56144
0.93065	0.57014
0.93065	0.57336
0.92767	0.57498
0.92463	0.58400
0.92463	0.58996
0.92155	0.58883
0.91842	0.58851
0.91524	0.59221
0.91202	0.60204
0.90875	0.59576
0.90875	0.58754
0.90544	0.58561
0.90544	0.59270
0.90209	0.58271
0.89870	0.57224
0.89870	0.57079
0.89181	0.55903
0.89181	0.55097
0.88830	0.53470
0.88476	0.52423
0.88119	0.51230
0.87758	0.49361
0.87394	0.48089
0.87027	0.46800
0.86657	0.45446
0.86657	0.43739
0.86285	0.41435
0.85909	0.40081
0.85531	0.37858
0.85151	0.35506
0.84768	0.34877
0.84768	0.33395
0.84383	0.31994
0.83997	0.30318
0.83997	0.28884
0.83608	0.27789
0.83608	0.27096
0.83217	0.25259
0.82825	0.23890
0.82825	0.22601
0.82431	0.20619
0.82036	0.18428
0.81241	0.15222
0.80843	0.13482
0.80443	0.11436
0.80443	0.10485
0.80043	0.09067
0.79642	0.07650
0.79240	0.05797
0.78838	0.04250
0.78436	0.03960
0.78034	0.02365
0.77631	0.01527
0.77229	0.00303
0.76827	-0.00470
0.76024	-0.01083
0.75624	-0.01067
0.74825	-0.00922
0.74427	-0.00503
0.74030	-0.00197
0.74030	0.00174
0.73634	0.00432
0.72847	0.02107
0.72456	0.03573
0.72066	0.04959
0.71678	0.06828
0.71292	0.08213
0.70908	0.09728
0.70526	0.12580
0.70146	0.14642
0.69768	0.17429
0.69393	0.19991
0.69021	0.22875
0.68651	0.24647
0.68284	0.26129
0.67920	0.28272
0.67559	0.30044
0.67559	0.31897
0.67200	0.34410
0.66493	0.37906
0.66145	0.41322
0.65800	0.44029
0.65800	0.46784
0.65120	0.49764
0.65120	0.51891
0.64786	0.54581
0.64455	0.57272
0.64129	0.59463
0.63806	0.62138
0.63488	0.64264
0.63173	0.66729
0.62863	0.68969
0.62255	0.70097
0.61958	0.71659
0.61666	0.73609
0.61378	0.74608
0.61094	0.75462
0.60816	0.76380
0.60542	0.78410
0.60273	0.79812
0.60009	0.80730
0.60009	0.81616
0.59750	0.82647
0.59496	0.84548
0.59247	0.85161
0.59004	0.85354
0.58765	0.85338
0.58765	0.84387
0.58532	0.84371
0.58305	0.82550
0.58082	0.81117
0.57866	0.79924
0.57866	0.78974
0.57654	0.76960
0.57449	0.75284
0.57249	0.73512
0.57249	0.71998
0.57054	0.70854
0.56866	0.69710
0.56866	0.68163
0.56683	0.67019
0.56683	0.65424
0.56506	0.64603
0.56334	0.63475
0.56334	0.62685
0.56169	0.61751
0.56169	0.59898
0.56009	0.59109
0.56009	0.57433
0.55856	0.55935
0.55856	0.55242
0.55709	0.53679
0.55709	0.51150
0.55567	0.49813
0.55567	0.47928
0.55432	0.46816
0.55302	0.45495
0.55302	0.43545
0.55179	0.42144
0.55179	0.39469
0.55062	0.37906
0.54951	0.36263
0.54951	0.34297
0.54847	0.33347
0.54847	0.31591
0.54748	0.29915
0.54748	0.29287
0.54748	0.29045
0.54748	0.28836
0.54570	0.25662
0.54570	0.23422
0.54490	0.22697
0.54417	0.20506
0.54417	0.19427
0.54350	0.18202
0.54289	0.17010
0.54289	0.15029
0.54235	0.13143
0.54187	0.11339
0.54146	0.09937
0.54146	0.08777
0.54110	0.07633
0.54081	0.05877
0.54059	0.03783
0.54043	0.03670
0.54033	0.03235
0.54033	0.01753
0.54030	0.00996
0.54030	0.00690
0.54030	0.00883
0.54030	0.00367
0.54030	0.00690
0.54030	0.00641
0.54030	0.00835
0.54030	0.01092
0.54030	0.00367
0.54030	0.00754
0.54030	0.00609
0.54030	0.00899
0.54030	0.00335
0.54030	0.00609
0.54030	0.00432
0.54030	0.00142
0.54030	0.00770
0.54030	0.00963
0.54030	0.01157
