y = 167.27592E-3x+264.72096E-3
Polarization of Light 'cos squared(theta)'  Data File Wed, Oct 23, 2024 5:14 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	0.00512
0.54030	0.00416
0.54030	0.00690
0.54030	0.00222
0.54030	0.00706
0.54030	0.00142
0.54030	0.00367
0.54030	0.00400
0.54030	0.00351
0.54030	0.00142
0.54030	0.00690
0.54030	0.00754
0.54030	0.00110
0.54030	0.00738
0.54030	0.00754
0.54030	0.00577
0.54030	0.00690
0.54033	-0.00309
0.54043	-0.01050
0.54059	-0.00744
0.54059	-0.01034
0.54069	-0.00825
0.54069	-0.00744
0.54081	0.00126
0.54081	0.00319
0.54095	0.00545
0.54095	0.00963
0.54110	0.01608
0.54110	0.01463
0.54127	0.02607
0.54127	0.02865
0.54146	0.03090
0.54165	0.04476
0.54165	0.04975
0.54187	0.06183
0.54187	0.06699
0.54210	0.07488
0.54235	0.09551
0.54261	0.10791
0.54289	0.12870
0.54319	0.14078
0.54319	0.15222
0.54350	0.16575
0.54383	0.18074
0.54417	0.20796
0.54453	0.22665
0.54490	0.25807
0.54529	0.28481
0.54570	0.30286
0.54612	0.32670
0.54656	0.34314
0.54701	0.36360
0.54701	0.37842
0.54748	0.39614
0.54797	0.41950
0.54847	0.44174
0.54898	0.45624
0.54951	0.48765
0.55062	0.51569
0.55120	0.54743
0.55179	0.57336
0.55302	0.60075
0.55302	0.61783
0.55366	0.63717
0.55432	0.64989
0.55499	0.66520
0.55637	0.67503
0.55709	0.68920
0.55856	0.70419
0.55932	0.70918
0.56088	0.72078
0.56169	0.71772
0.56251	0.71837
0.56334	0.71692
0.56419	0.70515
0.56593	0.69339
0.56683	0.67406
0.56866	0.66246
0.56959	0.64474
0.57054	0.62863
0.57249	0.60059
0.57348	0.58545
0.57551	0.56064
0.57654	0.52423
0.57759	0.50151
0.57866	0.47235
0.57973	0.45334
0.57973	0.44061
0.58082	0.42176
0.58082	0.42450
0.58082	0.42240
0.58082	0.42418
0.58082	0.42756
0.58082	0.42563
0.58082	0.43014
0.58082	0.42836
0.58082	0.43239
0.58082	0.43980
0.58082	0.43014
0.58082	0.43126
0.58082	0.43529
0.58082	0.42933
0.58082	0.43465
0.58082	0.42933
0.58082	0.42998
0.58082	0.43578
0.58082	0.42933
0.58082	0.43513
0.58082	0.43352
0.58082	0.42675
0.58082	0.42901
0.58082	0.43481
0.58082	0.43255
0.58082	0.43851
0.58082	0.43803
0.58193	0.41902
0.58418	0.36360
0.58648	0.30544
0.58884	0.25179
0.59004	0.22359
0.59247	0.19475
0.59496	0.15125
0.59622	0.11677
0.59750	0.09309
0.60009	0.07118
0.60140	0.04943
0.60273	0.03654
0.60542	0.02059
0.60678	0.01270
0.60816	-0.00197
0.60954	-0.00438
0.61235	-0.00857
0.61378	-0.01018
0.61521	-0.00728
0.61811	-0.01131
0.61811	-0.00116
0.62106	0.00577
0.62255	0.01028
0.62406	0.02510
0.62709	0.03702
0.62863	0.06200
0.63173	0.08149
0.63330	0.09776
0.63488	0.11887
0.63646	0.14207
0.63806	0.15512
0.64129	0.18396
0.64292	0.20861
0.64455	0.23342
0.64620	0.25630
0.64786	0.27305
0.64786	0.28578
0.64953	0.30463
0.65120	0.32219
0.65289	0.33830
0.65458	0.36247
0.65629	0.38212
0.65800	0.39389
0.65972	0.41338
0.65972	0.43094
0.66145	0.44721
0.66319	0.46606
0.66493	0.47879
0.66669	0.49394
0.66845	0.50376
0.67022	0.51424
0.67200	0.52197
0.67379	0.53148
0.67559	0.53470
0.67739	0.54485
0.67920	0.55049
0.68102	0.56112
0.68284	0.56048
0.68467	0.56644
0.68651	0.56547
0.68836	0.56918
0.69021	0.56773
0.69207	0.56547
0.69581	0.56611
0.69768	0.55548
0.69957	0.53711
0.70146	0.53421
0.70146	0.52406
0.70336	0.51311
0.70526	0.50973
0.70716	0.49023
0.70908	0.47541
0.71099	0.45881
0.71292	0.43433
0.71485	0.41870
0.71678	0.40355
0.71872	0.39276
0.71872	0.38148
0.72066	0.36489
0.72261	0.35457
0.72261	0.33846
0.72261	0.33250
0.72261	0.33766
0.72261	0.33895
0.72261	0.33991
0.72261	0.34249
0.72261	0.33669
0.72261	0.33637
0.72261	0.33734
0.72261	0.34201
0.72261	0.34297
0.72261	0.33556
0.72261	0.33814
0.72261	0.33476
0.72261	0.34652
0.72261	0.34024
0.72261	0.34136
0.72261	0.34587
0.72261	0.33943
0.72261	0.33991
0.72261	0.34185
0.72261	0.34281
0.72261	0.33814
0.72261	0.33862
0.72261	0.34587
0.72261	0.33814
0.72456	0.34040
0.72456	0.34136
0.72456	0.33734
0.72456	0.34024
0.72456	0.33879
0.72456	0.34152
0.72456	0.34265
0.72456	0.33750
0.72456	0.34201
0.72456	0.33943
0.72456	0.33540
0.72456	0.33540
0.72456	0.33057
0.72456	0.32719
0.72456	0.32509
0.72456	0.32300
0.72651	0.31027
0.72847	0.29980
0.72847	0.27885
0.73043	0.26677
0.73240	0.24421
0.73437	0.23020
0.73634	0.20522
0.73832	0.18847
0.74030	0.16785
0.74228	0.14803
0.74427	0.13031
0.74626	0.11194
0.74825	0.09486
0.74825	0.08632
0.75024	0.06538
0.75224	0.05732
0.75424	0.04331
0.75624	0.03445
0.75824	0.02575
0.76024	0.01221
0.76225	0.00980
0.76426	0.00206
0.76626	-0.00905
0.77028	-0.00760
0.77229	-0.01453
0.77430	-0.00938
0.77631	-0.01018
0.77833	0.00013
0.78235	0.01141
0.78436	0.02156
0.78838	0.03976
0.79039	0.06055
0.79240	0.07875
0.79441	0.10147
0.79642	0.11951
0.79842	0.13417
0.80043	0.15834
0.80243	0.18202
0.80643	0.21505
0.80843	0.24534
0.81042	0.27337
0.81440	0.30882
0.81639	0.35103
0.81838	0.38728
0.82233	0.42289
0.82431	0.46059
0.82628	0.49700
0.83021	0.52696
0.83217	0.56096
0.83413	0.58496
0.83608	0.61493
0.83997	0.64135
0.84190	0.67003
0.84576	0.68824
0.84768	0.70934
0.84960	0.72739
0.85342	0.73995
0.85721	0.76025
0.85909	0.78088
0.86285	0.79779
0.86471	0.82132
0.86657	0.82953
0.86843	0.82051
0.87027	0.81729
0.87027	0.81648
0.87211	0.81084
0.87394	0.78748
0.87577	0.76847
0.87939	0.74060
0.88119	0.70902
0.88298	0.68808
0.88476	0.67938
0.88476	0.65924
0.88654	0.64796
0.88830	0.63410
0.89006	0.61187
0.89181	0.59173
0.89355	0.56273
0.89527	0.53438
0.89699	0.49813
0.90040	0.46333
0.90040	0.44738
0.90209	0.41886
0.90209	0.41709
0.90209	0.41709
0.90209	0.42337
0.90209	0.43626
0.90209	0.42724
0.90209	0.43239
0.90209	0.42128
0.90209	0.41983
0.90209	0.43271
0.90209	0.43368
0.90209	0.43336
0.90209	0.42176
0.90209	0.42369
0.90209	0.43062
0.90209	0.42917
0.89870	0.47895
0.89355	0.56209
0.89355	0.55242
0.89355	0.54968
0.89355	0.55178
0.89355	0.54984
0.89355	0.54904
0.89355	0.55564
0.89355	0.54340
0.89527	0.53631
0.89527	0.54001
0.89527	0.54356
0.89527	0.53679
0.89527	0.54324
0.89527	0.54372
0.89527	0.54195
0.89527	0.54114
0.89527	0.54018
0.89527	0.54050
0.89527	0.54533
0.89527	0.53583
0.89527	0.54420
0.89527	0.53148
0.89527	0.52616
0.89527	0.52149
0.89699	0.51762
0.89699	0.50135
0.89870	0.48862
0.90040	0.46188
0.90209	0.42659
0.90377	0.40065
0.90544	0.35909
0.90875	0.32686
0.90875	0.30753
0.91039	0.28481
0.91363	0.26097
0.91524	0.23519
0.91683	0.20651
0.91842	0.17993
0.91999	0.15206
0.92310	0.12241
0.92463	0.08987
0.92615	0.06860
0.92917	0.04701
0.93065	0.02333
0.93359	0.01205
0.93504	-0.00035
0.93647	-0.00615
0.93930	-0.00954
0.94070	-0.01115
0.94208	-0.01050
0.94480	-0.00954
0.94614	-0.00213
0.94747	0.01044
0.94878	0.02075
0.95008	0.02687
0.95136	0.04282
0.95389	0.06071
0.95513	0.08552
0.95756	0.10501
0.95876	0.12612
0.95994	0.14803
0.96110	0.16704
0.96225	0.19379
0.96450	0.21360
0.96561	0.24421
0.96669	0.27692
0.96776	0.30237
0.96986	0.32944
0.97088	0.35586
0.97189	0.37391
0.97189	0.39453
0.97288	0.42546
0.97481	0.44367
0.97575	0.48137
0.97667	0.50586
0.97846	0.53615
0.97934	0.55999
0.98019	0.57852
0.98103	0.58948
0.98185	0.59608
0.98265	0.59898
0.98344	0.60204
0.98421	0.60704
0.98496	0.60236
0.98569	0.59834
0.98641	0.59350
0.98711	0.58722
0.98779	0.58513
0.98845	0.57030
0.98910	0.57240
0.98972	0.57127
0.99092	0.55725
0.99205	0.54598
0.99258	0.52922
0.99310	0.52213
0.99310	0.50183
0.99360	0.49152
0.99408	0.47090
0.99454	0.46349
0.99454	0.46316
0.99454	0.45881
0.99454	0.45495
0.99454	0.45350
0.99454	0.44738
0.99454	0.45253
0.99454	0.45527
0.99454	0.45060
0.99454	0.45156
0.99454	0.45028
0.99454	0.45446
0.99454	0.45463
0.99454	0.45221
0.99454	0.44947
0.99454	0.45253
0.99454	0.45140
0.99454	0.44641
0.99454	0.45414
0.99454	0.45076
0.99454	0.45366
