y = 372.14766E-3 + (58.50819E-3x) + (-109.371851E-3x^2)

Polarization of Light 'cos(theta)' Data File Wed, Oct 23, 2024 5:13 PM
Sensor Position (Radians)	Light Intensity (Volts)
1.00000	0.00512
1.00000	0.00416
1.00000	0.00690
1.00000	0.00222
1.00000	0.00706
1.00000	0.00142
1.00000	0.00367
1.00000	0.00400
1.00000	0.00351
1.00000	0.00142
1.00000	0.00690
1.00000	0.00754
1.00000	0.00110
1.00000	0.00738
1.00000	0.00754
1.00000	0.00577
1.00000	0.00690
0.99996	-0.00309
0.99985	-0.01050
0.99966	-0.00744
0.99966	-0.01034
0.99953	-0.00825
0.99953	-0.00744
0.99939	0.00126
0.99939	0.00319
0.99923	0.00545
0.99923	0.00963
0.99905	0.01608
0.99905	0.01463
0.99885	0.02607
0.99885	0.02865
0.99863	0.03090
0.99839	0.04476
0.99839	0.04975
0.99813	0.06183
0.99813	0.06699
0.99786	0.07488
0.99756	0.09551
0.99725	0.10791
0.99692	0.12870
0.99657	0.14078
0.99657	0.15222
0.99619	0.16575
0.99580	0.18074
0.99540	0.20796
0.99497	0.22665
0.99452	0.25807
0.99406	0.28481
0.99357	0.30286
0.99307	0.32670
0.99255	0.34314
0.99200	0.36360
0.99200	0.37842
0.99144	0.39614
0.99087	0.41950
0.99027	0.44174
0.98965	0.45624
0.98902	0.48765
0.98769	0.51569
0.98700	0.54743
0.98629	0.57336
0.98481	0.60075
0.98481	0.61783
0.98404	0.63717
0.98325	0.64989
0.98245	0.66520
0.98079	0.67503
0.97992	0.68920
0.97815	0.70419
0.97723	0.70918
0.97534	0.72078
0.97437	0.71772
0.97338	0.71837
0.97237	0.71692
0.97134	0.70515
0.96923	0.69339
0.96815	0.67406
0.96593	0.66246
0.96479	0.64474
0.96363	0.62863
0.96126	0.60059
0.96005	0.58545
0.95757	0.56064
0.95630	0.52423
0.95502	0.50151
0.95372	0.47235
0.95240	0.45334
0.95240	0.44061
0.95106	0.42176
0.95106	0.42450
0.95106	0.42240
0.95106	0.42418
0.95106	0.42756
0.95106	0.42563
0.95106	0.43014
0.95106	0.42836
0.95106	0.43239
0.95106	0.43980
0.95106	0.43014
0.95106	0.43126
0.95106	0.43529
0.95106	0.42933
0.95106	0.43465
0.95106	0.42933
0.95106	0.42998
0.95106	0.43578
0.95106	0.42933
0.95106	0.43513
0.95106	0.43352
0.95106	0.42675
0.95106	0.42901
0.95106	0.43481
0.95106	0.43255
0.95106	0.43851
0.95106	0.43803
0.94970	0.41902
0.94693	0.36360
0.94409	0.30544
0.94118	0.25179
0.93969	0.22359
0.93667	0.19475
0.93358	0.15125
0.93201	0.11677
0.93042	0.09309
0.92718	0.07118
0.92554	0.04943
0.92388	0.03654
0.92050	0.02059
0.91879	0.01270
0.91706	-0.00197
0.91531	-0.00438
0.91176	-0.00857
0.90996	-0.01018
0.90814	-0.00728
0.90446	-0.01131
0.90446	-0.00116
0.90070	0.00577
0.89879	0.01028
0.89687	0.02510
0.89298	0.03702
0.89101	0.06200
0.88701	0.08149
0.88499	0.09776
0.88295	0.11887
0.88089	0.14207
0.87882	0.15512
0.87462	0.18396
0.87250	0.20861
0.87036	0.23342
0.86820	0.25630
0.86603	0.27305
0.86603	0.28578
0.86384	0.30463
0.86163	0.32219
0.85941	0.33830
0.85717	0.36247
0.85491	0.38212
0.85264	0.39389
0.85035	0.41338
0.85035	0.43094
0.84805	0.44721
0.84573	0.46606
0.84339	0.47879
0.84104	0.49394
0.83867	0.50376
0.83629	0.51424
0.83389	0.52197
0.83147	0.53148
0.82904	0.53470
0.82659	0.54485
0.82413	0.55049
