Polarization of Light 'cos squared(2xtheta)'  Data File Wed, Oct 23, 2024 4:57 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	2.73356
0.54030	2.73840
0.54030	2.73791
0.54030	2.73856
0.54030	2.73582
0.54030	2.73179
0.54030	2.73340
0.54030	2.74065
0.54030	2.73566
0.54030	2.73598
0.54030	2.72164
0.54030	2.74033
0.54030	2.73469
0.54030	2.73179
0.54030	2.73034
0.54030	2.72970
0.54030	2.73662
0.54030	2.73856
0.54030	2.74903
0.54033	2.75499
0.54033	2.75161
0.54033	2.74822
0.54033	2.75757
0.54043	2.76611
0.54043	2.76063
0.54043	2.75934
0.54059	2.76095
0.54059	2.76095
0.54059	2.74049
0.54081	2.73179
0.54110	2.72825
0.54146	2.72019
0.54146	2.71890
0.54187	2.71987
0.54187	2.72583
0.54235	2.72228
0.54235	2.73920
0.54289	2.73453
0.54289	2.73533
0.54289	2.74581
0.54350	2.75370
0.54350	2.75660
0.54417	2.74887
0.54417	2.74565
0.54417	2.75032
0.54417	2.75821
0.54490	2.76401
0.54490	2.76450
0.54490	2.76772
0.54570	2.77013
0.54656	2.76643
0.54656	2.76240
0.54748	2.76015
0.54748	2.75402
0.54847	2.75290
0.54847	2.74806
0.54951	2.73904
0.54951	2.73985
0.54951	2.73211
0.55062	2.72599
0.55062	2.72116
0.55179	2.70279
0.55179	2.69506
0.55302	2.69296
0.55302	2.68265
0.55302	2.66944
0.55432	2.67153
0.55432	2.65929
0.55567	2.65204
0.55709	2.64173
0.55709	2.63577
0.55856	2.63480
0.55856	2.63367
0.55856	2.63158
0.56009	2.62239
0.56009	2.62400
0.56169	2.61402
0.56169	2.61611
0.56169	2.60854
0.56334	2.59887
0.56334	2.59452
0.56506	2.59275
0.56683	2.58179
0.56683	2.57631
0.56866	2.56326
0.56866	2.55908
0.57054	2.53346
0.57249	2.52476
0.57249	2.50559
0.57449	2.48964
0.57449	2.46627
0.57654	2.43421
0.57866	2.39812
0.57866	2.37863
0.58082	2.34641
0.58305	2.32111
0.58305	2.30226
0.58532	2.28696
0.58532	2.26392
0.58765	2.24426
0.58765	2.23798
0.59004	2.22187
0.59004	2.20495
0.59004	2.19593
0.59247	2.18336
0.59247	2.15887
0.59496	2.14502
0.59496	2.12987
0.59750	2.11569
0.59750	2.09910
0.59750	2.08605
0.60009	2.07509
0.60009	2.04915
0.60273	2.04206
0.60273	2.02482
0.60542	1.99808
0.60542	1.97649
0.60816	1.96006
0.60816	1.93186
0.61094	1.90802
0.61094	1.87596
0.61378	1.85131
0.61666	1.80877
0.61666	1.77268
0.61958	1.73724
0.61958	1.70469
0.62255	1.67779
0.62255	1.65330
0.62557	1.63493
0.62557	1.61334
