Polarization of Light 'cos(theta)' Data File Wed, Oct 23, 2024 4:57 PM
Sensor Position (Radians)	Light Intensity (Volts)
1.00000	2.73356
1.00000	2.73840
1.00000	2.73791
1.00000	2.73856
1.00000	2.73582
1.00000	2.73179
1.00000	2.73340
1.00000	2.74065
1.00000	2.73566
1.00000	2.73598
1.00000	2.72164
1.00000	2.74033
1.00000	2.73469
1.00000	2.73179
1.00000	2.73034
1.00000	2.72970
1.00000	2.73662
1.00000	2.73856
1.00000	2.74903
0.99999	2.75499
0.99999	2.75161
0.99999	2.74822
0.99999	2.75757
0.99996	2.76611
0.99996	2.76063
0.99996	2.75934
0.99991	2.76095
0.99991	2.76095
0.99991	2.74049
0.99985	2.73179
0.99976	2.72825
0.99966	2.72019
0.99966	2.71890
0.99953	2.71987
0.99953	2.72583
0.99939	2.72228
0.99939	2.73920
0.99923	2.73453
0.99923	2.73533
0.99923	2.74581
0.99905	2.75370
0.99905	2.75660
0.99885	2.74887
0.99885	2.74565
0.99885	2.75032
0.99885	2.75821
0.99863	2.76401
0.99863	2.76450
0.99863	2.76772
0.99839	2.77013
0.99813	2.76643
0.99813	2.76240
0.99786	2.76015
0.99786	2.75402
0.99756	2.75290
0.99756	2.74806
0.99725	2.73904
0.99725	2.73985
0.99725	2.73211
0.99692	2.72599
0.99692	2.72116
0.99657	2.70279
0.99657	2.69506
0.99619	2.69296
0.99619	2.68265
0.99619	2.66944
0.99580	2.67153
0.99580	2.65929
0.99540	2.65204
0.99497	2.64173
0.99497	2.63577
0.99452	2.63480
0.99452	2.63367
0.99452	2.63158
0.99406	2.62239
0.99406	2.62400
0.99357	2.61402
0.99357	2.61611
0.99357	2.60854
0.99307	2.59887
0.99307	2.59452
0.99255	2.59275
0.99200	2.58179
0.99200	2.57631
0.99144	2.56326
0.99144	2.55908
0.99087	2.53346
0.99027	2.52476
0.99027	2.50559
0.98965	2.48964
0.98965	2.46627
0.98902	2.43421
0.98836	2.39812
0.98836	2.37863
0.98769	2.34641
0.98700	2.32111
0.98700	2.30226
0.98629	2.28696
0.98629	2.26392
0.98556	2.24426
0.98556	2.23798
0.98481	2.22187
0.98481	2.20495
0.98481	2.19593
0.98404	2.18336
0.98404	2.15887
0.98325	2.14502
0.98325	2.12987
0.98245	2.11569
0.98245	2.09910
0.98245	2.08605
0.98163	2.07509
0.98163	2.04915
0.98079	2.04206
0.98079	2.02482
0.97992	1.99808
0.97992	1.97649
0.97905	1.96006
0.97905	1.93186
0.97815	1.90802
0.97815	1.87596
0.97723	1.85131
0.97630	1.80877
0.97630	1.77268
0.97534	1.73724
0.97534	1.70469
0.97437	1.67779
0.97437	1.65330
0.97338	1.63493
0.97338	1.61334
0.97237	1.59627
0.97237	1.57951
0.97237	1.56565
0.97134	1.53553
0.97134	1.49960
0.97030	1.46593
0.96923	1.42597
0.96815	1.39036
0.96705	1.35766
0.96705	1.32592
0.96593	1.29531
0.96593	1.26405
0.96479	1.23521
0.96479	1.22039
0.96479	1.21475
0.96363	1.19058
0.96363	1.17093
0.96363	1.16481
0.96363	1.15788
0.96363	1.15514
0.96363	1.15514
0.96246	1.12711
0.96246	1.12405
0.96246	1.11905
0.96246	1.11422
0.96246	1.11776
0.96363	1.13178
0.96363	1.13436
0.96363	1.13258
0.96363	1.12952
0.96363	1.12920
0.96363	1.13226
0.96363	1.13178
0.96363	1.12566
0.96363	1.13275
0.96363	1.12791
0.96363	1.13113
0.96363	1.13146
0.96363	1.13468
0.96363	1.13629
0.96363	1.12807
0.96363	1.12936
0.96363	1.12952
0.96363	1.13452
0.96363	1.13065
0.96363	1.13452
0.96363	1.13323
0.96363	1.13597
