Polarization of Light 'theta' Data File Wed, Oct 23, 2024 4:57 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	2.73356
0.00000	2.73840
0.00000	2.73791
0.00000	2.73856
0.00000	2.73582
0.00000	2.73179
0.00000	2.73340
0.00000	2.74065
0.00000	2.73566
0.00000	2.73598
0.00000	2.72164
0.00000	2.74033
0.00000	2.73469
0.00000	2.73179
0.00000	2.73034
0.00000	2.72970
0.00000	2.73662
0.00000	2.73856
0.00000	2.74903
0.00436	2.75499
0.00436	2.75161
0.00436	2.74822
0.00436	2.75757
0.00873	2.76611
0.00873	2.76063
0.00873	2.75934
0.01309	2.76095
0.01309	2.76095
0.01309	2.74049
0.01745	2.73179
0.02182	2.72825
0.02618	2.72019
0.02618	2.71890
0.03054	2.71987
0.03054	2.72583
0.03491	2.72228
0.03491	2.73920
0.03927	2.73453
0.03927	2.73533
0.03927	2.74581
0.04363	2.75370
0.04363	2.75660
0.04800	2.74887
0.04800	2.74565
0.04800	2.75032
0.04800	2.75821
0.05236	2.76401
0.05236	2.76450
0.05236	2.76772
0.05672	2.77013
0.06109	2.76643
0.06109	2.76240
0.06545	2.76015
0.06545	2.75402
0.06981	2.75290
0.06981	2.74806
0.07418	2.73904
0.07418	2.73985
0.07418	2.73211
0.07854	2.72599
0.07854	2.72116
0.08290	2.70279
0.08290	2.69506
0.08727	2.69296
0.08727	2.68265
0.08727	2.66944
0.09163	2.67153
0.09163	2.65929
0.09599	2.65204
0.10036	2.64173
0.10036	2.63577
0.10472	2.63480
0.10472	2.63367
0.10472	2.63158
0.10908	2.62239
0.10908	2.62400
0.11345	2.61402
0.11345	2.61611
0.11345	2.60854
0.11781	2.59887
0.11781	2.59452
0.12217	2.59275
0.12654	2.58179
0.12654	2.57631
0.13090	2.56326
0.13090	2.55908
0.13526	2.53346
0.13963	2.52476
0.13963	2.50559
0.14399	2.48964
0.14399	2.46627
0.14835	2.43421
0.15272	2.39812
0.15272	2.37863
0.15708	2.34641
0.16144	2.32111
0.16144	2.30226
0.16581	2.28696
0.16581	2.26392
0.17017	2.24426
0.17017	2.23798
0.17453	2.22187
0.17453	2.20495
0.17453	2.19593
0.17890	2.18336
0.17890	2.15887
0.18326	2.14502
0.18326	2.12987
0.18762	2.11569
0.18762	2.09910
0.18762	2.08605
0.19199	2.07509
0.19199	2.04915
0.19635	2.04206
0.19635	2.02482
0.20071	1.99808
0.20071	1.97649
0.20508	1.96006
0.20508	1.93186
0.20944	1.90802
0.20944	1.87596
0.21380	1.85131
0.21817	1.80877
0.21817	1.77268
0.22253	1.73724
0.22253	1.70469
0.22689	1.67779
0.22689	1.65330
0.23126	1.63493
0.23126	1.61334
0.23562	1.59627
0.23562	1.57951
0.23562	1.56565
0.23998	1.53553
0.23998	1.49960
0.24435	1.46593
0.24871	1.42597
0.25307	1.39036
0.25744	1.35766
0.25744	1.32592
0.26180	1.29531
0.26180	1.26405
0.26616	1.23521
0.26616	1.22039
0.26616	1.21475
0.27053	1.19058
0.27053	1.17093
0.27053	1.16481
0.27053	1.15788
0.27053	1.15514
0.27053	1.15514
0.27489	1.12711
0.27489	1.12405
0.27489	1.11905
0.27489	1.11422
0.27489	1.11776
0.27053	1.13178
0.27053	1.13436
0.27053	1.13258
0.27053	1.12952
0.27053	1.12920
0.27053	1.13226
0.27053	1.13178
0.27053	1.12566
0.27053	1.13275
0.27053	1.12791
0.27053	1.13113
0.27053	1.13146
0.27053	1.13468
0.27053	1.13629
0.27053	1.12807
0.27053	1.12936
0.27053	1.12952
0.27053	1.13452
0.27053	1.13065
0.27053	1.13452
0.27053	1.13323
0.27053	1.13597
0.27053	1.13049
0.27053	1.13516
0.27053	1.13629
0.27053	1.12695
0.27053	1.13693
0.27053	1.13242
0.27053	1.13081
0.27489	1.13065
0.27489	1.12550
0.27489	1.13017
0.27489	1.12775
0.27489	1.13194
0.27489	1.13049
0.27489	1.12308
0.27489	1.11599
0.27489	1.09843
0.27925	1.06750
0.27925	1.06540
0.28362	1.02093
0.28798	0.96873
0.28798	0.93377
0.29234	0.90203
0.29234	0.85741
0.29671	0.82534
0.30107	0.80375
0.30107	0.76493
0.30543	0.72626
0.30543	0.70322
0.30980	0.65521
0.31416	0.60994
0.31852	0.57353
0.31852	0.55113
0.32289	0.51746
0.32725	0.48346
0.33161	0.45608
0.33161	0.42965
0.33598	0.39373
0.34034	0.36843
0.34034	0.34620
0.34470	0.32799
0.34907	0.30076
0.34907	0.28352
0.35343	0.25694
0.35779	0.23793
0.35779	0.21908
0.36216	0.20748
0.36216	0.19411
0.36652	0.17171
0.36652	0.15560
0.37088	0.14722
0.37525	0.12596
0.37525	0.11307
0.37961	0.10115
0.37961	0.08600
0.38397	0.07730
0.38834	0.06554
0.38834	0.05120
0.39270	0.04637
0.39270	0.03670
0.39706	0.03412
0.39706	0.02832
0.40143	0.02752
0.40143	0.02349
0.40579	0.01511
0.40579	0.00867
0.40579	0.00303
0.41015	0.00625
0.41452	-0.00261
0.41452	-0.00712
0.41888	-0.00519
0.41888	-0.01195
0.42324	-0.00615
0.42324	-0.00470
0.42761	-0.00873
0.43197	-0.00470
0.43197	-0.00035
0.43197	-0.00438
0.43633	0.00206
0.43633	0.00770
0.44070	0.00464
0.44506	0.01705
0.44506	0.02156
0.44942	0.02784
0.45379	0.04008
0.45379	0.04653
0.45815	0.05168
0.45815	0.06699
0.46251	0.06957
0.46251	0.08117
0.46688	0.08552
0.46688	0.09615
0.47124	0.10775
0.47124	0.12048
0.47560	0.12531
0.47560	0.14513
0.47997	0.16430
0.48433	0.18057
0.48433	0.20345
0.48869	0.21972
0.49306	0.23841
0.49306	0.25791
0.49742	0.27982
0.50178	0.29577
0.50178	0.30672
0.50178	0.31397
0.50615	0.33363
0.50615	0.35151
0.51051	0.36199
0.51051	0.37471
0.51051	0.39244
0.51487	0.40001
0.51487	0.41580
0.51487	0.42740
0.51924	0.44721
0.51924	0.46333
0.51924	0.46349
0.52360	0.47219
0.52360	0.48781
0.52360	0.49925
0.52796	0.51569
0.52796	0.53164
0.52796	0.53969
0.53233	0.55629
0.53233	0.57481
0.53233	0.58754
0.53669	0.60591
0.54105	0.63201
0.54105	0.64925
0.54105	0.66198
0.54542	0.67648
0.54542	0.69436
0.54978	0.71756
0.54978	0.74559
0.55414	0.77959
0.55851	0.82309
0.56287	0.85837
0.56723	0.87255
0.56723	0.89333
0.56723	0.90429
0.56723	0.92169
0.57160	0.94344
0.57160	0.96261
0.57596	0.98871
0.57596	1.00998
0.58032	1.02238
0.58032	1.03962
0.58032	1.06443
0.58469	1.09376
0.58905	1.12195
0.58905	1.14998
0.59341	1.17012
0.59778	1.19397
0.59778	1.20170
0.59778	1.20460
0.59778	1.21362
0.59778	1.21378
0.59778	1.22281
0.60214	1.23779
0.60214	1.25857
0.60214	1.26599
0.60650	1.27469
0.60650	1.27549
0.60650	1.28177
0.60650	1.28403
0.60650	1.27887
0.60650	1.28902
0.60650	1.29096
0.60650	1.28419
0.60650	1.29096
0.60650	1.28790
0.60650	1.28532
0.60650	1.29225
0.60650	1.28822
0.60650	1.28902
0.60650	1.29031
0.60650	1.28661
0.60650	1.28645
0.60650	1.28902
0.60650	1.28854
0.60650	1.28822
0.60650	1.28387
0.60650	1.29064
0.60650	1.28870
0.60650	1.28983
0.60650	1.28645
0.60650	1.28854
0.60650	1.28451
0.60650	1.28886
0.60650	1.28242
0.60650	1.28516
0.60650	1.35315
0.61087	1.44772
0.61087	1.45819
0.61523	1.48316
0.61523	1.49476
0.61959	1.51055
0.61959	1.53005
0.61959	1.55405
0.62396	1.57323
0.62396	1.60126
0.62832	1.62043
0.62832	1.64122
0.63268	1.65733
0.63268	1.67489
0.63705	1.70034
0.63705	1.72387
0.64141	1.74900
0.64141	1.77413
0.64577	1.79588
0.64577	1.82521
0.65014	1.84567
0.65014	1.85147
0.65450	1.87563
0.65450	1.89255
0.65886	1.90238
0.65886	1.91752
0.66323	1.94217
0.66323	1.94797
0.66323	1.96505
0.66759	1.97117
0.66759	1.98310
0.67195	2.00146
0.67195	2.02176
0.67195	2.03256
0.67632	2.05592
0.67632	2.07896
0.68068	2.09636
0.68068	2.11199
0.68504	2.13454
0.68504	2.15033
0.68941	2.17128
0.68941	2.19303
0.69377	2.21027
0.69377	2.22332
0.69813	2.25344
0.69813	2.27471
0.70250	2.29259
0.70250	2.30919
0.70686	2.33706
0.71122	2.35607
0.71122	2.36993
0.71558	2.39796
0.71558	2.40070
0.71995	2.41665
0.71995	2.43115
0.72431	2.43953
0.72431	2.44243
0.72431	2.45677
0.72431	2.45725
0.72867	2.46370
0.72867	2.46434
0.72867	2.48061
0.73304	2.48706
0.73304	2.49044
0.73740	2.50816
0.73740	2.51509
0.74176	2.52250
0.74176	2.53249
0.74176	2.54119
0.74613	2.55553
0.74613	2.56906
0.74613	2.57277
0.75049	2.58566
0.75049	2.59678
0.75049	2.60354
0.75049	2.60870
0.75485	2.61369
0.75485	2.62642
0.75485	2.63738
0.75922	2.64302
0.75922	2.64962
0.76358	2.66042
0.76358	2.66960
0.76794	2.67782
0.76794	2.69119
0.77231	2.69618
0.77667	2.70923
0.77667	2.71519
0.78103	2.71793
0.78103	2.72551
0.78540	2.73227
0.78540	2.73840
0.78976	2.74130
0.78976	2.75016
0.79412	2.75467
0.79412	2.75402
0.79849	2.76949
0.79849	2.77545
0.80285	2.78093
0.80285	2.78931
0.80721	2.78463
0.81158	2.78222
0.81594	2.78657
0.81594	2.79108
0.82030	2.79076
0.82030	2.80784
0.82467	2.80977
0.82467	2.81621
0.82903	2.82234
0.82903	2.82089
0.83339	2.82314
0.83339	2.82765
0.83776	2.82733
0.83776	2.83426
0.84212	2.82991
0.84212	2.82717
0.84648	2.83216
0.85085	2.82056
0.85085	2.81734
0.85521	2.81782
0.85521	2.81170
0.85957	2.81074
0.85957	2.80316
0.85957	2.80284
0.86394	2.79414
0.86394	2.78979
0.86394	2.78641
0.86830	2.78028
0.87266	2.76804
0.87266	2.75612
