y = 350.24710E-3 + (-6.79213E-3x) + (-38.821487E-3x^2)
Polarization of Light 'cos(theta)' Data File Wed, Oct 23, 2024 5:18 PM
Sensor Position (Radians)	Light Intensity (Volts)
1.00000	-0.00003
1.00000	0.00351
1.00000	-0.00213
1.00000	-0.00052
1.00000	0.00271
1.00000	0.00174
1.00000	-0.00277
1.00000	-0.00213
1.00000	0.00029
1.00000	0.00126
1.00000	0.00464
1.00000	0.00077
1.00000	-0.00245
1.00000	0.00061
1.00000	-0.00180
1.00000	-0.00116
1.00000	0.00029
1.00000	0.00641
1.00000	-0.00132
1.00000	-0.00068
1.00000	0.00190
1.00000	0.00351
1.00000	0.00448
1.00000	-0.00052
1.00000	-0.00100
1.00000	0.00190
1.00000	0.00287
1.00000	0.00029
1.00000	-0.00164
1.00000	0.00061
1.00000	0.00593
1.00000	0.00126
1.00000	0.00045
1.00000	0.00351
1.00000	0.00303
1.00000	0.00045
1.00000	-0.00277
1.00000	-0.00213
0.99999	0.00093
0.99999	-0.00197
0.99999	-0.00664
0.99996	-0.00809
0.99996	-0.00986
0.99991	-0.01389
0.99991	-0.01759
0.99985	-0.00889
0.99985	-0.00986
0.99976	-0.00970
0.99976	-0.00680
0.99966	-0.00229
0.99953	-0.00035
0.99953	-0.00148
0.99939	0.00158
0.99939	0.00947
0.99923	0.01543
0.99923	0.01817
0.99905	0.02172
0.99905	0.02188
0.99885	0.03638
0.99885	0.03976
0.99885	0.03622
0.99863	0.04605
0.99863	0.05877
0.99839	0.06264
0.99839	0.07182
0.99813	0.07730
0.99813	0.08471
0.99786	0.09309
0.99756	0.10485
0.99756	0.11323
0.99725	0.12322
0.99725	0.12596
0.99692	0.14110
0.99692	0.14835
0.99657	0.15899
0.99657	0.16575
0.99657	0.17026
0.99619	0.18251
0.99619	0.19540
0.99580	0.20587
0.99540	0.21763
0.99540	0.23213
0.99497	0.24518
0.99497	0.25759
0.99452	0.27209
0.99406	0.28256
0.99406	0.29996
0.99357	0.31494
0.99357	0.31913
0.99357	0.32606
0.99307	0.33621
0.99307	0.34442
0.99255	0.35635
0.99255	0.36779
0.99255	0.37326
0.99200	0.38712
0.99200	0.40146
0.99144	0.41854
0.99144	0.43078
0.99087	0.44125
0.99087	0.45269
0.99027	0.46445
0.99027	0.47686
0.99027	0.47557
0.98965	0.49120
0.98965	0.50054
0.98902	0.50795
0.98902	0.51810
0.98902	0.52406
0.98836	0.54098
0.98836	0.54614
0.98769	0.55822
0.98769	0.57224
0.98700	0.57771
0.98700	0.58513
0.98629	0.58948
0.98629	0.59592
0.98556	0.60462
0.98556	0.61187
0.98481	0.61219
0.98481	0.61574
0.98404	0.62605
0.98404	0.62637
0.98404	0.62814
0.98325	0.62637
0.98325	0.62782
0.98245	0.63072
0.98245	0.63443
0.98163	0.63330
0.98163	0.63443
0.98163	0.63056
0.98079	0.62863
0.98079	0.62347
0.98079	0.62540
0.97992	0.62266
0.97992	0.61719
0.97905	0.62009
0.97905	0.61719
0.97905	0.60736
0.97815	0.60881
0.97815	0.60849
0.97723	0.60478
0.97723	0.60043
0.97723	0.59946
0.97630	0.60124
0.97630	0.60091
0.97534	0.59270
0.97534	0.59640
0.97437	0.59270
0.97437	0.59141
0.97338	0.58722
0.97338	0.58206
0.97237	0.57804
0.97134	0.57304
0.97030	0.56112
0.97030	0.55306
0.96923	0.54146
0.96923	0.53438
0.96815	0.53003
0.96815	0.52519
0.96705	0.51295
0.96593	0.49716
0.96593	0.49200
0.96479	0.47718
0.96363	0.46381
0.96246	0.44560
0.96246	0.43642
0.96126	0.41966
0.96005	0.40597
0.95882	0.38776
0.95757	0.37004
0.95757	0.35361
0.95630	0.33218
0.95502	0.31542
0.95502	0.30173
0.95372	0.28852
0.95240	0.26645
0.95240	0.25436
0.95106	0.23906
0.94970	0.22762
0.94970	0.21038
0.94832	0.18670
0.94693	0.17526
0.94552	0.16253
0.94552	0.14738
0.94409	0.12580
0.94264	0.11693
0.94264	0.10533
0.94118	0.09309
0.93969	0.08552
0.93969	0.07247
0.93819	0.06473
0.93667	0.05281
0.93667	0.04556
0.93514	0.03590
0.93358	0.02913
0.93358	0.01624
0.93201	0.01125
0.93042	0.00641
0.93042	0.00303
0.92881	0.00238
0.92718	-0.00325
0.92718	-0.00664
0.92554	-0.00905
0.92554	-0.00889
0.92388	-0.00889
0.92220	-0.01034
0.92220	-0.00728
0.92050	-0.00744
0.92050	-0.00583
0.91879	-0.00873
0.91879	-0.00309
0.91706	0.00335
0.91531	0.00690
0.91531	0.00464
0.91355	0.01044
0.91355	0.01479
0.91176	0.02446
0.91176	0.03300
0.90996	0.03316
0.90996	0.04121
0.90814	0.05088
0.90814	0.05974
0.90631	0.07102
0.90446	0.07972
0.90446	0.08536
0.90259	0.10308
0.90070	0.11500
0.89879	0.13224
0.89879	0.14529
0.89687	0.16044
0.89493	0.16817
0.89298	0.18815
0.89298	0.20410
0.89101	0.21135
0.88902	0.23680
0.88701	0.25324
0.88499	0.27144
0.88295	0.29996
0.88295	0.32606
0.88089	0.35071
0.87882	0.36215
0.87673	0.39872
0.87250	0.43352
0.87250	0.44351
0.87036	0.47251
0.86820	0.49378
0.86603	0.52310
0.86384	0.54420
0.86163	0.56015
0.85941	0.57852
0.85717	0.59979
0.85491	0.62121
0.85491	0.64039
0.85264	0.64909
0.84805	0.66584
0.84573	0.68324
0.84573	0.69388
0.84339	0.70048
0.84104	0.69807
0.83867	0.70950
0.83629	0.72320
0.83389	0.73319
0.83147	0.73448
0.83147	0.74463
0.83147	0.74221
0.82659	0.74463
0.82659	0.74817
0.82413	0.74849
0.82165	0.74044
0.81915	0.73754
0.81664	0.73464
0.81412	0.72352
0.81157	0.71611
0.80902	0.69935
0.80644	0.69098
0.80386	0.68147
0.80125	0.66262
0.79864	0.65134
0.79600	0.63990
0.79335	0.62589
0.79069	0.61123
0.78801	0.58819
0.78532	0.56225
0.78261	0.54356
0.77988	0.52020
0.77715	0.49925
0.77439	0.47186
0.77162	0.44158
0.76884	0.41258
0.76604	0.39485
0.76323	0.37230
0.76323	0.36327
0.76041	0.34201
0.75756	0.31752
0.75471	0.29239
0.75184	0.26967
0.75184	0.24889
0.74896	0.23358
0.74606	0.21537
0.74606	0.20313
0.74314	0.18847
0.74022	0.17284
0.74022	0.16172
0.73728	0.14465
0.73728	0.13498
0.73432	0.12064
0.73135	0.10840
0.72837	0.09212
0.72537	0.06522
0.72236	0.05281
0.71934	0.04186
0.71630	0.02623
0.71325	0.02059
0.71019	0.01511
0.71019	0.00899
0.70711	0.00319
0.70401	-0.00148
0.69779	-0.00454
0.69466	-0.01083
0.69151	-0.01115
0.68835	-0.00825
0.68518	-0.00503
0.68200	-0.00052
0.68200	0.00593
0.67880	0.01221
0.67559	0.01318
0.67237	0.01737
0.66913	0.03541
0.66588	0.04701
0.66262	0.06345
0.65935	0.08052
0.65606	0.09760
0.64945	0.11919
0.64612	0.14497
0.64279	0.16479
0.63944	0.18476
0.63608	0.20490
0.62932	0.22762
0.62592	0.24953
0.62251	0.27950
0.61909	0.29819
0.61566	0.31252
0.61222	0.32348
0.60876	0.36054
0.60529	0.39550
0.60182	0.41499
0.59832	0.42514
0.59832	0.44125
0.59482	0.45575
0.59131	0.46558
0.58779	0.48491
0.58425	0.49571
0.58425	0.50618
0.58070	0.51440
0.57715	0.52938
0.57358	0.53421
0.57358	0.53711
0.57000	0.54179
0.57000	0.54871
