x	y	dx	dy
0.54030	-0.00003 	0.000005	0.000005
0.54030	0.00351 	0.000005	0.000005
0.54030	-0.00213 	0.000005	0.000005
0.54030	-0.00052 	0.000005	0.000005
0.54030	0.00271 	0.000005	0.000005
0.54030	0.00174 	0.000005	0.000005
0.54030	-0.00277 	0.000005	0.000005
0.54030	-0.00213 	0.000005	0.000005
0.54030	0.00029 	0.000005	0.000005
0.54030	0.00126 	0.000005	0.000005
0.54030	0.00464 	0.000005	0.000005
0.54030	0.00077 	0.000005	0.000005
0.54030	-0.00245 	0.000005	0.000005
0.54030	0.00061 	0.000005	0.000005
0.54030	-0.00180 	0.000005	0.000005
0.54030	-0.00116 	0.000005	0.000005
0.54030	0.00029 	0.000005	0.000005
0.54030	0.00641 	0.000005	0.000005
0.54030	-0.00132 	0.000005	0.000005
0.54030	-0.00068 	0.000005	0.000005
0.54030	0.00190 	0.000005	0.000005
0.54030	0.00351 	0.000005	0.000005
0.54030	0.00448 	0.000005	0.000005
0.54030	-0.00052 	0.000005	0.000005
0.54030	-0.00100 	0.000005	0.000005
0.54030	0.00190 	0.000005	0.000005
0.54030	0.00287 	0.000005	0.000005
0.54030	0.00029 	0.000005	0.000005
0.54030	-0.00164 	0.000005	0.000005
0.54030	0.00061 	0.000005	0.000005
0.54030	0.00593 	0.000005	0.000005
0.54030	0.00126 	0.000005	0.000005
0.54030	0.00045 	0.000005	0.000005
0.54030	0.00351 	0.000005	0.000005
0.54030	0.00303 	0.000005	0.000005
0.54030	0.00045 	0.000005	0.000005
0.54030	-0.00277 	0.000005	0.000005
0.54030	-0.00213 	0.000005	0.000005
0.54031	0.00093 	0.000005	0.000005
0.54031	-0.00197 	0.000005	0.000005
0.54031	-0.00664 	0.000005	0.000005
0.54033	-0.00809 	0.000005	0.000005
0.54033	-0.00986 	0.000005	0.000005
0.54037	-0.01389 	0.000005	0.000005
0.54037	-0.01759 	0.000005	0.000005
0.54043	-0.00889 	0.000005	0.000005
0.54043	-0.00986 	0.000005	0.000005
0.54050	-0.00970 	0.000005	0.000005
0.54050	-0.00680 	0.000005	0.000005
0.54059	-0.00229 	0.000005	0.000005
0.54069	-0.00035 	0.000005	0.000005
0.54069	-0.00148 	0.000005	0.000005
0.54081	0.00158 	0.000005	0.000005
0.54081	0.00947 	0.000005	0.000005
0.54095	0.01543 	0.000005	0.000005
0.54095	0.01817 	0.000005	0.000005
0.54110	0.02172 	0.000005	0.000005
0.54110	0.02188 	0.000005	0.000005
0.54127	0.03638 	0.000005	0.000005
0.54127	0.03976 	0.000005	0.000005
0.54127	0.03622 	0.000005	0.000005
0.54146	0.04605 	0.000005	0.000005
0.54146	0.05877 	0.000005	0.000005
0.54165	0.06264 	0.000005	0.000005
0.54165	0.07182 	0.000005	0.000005
0.54187	0.07730 	0.000005	0.000005
0.54187	0.08471 	0.000005	0.000005
0.54210	0.09309 	0.000005	0.000005
0.54235	0.10485 	0.000005	0.000005
0.54235	0.11323 	0.000005	0.000005
0.54261	0.12322 	0.000005	0.000005
0.54261	0.12596 	0.000005	0.000005
0.54289	0.14110 	0.000005	0.000005
0.54289	0.14835 	0.000005	0.000005
0.54319	0.15899 	0.000005	0.000005
0.54319	0.16575 	0.000005	0.000005
0.54319	0.17026 	0.000005	0.000005
0.54350	0.18251 	0.000005	0.000005
0.54350	0.19540 	0.000005	0.000005
0.54383	0.20587 	0.000005	0.000005
0.54417	0.21763 	0.000005	0.000005
0.54417	0.23213 	0.000005	0.000005
0.54453	0.24518 	0.000005	0.000005
0.54453	0.25759 	0.000005	0.000005
0.54490	0.27209 	0.000005	0.000005
0.54529	0.28256 	0.000005	0.000005
0.54529	0.29996 	0.000005	0.000005
0.54570	0.31494 	0.000005	0.000005
0.54570	0.31913 	0.000005	0.000005
0.54570	0.32606 	0.000005	0.000005
0.54612	0.33621 	0.000005	0.000005
0.54612	0.34442 	0.000005	0.000005
0.54656	0.35635 	0.000005	0.000005
0.54656	0.36779 	0.000005	0.000005
0.54656	0.37326 	0.000005	0.000005
0.54701	0.38712 	0.000005	0.000005
0.54701	0.40146 	0.000005	0.000005
0.54748	0.41854 	0.000005	0.000005
0.54748	0.43078 	0.000005	0.000005
0.54797	0.44125 	0.000005	0.000005
0.54797	0.45269 	0.000005	0.000005
0.54847	0.46445 	0.000005	0.000005
0.54847	0.47686 	0.000005	0.000005
0.54847	0.47557 	0.000005	0.000005
0.54898	0.49120 	0.000005	0.000005
0.54898	0.50054 	0.000005	0.000005
0.54951	0.50795 	0.000005	0.000005
0.54951	0.51810 	0.000005	0.000005
0.54951	0.52406 	0.000005	0.000005
0.55006	0.54098 	0.000005	0.000005
0.55006	0.54614 	0.000005	0.000005
0.55062	0.55822 	0.000005	0.000005
0.55062	0.57224 	0.000005	0.000005
0.55120	0.57771 	0.000005	0.000005
0.55120	0.58513 	0.000005	0.000005
0.55179	0.58948 	0.000005	0.000005
0.55179	0.59592 	0.000005	0.000005
0.55240	0.60462 	0.000005	0.000005
0.55240	0.61187 	0.000005	0.000005
0.55302	0.61219 	0.000005	0.000005
0.55302	0.61574 	0.000005	0.000005
0.55366	0.62605 	0.000005	0.000005
0.55366	0.62637 	0.000005	0.000005
0.55366	0.62814 	0.000005	0.000005
0.55432	0.62637 	0.000005	0.000005
0.55432	0.62782 	0.000005	0.000005
0.55499	0.63072 	0.000005	0.000005
0.55499	0.63443 	0.000005	0.000005
0.55567	0.63330 	0.000005	0.000005
0.55567	0.63443 	0.000005	0.000005
0.55567	0.63056 	0.000005	0.000005
0.55637	0.62863 	0.000005	0.000005
0.55637	0.62347 	0.000005	0.000005
0.55637	0.62540 	0.000005	0.000005
0.55709	0.62266 	0.000005	0.000005
0.55709	0.61719 	0.000005	0.000005
0.55782	0.62009 	0.000005	0.000005
0.55782	0.61719 	0.000005	0.000005
0.55782	0.60736 	0.000005	0.000005
0.55856	0.60881 	0.000005	0.000005
0.55856	0.60849 	0.000005	0.000005
0.55932	0.60478 	0.000005	0.000005
0.55932	0.60043 	0.000005	0.000005
0.55932	0.59946 	0.000005	0.000005
0.56009	0.60124 	0.000005	0.000005
0.56009	0.60091 	0.000005	0.000005
0.56088	0.59270 	0.000005	0.000005
0.56088	0.59640 	0.000005	0.000005
0.56169	0.59270 	0.000005	0.000005
0.56169	0.59141 	0.000005	0.000005
0.56251	0.58722 	0.000005	0.000005
0.56251	0.58206 	0.000005	0.000005
0.56334	0.57804 	0.000005	0.000005
0.56419	0.57304 	0.000005	0.000005
0.56506	0.56112 	0.000005	0.000005
0.56506	0.55306 	0.000005	0.000005
0.56593	0.54146 	0.000005	0.000005
0.56593	0.53438 	0.000005	0.000005
0.56683	0.53003 	0.000005	0.000005
0.56683	0.52519 	0.000005	0.000005
0.56773	0.51295 	0.000005	0.000005
0.56866	0.49716 	0.000005	0.000005
0.56866	0.49200 	0.000005	0.000005
0.56959	0.47718 	0.000005	0.000005
0.57054	0.46381 	0.000005	0.000005
0.57151	0.44560 	0.000005	0.000005
0.57151	0.43642 	0.000005	0.000005
0.57249	0.41966 	0.000005	0.000005
0.57348	0.40597 	0.000005	0.000005
0.57449	0.38776 	0.000005	0.000005
0.57551	0.37004 	0.000005	0.000005
0.57551	0.35361 	0.000005	0.000005
0.57654	0.33218 	0.000005	0.000005
0.57759	0.31542 	0.000005	0.000005
0.57759	0.30173 	0.000005	0.000005
0.57866	0.28852 	0.000005	0.000005
0.57973	0.26645 	0.000005	0.000005
0.57973	0.25436 	0.000005	0.000005
0.58082	0.23906 	0.000005	0.000005
0.58193	0.22762 	0.000005	0.000005
0.58193	0.21038 	0.000005	0.000005
0.58305	0.18670 	0.000005	0.000005
0.58418	0.17526 	0.000005	0.000005
0.58532	0.16253 	0.000005	0.000005
0.58532	0.14738 	0.000005	0.000005
0.58648	0.12580 	0.000005	0.000005
0.58765	0.11693 	0.000005	0.000005
0.58765	0.10533 	0.000005	0.000005
0.58884	0.09309 	0.000005	0.000005
0.59004	0.08552 	0.000005	0.000005
0.59004	0.07247 	0.000005	0.000005
0.59125	0.06473 	0.000005	0.000005
0.59247	0.05281 	0.000005	0.000005
0.59247	0.04556 	0.000005	0.000005
0.59371	0.03590 	0.000005	0.000005
0.59496	0.02913 	0.000005	0.000005
0.59496	0.01624 	0.000005	0.000005
0.59622	0.01125 	0.000005	0.000005
0.59750	0.00641 	0.000005	0.000005
0.59750	0.00303 	0.000005	0.000005
0.59879	0.00238 	0.000005	0.000005
0.60009	-0.00325 	0.000005	0.000005
0.60009	-0.00664 	0.000005	0.000005
0.60140	-0.00905 	0.000005	0.000005
0.60140	-0.00889 	0.000005	0.000005
0.60273	-0.00889 	0.000005	0.000005
0.60407	-0.01034 	0.000005	0.000005
0.60407	-0.00728 	0.000005	0.000005
0.60542	-0.00744 	0.000005	0.000005
0.60542	-0.00583 	0.000005	0.000005
0.60678	-0.00873 	0.000005	0.000005
0.60678	-0.00309 	0.000005	0.000005
0.60816	0.00335 	0.000005	0.000005
0.60954	0.00690 	0.000005	0.000005
0.60954	0.00464 	0.000005	0.000005
0.61094	0.01044 	0.000005	0.000005
0.61094	0.01479 	0.000005	0.000005
0.61235	0.02446 	0.000005	0.000005
0.61235	0.03300 	0.000005	0.000005
0.61378	0.03316 	0.000005	0.000005
0.61378	0.04121 	0.000005	0.000005
0.61521	0.05088 	0.000005	0.000005
0.61521	0.05974 	0.000005	0.000005
0.61666	0.07102 	0.000005	0.000005
0.61811	0.07972 	0.000005	0.000005
0.61811	0.08536 	0.000005	0.000005
0.61958	0.10308 	0.000005	0.000005
0.62106	0.11500 	0.000005	0.000005
0.62255	0.13224 	0.000005	0.000005
0.62255	0.14529 	0.000005	0.000005
0.62406	0.16044 	0.000005	0.000005
0.62557	0.16817 	0.000005	0.000005
0.62709	0.18815 	0.000005	0.000005
0.62709	0.20410 	0.000005	0.000005
0.62863	0.21135 	0.000005	0.000005
0.63018	0.23680 	0.000005	0.000005
0.63173	0.25324 	0.000005	0.000005
0.63330	0.27144 	0.000005	0.000005
0.63488	0.29996 	0.000005	0.000005
0.63488	0.32606 	0.000005	0.000005
