
y = -21.24578E-3*cos(1.85256E+0*x+151.89762E-3)+329.07769E-3
Polarization of Light 'theta' Data File Wed, Oct 23, 2024 5:18 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	-0.00003
0.00000	0.00351
0.00000	-0.00213
0.00000	-0.00052
0.00000	0.00271
0.00000	0.00174
0.00000	-0.00277
0.00000	-0.00213
0.00000	0.00029
0.00000	0.00126
0.00000	0.00464
0.00000	0.00077
0.00000	-0.00245
0.00000	0.00061
0.00000	-0.00180
0.00000	-0.00116
0.00000	0.00029
0.00000	0.00641
0.00000	-0.00132
0.00000	-0.00068
0.00000	0.00190
0.00000	0.00351
0.00000	0.00448
0.00000	-0.00052
0.00000	-0.00100
0.00000	0.00190
0.00000	0.00287
0.00000	0.00029
0.00000	-0.00164
0.00000	0.00061
0.00000	0.00593
0.00000	0.00126
0.00000	0.00045
0.00000	0.00351
0.00000	0.00303
0.00000	0.00045
0.00000	-0.00277
0.00000	-0.00213
0.00436	0.00093
0.00436	-0.00197
0.00436	-0.00664
0.00873	-0.00809
0.00873	-0.00986
0.01309	-0.01389
0.01309	-0.01759
0.01745	-0.00889
0.01745	-0.00986
0.02182	-0.00970
0.02182	-0.00680
0.02618	-0.00229
0.03054	-0.00035
0.03054	-0.00148
0.03491	0.00158
0.03491	0.00947
0.03927	0.01543
0.03927	0.01817
0.04363	0.02172
0.04363	0.02188
0.04800	0.03638
0.04800	0.03976
0.04800	0.03622
0.05236	0.04605
0.05236	0.05877
0.05672	0.06264
0.05672	0.07182
0.06109	0.07730
0.06109	0.08471
0.06545	0.09309
0.06981	0.10485
0.06981	0.11323
0.07418	0.12322
0.07418	0.12596
0.07854	0.14110
0.07854	0.14835
0.08290	0.15899
0.08290	0.16575
0.08290	0.17026
0.08727	0.18251
0.08727	0.19540
0.09163	0.20587
0.09599	0.21763
0.09599	0.23213
0.10036	0.24518
0.10036	0.25759
0.10472	0.27209
0.10908	0.28256
0.10908	0.29996
0.11345	0.31494
0.11345	0.31913
0.11345	0.32606
0.11781	0.33621
0.11781	0.34442
0.12217	0.35635
0.12217	0.36779
0.12217	0.37326
0.12654	0.38712
0.12654	0.40146
0.13090	0.41854
0.13090	0.43078
0.13526	0.44125
0.13526	0.45269
0.13963	0.46445
0.13963	0.47686
0.13963	0.47557
0.14399	0.49120
0.14399	0.50054
0.14835	0.50795
0.14835	0.51810
0.14835	0.52406
0.15272	0.54098
0.15272	0.54614
0.15708	0.55822
0.15708	0.57224
0.16144	0.57771
0.16144	0.58513
0.16581	0.58948
0.16581	0.59592
0.17017	0.60462
0.17017	0.61187
0.17453	0.61219
0.17453	0.61574
0.17890	0.62605
0.17890	0.62637
0.17890	0.62814
0.18326	0.62637
0.18326	0.62782
0.18762	0.63072
0.18762	0.63443
0.19199	0.63330
0.19199	0.63443
0.19199	0.63056
0.19635	0.62863
0.19635	0.62347
0.19635	0.62540
0.20071	0.62266
0.20071	0.61719
0.20508	0.62009
0.20508	0.61719
0.20508	0.60736
0.20944	0.60881
0.20944	0.60849
0.21380	0.60478
0.21380	0.60043
0.21380	0.59946
0.21817	0.60124
0.21817	0.60091
0.22253	0.59270
0.22253	0.59640
0.22689	0.59270
0.22689	0.59141
0.23126	0.58722
0.23126	0.58206
0.23562	0.57804
0.23998	0.57304
0.24435	0.56112
0.24435	0.55306
0.24871	0.54146
0.24871	0.53438
0.25307	0.53003
0.25307	0.52519
0.25744	0.51295
0.26180	0.49716
0.26180	0.49200
0.26616	0.47718
0.27053	0.46381
0.27489	0.44560
0.27489	0.43642
0.27925	0.41966
0.28362	0.40597
0.28798	0.38776
0.29234	0.37004
0.29234	0.35361
0.29671	0.33218
0.30107	0.31542
0.30107	0.30173
0.30543	0.28852
0.30980	0.26645
0.30980	0.25436
0.31416	0.23906
0.31852	0.22762
0.31852	0.21038
0.32289	0.18670
0.32725	0.17526
0.33161	0.16253
0.33161	0.14738
0.33598	0.12580
0.34034	0.11693
0.34034	0.10533
0.34470	0.09309
0.34907	0.08552
0.34907	0.07247
0.35343	0.06473
0.35779	0.05281
0.35779	0.04556
0.36216	0.03590
0.36652	0.02913
0.36652	0.01624
0.37088	0.01125
0.37525	0.00641
0.37525	0.00303
0.37961	0.00238
0.38397	-0.00325
0.38397	-0.00664
0.38834	-0.00905
0.38834	-0.00889
0.39270	-0.00889
0.39706	-0.01034
0.39706	-0.00728
0.40143	-0.00744
0.40143	-0.00583
0.40579	-0.00873
0.40579	-0.00309
0.41015	0.00335
0.41452	0.00690
0.41452	0.00464
0.41888	0.01044
0.41888	0.01479
0.42324	0.02446
0.42324	0.03300
0.42761	0.03316
0.42761	0.04121
0.43197	0.05088
0.43197	0.05974
0.43633	0.07102
0.44070	0.07972
0.44070	0.08536
0.44506	0.10308
0.44942	0.11500
0.45379	0.13224
0.45379	0.14529
0.45815	0.16044
0.46251	0.16817
0.46688	0.18815
0.46688	0.20410
0.47124	0.21135
0.47560	0.23680
0.47997	0.25324
0.48433	0.27144
0.48869	0.29996
0.48869	0.32606
0.49306	0.35071
0.49742	0.36215
0.50178	0.39872
0.51051	0.43352
0.51051	0.44351
0.51487	0.47251
0.51924	0.49378
0.52360	0.52310
0.52796	0.54420
0.53233	0.56015
0.53669	0.57852
0.54105	0.59979
0.54542	0.62121
0.54542	0.64039
0.54978	0.64909
0.55851	0.66584
0.56287	0.68324
0.56287	0.69388
0.56723	0.70048
0.57160	0.69807
0.57596	0.70950
0.58032	0.72320
0.58469	0.73319
0.58905	0.73448
0.58905	0.74463
0.58905	0.74221
0.59778	0.74463
0.59778	0.74817
0.60214	0.74849
0.60650	0.74044
0.61087	0.73754
0.61523	0.73464
0.61959	0.72352
0.62396	0.71611
0.62832	0.69935
0.63268	0.69098
0.63705	0.68147
0.64141	0.66262
0.64577	0.65134
0.65014	0.63990
0.65450	0.62589
0.65886	0.61123
0.66323	0.58819
0.66759	0.56225
0.67195	0.54356
0.67632	0.52020
0.68068	0.49925
0.68504	0.47186
0.68941	0.44158
0.69377	0.41258
0.69813	0.39485
0.70250	0.37230
0.70250	0.36327
0.70686	0.34201
0.71122	0.31752
0.71558	0.29239
0.71995	0.26967
0.71995	0.24889
0.72431	0.23358
0.72867	0.21537
0.72867	0.20313
0.73304	0.18847
0.73740	0.17284
0.73740	0.16172
0.74176	0.14465
0.74176	0.13498
0.74613	0.12064
0.75049	0.10840
0.75485	0.09212
0.75922	0.06522
0.76358	0.05281
0.76794	0.04186
0.77231	0.02623
0.77667	0.02059
0.78103	0.01511
0.78103	0.00899
0.78540	0.00319
0.78976	-0.00148
0.79849	-0.00454
0.80285	-0.01083
0.80721	-0.01115
0.81158	-0.00825
0.81594	-0.00503
0.82030	-0.00052
0.82030	0.00593
0.82467	0.01221
0.82903	0.01318
0.83339	0.01737
0.83776	0.03541
0.84212	0.04701
0.84648	0.06345
0.85085	0.08052
0.85521	0.09760
0.86394	0.11919
0.86830	0.14497
0.87266	0.16479
0.87703	0.18476
0.88139	0.20490
0.89012	0.22762
0.89448	0.24953
0.89884	0.27950
0.90321	0.29819
0.90757	0.31252
0.91193	0.32348
0.91630	0.36054
0.92066	0.39550
0.92502	0.41499
0.92939	0.42514
0.92939	0.44125
0.93375	0.45575
0.93811	0.46558
0.94248	0.48491
0.94684	0.49571
0.94684	0.50618
0.95120	0.51440
0.95557	0.52938
0.95993	0.53421
0.95993	0.53711
0.96429	0.54179
0.96429	0.54871
0.96866	0.55693
0.97302	0.56289
0.97302	0.56144
0.97738	0.57014
0.97738	0.57336
0.98175	0.57498
0.98611	0.58400
0.98611	0.58996
0.99047	0.58883
0.99484	0.58851
0.99920	0.59221
1.00356	0.60204
1.00793	0.59576
1.00793	0.58754
1.01229	0.58561
1.01229	0.59270
1.01665	0.58271
1.02102	0.57224
1.02102	0.57079
1.02974	0.55903
1.02974	0.55097
1.03411	0.53470
1.03847	0.52423
1.04283	0.51230
1.04720	0.49361
1.05156	0.48089
1.05592	0.46800
1.06029	0.45446
1.06029	0.43739
1.06465	0.41435
1.06901	0.40081
1.07338	0.37858
1.07774	0.35506
1.08210	0.34877
1.08210	0.33395
1.08647	0.31994
1.09083	0.30318
1.09083	0.28884
1.09519	0.27789
1.09519	0.27096
1.09956	0.25259
1.10392	0.23890
1.10392	0.22601
1.10828	0.20619
1.11265	0.18428
1.12137	0.15222
1.12574	0.13482
1.13010	0.11436
1.13010	0.10485
1.13446	0.09067
1.13883	0.07650
1.14319	0.05797
1.14755	0.04250
1.15192	0.03960
1.15628	0.02365
1.16064	0.01527
1.16501	0.00303
1.16937	-0.00470
1.17810	-0.01083
1.18246	-0.01067
1.19119	-0.00922
1.19555	-0.00503
1.19991	-0.00197
1.19991	0.00174
1.20428	0.00432
1.21300	0.02107
1.21737	0.03573
1.22173	0.04959
1.22609	0.06828
1.23046	0.08213
1.23482	0.09728
1.23918	0.12580
1.24355	0.14642
1.24791	0.17429
1.25227	0.19991
1.25664	0.22875
1.26100	0.24647
1.26536	0.26129
1.26973	0.28272
1.27409	0.30044
1.27409	0.31897
1.27845	0.34410
1.28718	0.37906
1.29154	0.41322
1.29591	0.44029
1.29591	0.46784
1.30463	0.49764
1.30463	0.51891
1.30900	0.54581
1.31336	0.57272
1.31772	0.59463
1.32209	0.62138
1.32645	0.64264
1.33081	0.66729
1.33518	0.68969
1.34390	0.70097
1.34827	0.71659
1.35263	0.73609
1.35699	0.74608
1.36136	0.75462
1.36572	0.76380
1.37008	0.78410
1.37445	0.79812
1.37881	0.80730
1.37881	0.81616
1.38317	0.82647
1.38754	0.84548
1.39190	0.85161
1.39626	0.85354
1.40063	0.85338
1.40063	0.84387
1.40499	0.84371
1.40935	0.82550
1.41372	0.81117
1.41808	0.79924
1.41808	0.78974
1.42244	0.76960
1.42681	0.75284
1.43117	0.73512
1.43117	0.71998
1.43553	0.70854
1.43990	0.69710
1.43990	0.68163
1.44426	0.67019
1.44426	0.65424
1.44862	0.64603
1.45299	0.63475
1.45299	0.62685
1.45735	0.61751
1.45735	0.59898
1.46171	0.59109
1.46171	0.57433
1.46608	0.55935
1.46608	0.55242
1.47044	0.53679
